카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2021년04월_계_총인구수,"46,497","20,432","3,254","4,303","2,246","1,918","2,356","3,169",988,"2,795","1,826","3,210"
2021년04월_계_연령구간인구수,"46,497","20,432","3,254","4,303","2,246","1,918","2,356","3,169",988,"2,795","1,826","3,210"
2021년04월_계_0~9세,"2,229","1,480",99,161,46,48,66,101,27,75,33,93
2021년04월_계_10~19세,"3,278","1,988",151,300,105,90,107,172,50,105,77,133
2021년04월_계_20~29세,"4,140","2,512",223,278,141,111,105,292,43,150,103,182
2021년04월_계_30~39세,"3,139","1,899",157,259,89,75,101,168,32,114,67,178
2021년04월_계_40~49세,"5,154","2,959",299,407,210,153,183,262,68,193,163,257
2021년04월_계_50~59세,"8,199","3,442",625,789,433,347,385,619,192,482,327,558
2021년04월_계_60~69세,"9,459","3,074",818,997,541,480,596,711,252,746,432,812
2021년04월_계_70~79세,"6,436","1,954",487,668,405,319,469,496,175,524,351,588
2021년04월_계_80~89세,"3,931","1,006",350,402,240,265,291,314,130,343,226,364
2021년04월_계_90~99세,520,114,43,42,36,29,51,34,18,61,47,45
2021년04월_계_100세 이상,12,4,2,0,0,1,2,0,1,2,0,0
2021년04월_남_총인구수,"23,178","10,098","1,659","2,170","1,116",949,"1,154","1,609",493,"1,408",911,"1,611"
2021년04월_남_연령구간인구수,"23,178","10,098","1,659","2,170","1,116",949,"1,154","1,609",493,"1,408",911,"1,611"
2021년04월_남_0~9세,"1,130",741,52,90,24,22,27,44,16,43,21,50
2021년04월_남_10~19세,"1,710","1,033",75,158,55,48,66,97,28,45,39,66
2021년04월_남_20~29세,"2,333","1,349",126,167,85,69,62,185,22,99,61,108
2021년04월_남_30~39세,"1,649",951,98,135,49,44,55,93,20,62,46,96
2021년04월_남_40~49세,"2,814","1,519",166,232,120,93,111,156,39,126,97,155
2021년04월_남_50~59세,"4,370","1,772",342,436,236,189,211,338,113,266,172,295
2021년04월_남_60~69세,"4,861","1,536",437,510,270,247,312,368,138,380,240,423
2021년04월_남_70~79세,"2,839",836,240,289,187,136,204,214,72,243,145,273
2021년04월_남_80~89세,"1,356",341,113,146,81,94,97,106,40,129,78,131
2021년04월_남_90~99세,114,19,10,7,9,7,8,8,5,15,12,14
2021년04월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0
2021년04월_여_총인구수,"23,319","10,334","1,595","2,133","1,130",969,"1,202","1,560",495,"1,387",915,"1,599"
2021년04월_여_연령구간인구수,"23,319","10,334","1,595","2,133","1,130",969,"1,202","1,560",495,"1,387",915,"1,599"
2021년04월_여_0~9세,"1,099",739,47,71,22,26,39,57,11,32,12,43
2021년04월_여_10~19세,"1,568",955,76,142,50,42,41,75,22,60,38,67
2021년04월_여_20~29세,"1,807","1,163",97,111,56,42,43,107,21,51,42,74
2021년04월_여_30~39세,"1,490",948,59,124,40,31,46,75,12,52,21,82
2021년04월_여_40~49세,"2,340","1,440",133,175,90,60,72,106,29,67,66,102
2021년04월_여_50~59세,"3,829","1,670",283,353,197,158,174,281,79,216,155,263
2021년04월_여_60~69세,"4,598","1,538",381,487,271,233,284,343,114,366,192,389
2021년04월_여_70~79세,"3,597","1,118",247,379,218,183,265,282,103,281,206,315
2021년04월_여_80~89세,"2,575",665,237,256,159,171,194,208,90,214,148,233
2021년04월_여_90~99세,406,95,33,35,27,22,43,26,13,46,35,31
2021년04월_여_100세 이상,10,3,2,0,0,1,1,0,1,2,0,0
