,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2021년11월_계_총인구수,"45,874","20,175","3,233","4,232","2,218","1,900","2,295","3,138",975,"2,750","1,816","3,142"
2021년11월_계_연령구간인구수,"45,874","20,175","3,233","4,232","2,218","1,900","2,295","3,138",975,"2,750","1,816","3,142"
2021년11월_계_0~9세,"2,117","1,438",77,153,41,46,58,92,29,69,33,81
2021년11월_계_10~19세,"3,206","1,954",147,298,100,88,98,162,47,101,81,130
2021년11월_계_20~29세,"3,858","2,334",228,258,126,106,98,278,40,138,89,163
2021년11월_계_30~39세,"2,976","1,828",160,238,91,73,88,142,28,109,64,155
2021년11월_계_40~49세,"4,969","2,883",267,395,196,146,163,258,65,186,160,250
2021년11월_계_50~59세,"8,105","3,467",620,755,420,337,364,612,193,460,330,547
2021년11월_계_60~69세,"9,737","3,195",856,"1,032",559,484,623,733,246,760,422,827
2021년11월_계_70~79세,"6,385","1,942",493,652,396,319,459,504,172,509,358,581
2021년11월_계_80~89세,"3,975","1,019",339,404,251,265,289,325,137,358,230,358
2021년11월_계_90~99세,531,112,44,46,35,35,53,31,17,59,49,50
2021년11월_계_100세 이상,15,3,2,1,3,1,2,1,1,1,0,0
2021년11월_남_총인구수,"22,861","9,963","1,641","2,135","1,105",952,"1,123","1,594",482,"1,383",903,"1,580"
2021년11월_남_연령구간인구수,"22,861","9,963","1,641","2,135","1,105",952,"1,123","1,594",482,"1,383",903,"1,580"
2021년11월_남_0~9세,"1,081",725,41,86,20,24,25,39,17,39,23,42
2021년11월_남_10~19세,"1,670","1,014",69,162,53,47,57,94,26,44,40,64
2021년11월_남_20~29세,"2,168","1,257",127,147,71,69,58,178,21,92,51,97
2021년11월_남_30~39세,"1,575",930,94,127,52,43,50,78,16,59,43,83
2021년11월_남_40~49세,"2,680","1,457",150,224,113,92,99,149,35,122,95,144
2021년11월_남_50~59세,"4,333","1,785",350,413,233,188,208,333,114,249,169,291
2021년11월_남_60~69세,"5,034","1,598",451,538,279,250,321,388,136,396,239,438
2021년11월_남_70~79세,"2,820",828,242,286,188,139,202,217,67,231,149,271
2021년11월_남_80~89세,"1,387",353,108,143,88,90,94,110,46,139,82,134
2021년11월_남_90~99세,111,16,9,9,7,10,8,8,4,12,12,16
2021년11월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0
2021년11월_여_총인구수,"23,013","10,212","1,592","2,097","1,113",948,"1,172","1,544",493,"1,367",913,"1,562"
2021년11월_여_연령구간인구수,"23,013","10,212","1,592","2,097","1,113",948,"1,172","1,544",493,"1,367",913,"1,562"
2021년11월_여_0~9세,"1,036",713,36,67,21,22,33,53,12,30,10,39
2021년11월_여_10~19세,"1,536",940,78,136,47,41,41,68,21,57,41,66
2021년11월_여_20~29세,"1,690","1,077",101,111,55,37,40,100,19,46,38,66
2021년11월_여_30~39세,"1,401",898,66,111,39,30,38,64,12,50,21,72
2021년11월_여_40~49세,"2,289","1,426",117,171,83,54,64,109,30,64,65,106
2021년11월_여_50~59세,"3,772","1,682",270,342,187,149,156,279,79,211,161,256
2021년11월_여_60~69세,"4,703","1,597",405,494,280,234,302,345,110,364,183,389
2021년11월_여_70~79세,"3,565","1,114",251,366,208,180,257,287,105,278,209,310
2021년11월_여_80~89세,"2,588",666,231,261,163,175,195,215,91,219,148,224
2021년11월_여_90~99세,420,96,35,37,28,25,45,23,13,47,37,34
2021년11월_여_100세 이상,13,3,2,1,2,1,1,1,1,1,0,0
