카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년08월_계_총인구수,"50,792","29,152","3,232","1,428","1,948","2,349","3,035","4,291","2,304","3,053"
2020년08월_계_연령구간인구수,"50,792","29,152","3,232","1,428","1,948","2,349","3,035","4,291","2,304","3,053"
2020년08월_계_0~9세,"2,684","2,186",95,36,33,30,60,115,62,67
2020년08월_계_10~19세,"3,935","3,068",125,69,72,57,138,208,80,118
2020년08월_계_20~29세,"4,445","3,160",226,66,100,87,142,277,178,209
2020년08월_계_30~39세,"3,980","2,846",181,72,72,82,125,282,134,186
2020년08월_계_40~49세,"6,336","4,527",294,99,169,136,231,402,173,305
2020년08월_계_50~59세,"9,103","5,033",625,274,333,455,528,792,431,632
2020년08월_계_60~69세,"9,679","4,259",805,355,511,638,792,980,571,768
2020년08월_계_70~79세,"6,297","2,632",491,243,346,437,596,711,384,457
2020년08월_계_80~89세,"3,730","1,252",330,181,260,369,374,443,260,261
2020년08월_계_90~99세,574,183,59,33,44,55,44,78,31,47
2020년08월_계_100세 이상,29,6,1,0,8,3,5,3,0,3
2020년08월_남_총인구수,"25,583","14,575","1,663",717,984,"1,172","1,471","2,199","1,205","1,597"
2020년08월_남_연령구간인구수,"25,583","14,575","1,663",717,984,"1,172","1,471","2,199","1,205","1,597"
2020년08월_남_0~9세,"1,399","1,143",54,19,14,15,28,57,33,36
2020년08월_남_10~19세,"2,077","1,618",63,38,37,34,73,107,39,68
2020년08월_남_20~29세,"2,512","1,744",143,41,58,56,81,166,99,124
2020년08월_남_30~39세,"2,076","1,430",104,44,48,41,60,168,77,104
2020년08월_남_40~49세,"3,401","2,294",174,66,104,88,136,256,110,173
2020년08월_남_50~59세,"4,863","2,606",338,141,201,245,302,431,247,352
2020년08월_남_60~69세,"4,956","2,084",428,191,263,355,401,507,314,413
2020년08월_남_70~79세,"2,892","1,161",234,115,159,207,272,348,184,212
2020년08월_남_80~89세,"1,253",453,106,55,86,111,104,140,95,103
2020년08월_남_90~99세,147,41,19,7,11,20,13,17,7,12
2020년08월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년08월_여_총인구수,"25,209","14,577","1,569",711,964,"1,177","1,564","2,092","1,099","1,456"
2020년08월_여_연령구간인구수,"25,209","14,577","1,569",711,964,"1,177","1,564","2,092","1,099","1,456"
2020년08월_여_0~9세,"1,285","1,043",41,17,19,15,32,58,29,31
2020년08월_여_10~19세,"1,858","1,450",62,31,35,23,65,101,41,50
2020년08월_여_20~29세,"1,933","1,416",83,25,42,31,61,111,79,85
2020년08월_여_30~39세,"1,904","1,416",77,28,24,41,65,114,57,82
2020년08월_여_40~49세,"2,935","2,233",120,33,65,48,95,146,63,132
2020년08월_여_50~59세,"4,240","2,427",287,133,132,210,226,361,184,280
2020년08월_여_60~69세,"4,723","2,175",377,164,248,283,391,473,257,355
2020년08월_여_70~79세,"3,405","1,471",257,128,187,230,324,363,200,245
2020년08월_여_80~89세,"2,477",799,224,126,174,258,270,303,165,158
2020년08월_여_90~99세,427,142,40,26,33,35,31,61,24,35
2020년08월_여_100세 이상,22,5,1,0,5,3,4,1,0,3
