카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년10월_계_총인구수,"93,579","17,014","20,042","2,930","3,061","13,184","15,743","6,960","4,536","10,109"
2020년10월_계_연령구간인구수,"93,579","17,014","20,042","2,930","3,061","13,184","15,743","6,960","4,536","10,109"
2020년10월_계_0~9세,"6,052",924,"1,345",50,68,"1,612","1,121",253,171,508
2020년10월_계_10~19세,"7,719","1,398","2,011",122,145,"1,026","1,570",442,230,775
2020년10월_계_20~29세,"9,532","1,737","2,246",168,175,"1,440","1,780",606,339,"1,041"
2020년10월_계_30~39세,"9,849","1,548","2,030",181,178,"2,401","1,743",580,303,885
2020년10월_계_40~49세,"13,895","2,327","3,351",222,235,"2,219","2,858",899,483,"1,301"
2020년10월_계_50~59세,"17,796","3,266","3,915",543,538,"1,830","3,236","1,553",945,"1,970"
2020년10월_계_60~69세,"15,062","3,044","2,786",690,784,"1,477","1,963","1,381","1,023","1,914"
2020년10월_계_70~79세,"8,270","1,746","1,435",543,534,727,902,735,594,"1,054"
2020년10월_계_80~89세,"4,633",884,795,356,343,368,499,443,381,564
2020년10월_계_90~99세,715,133,114,52,57,68,71,64,62,94
2020년10월_계_100세 이상,56,7,14,3,4,16,0,4,5,3
2020년10월_남_총인구수,"49,643","8,703","10,715","1,497","1,598","7,047","8,612","3,855","2,472","5,144"
2020년10월_남_연령구간인구수,"49,643","8,703","10,715","1,497","1,598","7,047","8,612","3,855","2,472","5,144"
2020년10월_남_0~9세,"3,166",479,703,25,32,852,589,147,89,250
2020년10월_남_10~19세,"4,000",705,"1,105",64,91,509,820,238,112,356
2020년10월_남_20~29세,"5,567",986,"1,348",99,103,769,"1,072",372,228,590
2020년10월_남_30~39세,"5,518",855,"1,130",111,103,"1,290","1,001",362,189,477
2020년10월_남_40~49세,"7,830","1,256","1,844",146,159,"1,246","1,576",573,301,729
2020년10월_남_50~59세,"9,912","1,744","2,213",299,294,998,"1,884",887,545,"1,048"
2020년10월_남_60~69세,"7,968","1,540","1,432",362,431,846,"1,067",763,552,975
2020년10월_남_70~79세,"3,907",810,632,246,261,364,416,357,304,517
2020년10월_남_80~89세,"1,574",284,278,133,109,145,169,140,135,181
2020년10월_남_90~99세,176,41,27,12,14,14,18,14,15,21
2020년10월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년10월_여_총인구수,"43,936","8,311","9,327","1,433","1,463","6,137","7,131","3,105","2,064","4,965"
2020년10월_여_연령구간인구수,"43,936","8,311","9,327","1,433","1,463","6,137","7,131","3,105","2,064","4,965"
2020년10월_여_0~9세,"2,886",445,642,25,36,760,532,106,82,258
2020년10월_여_10~19세,"3,719",693,906,58,54,517,750,204,118,419
2020년10월_여_20~29세,"3,965",751,898,69,72,671,708,234,111,451
2020년10월_여_30~39세,"4,331",693,900,70,75,"1,111",742,218,114,408
2020년10월_여_40~49세,"6,065","1,071","1,507",76,76,973,"1,282",326,182,572
2020년10월_여_50~59세,"7,884","1,522","1,702",244,244,832,"1,352",666,400,922
2020년10월_여_60~69세,"7,094","1,504","1,354",328,353,631,896,618,471,939
2020년10월_여_70~79세,"4,363",936,803,297,273,363,486,378,290,537
2020년10월_여_80~89세,"3,059",600,517,223,234,223,330,303,246,383
2020년10월_여_90~99세,539,92,87,40,43,54,53,50,47,73
2020년10월_여_100세 이상,31,4,11,3,3,2,0,2,3,3
