,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2021년06월_계_총인구수,"92,232","16,731","19,646","2,883","3,012","12,978","15,692","6,874","4,504","9,912"
2021년06월_계_연령구간인구수,"92,232","16,731","19,646","2,883","3,012","12,978","15,692","6,874","4,504","9,912"
2021년06월_계_0~9세,"5,653",855,"1,210",52,56,"1,527","1,060",239,167,487
2021년06월_계_10~19세,"7,494","1,355","1,927",113,132,"1,070","1,511",403,223,760
2021년06월_계_20~29세,"9,254","1,673","2,169",146,164,"1,361","1,788",628,334,991
2021년06월_계_30~39세,"9,253","1,454","1,888",162,160,"2,314","1,660",516,296,803
2021년06월_계_40~49세,"13,430","2,240","3,231",210,210,"2,203","2,786",840,462,"1,248"
2021년06월_계_50~59세,"17,371","3,129","3,891",514,510,"1,812","3,241","1,513",883,"1,878"
2021년06월_계_60~69세,"16,109","3,225","2,998",734,844,"1,569","2,148","1,496","1,088","2,007"
2021년06월_계_70~79세,"8,146","1,734","1,411",526,521,688,905,729,590,"1,042"
2021년06월_계_80~89세,"4,777",929,807,367,349,371,521,445,386,602
2021년06월_계_90~99세,724,134,109,57,64,63,72,61,72,92
2021년06월_계_100세 이상,21,3,5,2,2,0,0,4,3,2
2021년06월_남_총인구수,"48,812","8,538","10,507","1,482","1,572","6,884","8,566","3,818","2,426","5,019"
2021년06월_남_연령구간인구수,"48,812","8,538","10,507","1,482","1,572","6,884","8,566","3,818","2,426","5,019"
2021년06월_남_0~9세,"2,955",440,638,28,26,813,550,139,89,232
2021년06월_남_10~19세,"3,904",689,"1,042",60,83,544,792,214,115,365
2021년06월_남_20~29세,"5,357",948,"1,294",87,99,715,"1,069",394,216,535
2021년06월_남_30~39세,"5,194",791,"1,068",107,90,"1,239",965,314,180,440
2021년06월_남_40~49세,"7,510","1,223","1,751",135,141,"1,216","1,535",536,285,688
2021년06월_남_50~59세,"9,672","1,653","2,215",289,279,994,"1,864",871,511,996
2021년06월_남_60~69세,"8,561","1,647","1,551",385,469,890,"1,175",835,579,"1,030"
2021년06월_남_70~79세,"3,854",798,635,245,262,328,425,354,296,511
2021년06월_남_80~89세,"1,632",314,281,135,110,133,171,147,139,202
2021년06월_남_90~99세,167,34,31,11,13,12,20,12,15,19
2021년06월_남_100세 이상,6,1,1,0,0,0,0,2,1,1
2021년06월_여_총인구수,"43,420","8,193","9,139","1,401","1,440","6,094","7,126","3,056","2,078","4,893"
2021년06월_여_연령구간인구수,"43,420","8,193","9,139","1,401","1,440","6,094","7,126","3,056","2,078","4,893"
2021년06월_여_0~9세,"2,698",415,572,24,30,714,510,100,78,255
2021년06월_여_10~19세,"3,590",666,885,53,49,526,719,189,108,395
2021년06월_여_20~29세,"3,897",725,875,59,65,646,719,234,118,456
2021년06월_여_30~39세,"4,059",663,820,55,70,"1,075",695,202,116,363
2021년06월_여_40~49세,"5,920","1,017","1,480",75,69,987,"1,251",304,177,560
2021년06월_여_50~59세,"7,699","1,476","1,676",225,231,818,"1,377",642,372,882
2021년06월_여_60~69세,"7,548","1,578","1,447",349,375,679,973,661,509,977
2021년06월_여_70~79세,"4,292",936,776,281,259,360,480,375,294,531
2021년06월_여_80~89세,"3,145",615,526,232,239,238,350,298,247,400
2021년06월_여_90~99세,557,100,78,46,51,51,52,49,57,73
2021년06월_여_100세 이상,15,2,4,2,2,0,0,2,2,1
