카테고리,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020년12월_계_총인구수,"133,018","6,772","1,936","1,283","2,044","2,194",708,"3,263","4,633","18,898","9,931","5,874","4,920","10,284","17,990","11,188","15,739","15,361"
2020년12월_계_연령구간인구수,"133,018","6,772","1,936","1,283","2,044","2,194",708,"3,263","4,633","18,898","9,931","5,874","4,920","10,284","17,990","11,188","15,739","15,361"
2020년12월_계_0~9세,"8,740",269,44,27,42,68,20,86,95,"1,602",821,248,198,770,"1,358",748,688,"1,656"
2020년12월_계_10~19세,"11,695",354,91,48,69,193,33,132,205,"2,383","1,124",420,309,904,"1,792","1,184","1,134","1,320"
2020년12월_계_20~29세,"14,739",476,120,68,88,75,31,166,373,"2,291","1,274",645,557,"1,059","2,624","1,357","1,921","1,614"
2020년12월_계_30~39세,"13,011",423,105,63,73,75,37,124,226,"2,011","1,040",495,401,"1,145","2,174","1,031","1,409","2,179"
2020년12월_계_40~49세,"18,442",708,138,89,139,182,67,245,417,"3,304","1,634",746,562,"1,476","2,718","1,735","1,929","2,353"
2020년12월_계_50~59세,"24,010","1,286",387,266,400,388,148,607,900,"3,434","1,778","1,020",910,"1,779","3,157","2,156","2,953","2,441"
2020년12월_계_60~69세,"22,803","1,677",532,349,593,565,188,964,"1,224","2,286","1,335","1,221","1,080","1,603","2,359","1,572","3,223","2,032"
2020년12월_계_70~79세,"12,444",939,290,221,377,398,96,543,710,"1,075",564,733,633,"1,012","1,122",912,"1,675","1,144"
2020년12월_계_80~89세,"6,236",559,194,135,238,213,70,341,416,462,303,298,244,467,609,432,701,554
2020년12월_계_90~99세,822,79,30,14,20,37,16,51,62,44,56,43,24,50,76,56,100,64
2020년12월_계_100세 이상,76,2,5,3,5,0,2,4,5,6,2,5,2,19,1,5,6,4
2020년12월_남_총인구수,"66,705","3,463","1,044",665,"1,059","1,118",356,"1,674","2,438","9,302","4,907","2,908","2,449","5,143","8,955","5,593","7,886","7,745"
2020년12월_남_연령구간인구수,"66,705","3,463","1,044",665,"1,059","1,118",356,"1,674","2,438","9,302","4,907","2,908","2,449","5,143","8,955","5,593","7,886","7,745"
2020년12월_남_0~9세,"4,462",148,28,17,22,39,9,46,47,812,439,119,102,411,672,369,348,834
2020년12월_남_10~19세,"6,040",188,56,23,37,102,16,78,119,"1,203",568,218,160,469,921,622,607,653
2020년12월_남_20~29세,"8,182",260,78,39,66,45,23,102,234,"1,243",672,339,317,585,"1,435",768,"1,098",878
2020년12월_남_30~39세,"6,793",232,63,39,47,42,18,71,148,994,507,287,222,576,"1,151",523,778,"1,095"
2020년12월_남_40~49세,"9,488",396,83,56,86,113,42,143,255,"1,573",800,384,300,794,"1,337",850,"1,001","1,275"
2020년12월_남_50~59세,"12,279",682,218,137,203,204,82,323,478,"1,728",895,504,459,900,"1,599","1,146","1,431","1,290"
2020년12월_남_60~69세,"11,359",888,297,189,315,298,92,504,648,"1,132",663,574,495,772,"1,192",783,"1,548",969
2020년12월_남_70~79세,"5,624",446,143,109,192,193,41,262,329,440,239,349,295,443,449,372,801,521
2020년12월_남_80~89세,"2,275",207,66,54,81,76,27,132,164,168,109,122,92,173,186,149,254,215
2020년12월_남_90~99세,178,16,10,1,7,6,5,12,14,9,14,10,7,13,13,9,19,13
2020년12월_남_100세 이상,25,0,2,1,3,0,1,1,2,0,1,2,0,7,0,2,1,2
2020년12월_여_총인구수,"66,313","3,309",892,618,985,"1,076",352,"1,589","2,195","9,596","5,024","2,966","2,471","5,141","9,035","5,595","7,853","7,616"
2020년12월_여_연령구간인구수,"66,313","3,309",892,618,985,"1,076",352,"1,589","2,195","9,596","5,024","2,966","2,471","5,141","9,035","5,595","7,853","7,616"
2020년12월_여_0~9세,"4,278",121,16,10,20,29,11,40,48,790,382,129,96,359,686,379,340,822
2020년12월_여_10~19세,"5,655",166,35,25,32,91,17,54,86,"1,180",556,202,149,435,871,562,527,667
2020년12월_여_20~29세,"6,557",216,42,29,22,30,8,64,139,"1,048",602,306,240,474,"1,189",589,823,736
2020년12월_여_30~39세,"6,218",191,42,24,26,33,19,53,78,"1,017",533,208,179,569,"1,023",508,631,"1,084"
2020년12월_여_40~49세,"8,954",312,55,33,53,69,25,102,162,"1,731",834,362,262,682,"1,381",885,928,"1,078"
2020년12월_여_50~59세,"11,731",604,169,129,197,184,66,284,422,"1,706",883,516,451,879,"1,558","1,010","1,522","1,151"
2020년12월_여_60~69세,"11,444",789,235,160,278,267,96,460,576,"1,154",672,647,585,831,"1,167",789,"1,675","1,063"
2020년12월_여_70~79세,"6,820",493,147,112,185,205,55,281,381,635,325,384,338,569,673,540,874,623
2020년12월_여_80~89세,"3,961",352,128,81,157,137,43,209,252,294,194,176,152,294,423,283,447,339
2020년12월_여_90~99세,644,63,20,13,13,31,11,39,48,35,42,33,17,37,63,47,81,51
2020년12월_여_100세 이상,51,2,3,2,2,0,1,3,3,6,1,3,2,12,1,3,5,2
