카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년04월_계_총인구수,"36,532","34,682","1,850"
2021년04월_계_연령구간인구수,"36,532","34,682","1,850"
2021년04월_계_0~9세,"3,117","3,074",43
2021년04월_계_10~19세,"3,344","3,274",70
2021년04월_계_20~29세,"4,442","4,327",115
2021년04월_계_30~39세,"4,608","4,511",97
2021년04월_계_40~49세,"5,527","5,341",186
2021년04월_계_50~59세,"5,985","5,661",324
2021년04월_계_60~69세,"5,155","4,668",487
2021년04월_계_70~79세,"2,661","2,382",279
2021년04월_계_80~89세,"1,513","1,294",219
2021년04월_계_90~99세,177,147,30
2021년04월_계_100세 이상,3,3,0
2021년04월_남_총인구수,"19,023","18,056",967
2021년04월_남_연령구간인구수,"19,023","18,056",967
2021년04월_남_0~9세,"1,621","1,594",27
2021년04월_남_10~19세,"1,748","1,715",33
2021년04월_남_20~29세,"2,601","2,531",70
2021년04월_남_30~39세,"2,569","2,513",56
2021년04월_남_40~49세,"2,977","2,860",117
2021년04월_남_50~59세,"3,162","2,981",181
2021년04월_남_60~69세,"2,582","2,317",265
2021년04월_남_70~79세,"1,199","1,063",136
2021년04월_남_80~89세,516,443,73
2021년04월_남_90~99세,46,37,9
2021년04월_남_100세 이상,2,2,0
2021년04월_여_총인구수,"17,509","16,626",883
2021년04월_여_연령구간인구수,"17,509","16,626",883
2021년04월_여_0~9세,"1,496","1,480",16
2021년04월_여_10~19세,"1,596","1,559",37
2021년04월_여_20~29세,"1,841","1,796",45
2021년04월_여_30~39세,"2,039","1,998",41
2021년04월_여_40~49세,"2,550","2,481",69
2021년04월_여_50~59세,"2,823","2,680",143
2021년04월_여_60~69세,"2,573","2,351",222
2021년04월_여_70~79세,"1,462","1,319",143
2021년04월_여_80~89세,997,851,146
2021년04월_여_90~99세,131,110,21
2021년04월_여_100세 이상,1,1,0
