카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020년01월_계_총인구수,"81,225","30,165","24,993",0,"3,259","3,622","2,085","6,331","10,770"
2020년01월_계_연령구간인구수,"81,225","30,165","24,993",0,"3,259","3,622","2,085","6,331","10,770"
2020년01월_계_0~9세,"7,738","2,468","3,926",0,90,144,59,254,797
2020년01월_계_10~19세,"7,922","3,362","2,534",0,196,153,74,432,"1,171"
2020년01월_계_20~29세,"8,957","3,789","2,684",0,212,295,119,572,"1,286"
2020년01월_계_30~39세,"11,329","3,434","5,416",0,200,284,117,528,"1,350"
2020년01월_계_40~49세,"13,072","5,106","4,412",0,328,374,182,757,"1,913"
2020년01월_계_50~59세,"13,458","5,284","2,981",0,633,795,409,"1,299","2,057"
2020년01월_계_60~69세,"9,506","3,442","1,675",0,714,749,498,"1,229","1,199"
2020년01월_계_70~79세,"5,454","2,016",815,0,485,476,348,705,609
2020년01월_계_80~89세,"3,338","1,116",487,0,365,312,242,481,335
2020년01월_계_90~99세,434,143,59,0,36,40,35,68,53
2020년01월_계_100세 이상,17,5,4,0,0,0,2,6,0
2020년01월_남_총인구수,"42,476","15,479","13,179",0,"1,648","1,913","1,051","3,340","5,866"
2020년01월_남_연령구간인구수,"42,476","15,479","13,179",0,"1,648","1,913","1,051","3,340","5,866"
2020년01월_남_0~9세,"3,979","1,281","2,002",0,44,73,25,130,424
2020년01월_남_10~19세,"4,157","1,773","1,281",0,98,75,47,228,655
2020년01월_남_20~29세,"5,154","2,171","1,513",0,118,169,69,356,758
2020년01월_남_30~39세,"6,171","1,802","2,905",0,123,171,67,316,787
2020년01월_남_40~49세,"7,166","2,676","2,472",0,193,237,105,439,"1,044"
2020년01월_남_50~59세,"7,329","2,813","1,610",0,368,442,233,717,"1,146"
2020년01월_남_60~69세,"4,842","1,652",835,0,369,408,256,668,654
2020년01월_남_70~79세,"2,483",913,368,0,225,231,156,321,269
2020년01월_남_80~89세,"1,105",369,176,0,104,96,88,154,118
2020년01월_남_90~99세,86,27,17,0,6,11,5,9,11
2020년01월_남_100세 이상,4,2,0,0,0,0,0,2,0
2020년01월_여_총인구수,"38,749","14,686","11,814",0,"1,611","1,709","1,034","2,991","4,904"
2020년01월_여_연령구간인구수,"38,749","14,686","11,814",0,"1,611","1,709","1,034","2,991","4,904"
2020년01월_여_0~9세,"3,759","1,187","1,924",0,46,71,34,124,373
2020년01월_여_10~19세,"3,765","1,589","1,253",0,98,78,27,204,516
2020년01월_여_20~29세,"3,803","1,618","1,171",0,94,126,50,216,528
2020년01월_여_30~39세,"5,158","1,632","2,511",0,77,113,50,212,563
2020년01월_여_40~49세,"5,906","2,430","1,940",0,135,137,77,318,869
2020년01월_여_50~59세,"6,129","2,471","1,371",0,265,353,176,582,911
2020년01월_여_60~69세,"4,664","1,790",840,0,345,341,242,561,545
2020년01월_여_70~79세,"2,971","1,103",447,0,260,245,192,384,340
2020년01월_여_80~89세,"2,233",747,311,0,261,216,154,327,217
2020년01월_여_90~99세,348,116,42,0,30,29,30,59,42
2020년01월_여_100세 이상,13,3,4,0,0,0,2,4,0
