,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020년09월_계_총인구수,"82,362","30,027","26,624",0,"3,232","3,567","2,076","6,174","10,662"
2020년09월_계_연령구간인구수,"82,362","30,027","26,624",0,"3,232","3,567","2,076","6,174","10,662"
2020년09월_계_0~9세,"7,625","2,328","4,064",0,84,124,51,216,758
2020년09월_계_10~19세,"8,066","3,279","2,761",0,187,136,77,415,"1,211"
2020년09월_계_20~29세,"8,995","3,823","2,814",0,212,297,103,525,"1,221"
2020년09월_계_30~39세,"11,263","3,245","5,675",0,178,265,120,476,"1,304"
2020년09월_계_40~49세,"13,293","5,022","4,837",0,313,375,171,737,"1,838"
2020년09월_계_50~59세,"13,651","5,335","3,196",0,645,757,391,"1,251","2,076"
2020년09월_계_60~69세,"10,044","3,618","1,867",0,727,784,538,"1,259","1,251"
2020년09월_계_70~79세,"5,494","2,076",817,0,467,455,341,728,610
2020년09월_계_80~89세,"3,450","1,146",524,0,377,326,245,487,345
2020년09월_계_90~99세,462,150,65,0,41,47,37,74,48
2020년09월_계_100세 이상,19,5,4,0,1,1,2,6,0
2020년09월_남_총인구수,"43,149","15,418","14,090",0,"1,658","1,866","1,054","3,250","5,813"
2020년09월_남_연령구간인구수,"43,149","15,418","14,090",0,"1,658","1,866","1,054","3,250","5,813"
2020년09월_남_0~9세,"3,935","1,212","2,091",0,42,59,26,114,391
2020년09월_남_10~19세,"4,229","1,721","1,412",0,94,69,42,213,678
2020년09월_남_20~29세,"5,191","2,188","1,582",0,124,175,66,329,727
2020년09월_남_30~39세,"6,170","1,713","3,074",0,114,156,70,280,763
2020년09월_남_40~49세,"7,279","2,630","2,687",0,187,236,102,428,"1,009"
2020년09월_남_50~59세,"7,456","2,852","1,736",0,378,418,226,697,"1,149"
2020년09월_남_60~69세,"5,130","1,756",930,0,383,423,272,684,682
2020년09월_남_70~79세,"2,501",930,367,0,216,217,153,339,279
2020년09월_남_80~89세,"1,166",384,195,0,113,102,90,155,127
2020년09월_남_90~99세,87,30,16,0,7,10,7,9,8
2020년09월_남_100세 이상,5,2,0,0,0,1,0,2,0
2020년09월_여_총인구수,"39,213","14,609","12,534",0,"1,574","1,701","1,022","2,924","4,849"
2020년09월_여_연령구간인구수,"39,213","14,609","12,534",0,"1,574","1,701","1,022","2,924","4,849"
2020년09월_여_0~9세,"3,690","1,116","1,973",0,42,65,25,102,367
2020년09월_여_10~19세,"3,837","1,558","1,349",0,93,67,35,202,533
2020년09월_여_20~29세,"3,804","1,635","1,232",0,88,122,37,196,494
2020년09월_여_30~39세,"5,093","1,532","2,601",0,64,109,50,196,541
2020년09월_여_40~49세,"6,014","2,392","2,150",0,126,139,69,309,829
2020년09월_여_50~59세,"6,195","2,483","1,460",0,267,339,165,554,927
2020년09월_여_60~69세,"4,914","1,862",937,0,344,361,266,575,569
2020년09월_여_70~79세,"2,993","1,146",450,0,251,238,188,389,331
2020년09월_여_80~89세,"2,284",762,329,0,264,224,155,332,218
2020년09월_여_90~99세,375,120,49,0,34,37,30,65,40
2020년09월_여_100세 이상,14,3,4,0,1,0,2,4,0
