카테고리,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2021년07월_계_총인구수,"847,642","193,640","2,231","4,938","3,908","6,775","3,966","6,979","6,793","8,693","10,569","31,072","13,440","54,288","39,988","193,127","10,075","3,245","7,382","14,036","14,641","14,396","26,351","30,372","13,267","15,870","43,492","267,095","23,977","10,732","18,033","16,773","50,787","15,827","55,250","9,714","24,100","28,389","13,513","193,780","19,163","70,003","4,572","12,205","8,492","13,403","47,553","18,389"
2021년07월_계_연령구간인구수,"847,642","193,640","2,231","4,938","3,908","6,775","3,966","6,979","6,793","8,693","10,569","31,072","13,440","54,288","39,988","193,127","10,075","3,245","7,382","14,036","14,641","14,396","26,351","30,372","13,267","15,870","43,492","267,095","23,977","10,732","18,033","16,773","50,787","15,827","55,250","9,714","24,100","28,389","13,513","193,780","19,163","70,003","4,572","12,205","8,492","13,403","47,553","18,389"
2021년07월_계_0~9세,"72,434","16,134",50,111,94,399,90,364,228,393,591,"2,543","1,494","5,378","4,399","13,122",615,79,285,"1,357",631,630,"2,277","2,430",497,874,"3,447","23,837","2,213",658,"2,295",834,"5,650",605,"4,913",459,"1,658","1,997","2,555","19,341","1,389","9,798",88,495,320,851,"4,072","2,328"
2021년07월_계_10~19세,"85,036","19,709",56,187,118,436,185,534,368,640,883,"3,762","1,953","6,300","4,287","19,682",634,111,487,"1,382",945,975,"3,866","3,995",912,"1,374","5,001","26,342","2,360","1,021","1,266","1,414","6,436","1,039","6,732",570,"2,268","2,261",975,"19,303","1,837","7,526",153,725,538,"1,077","5,067","2,380"
2021년07월_계_20~29세,"119,652","24,766",166,302,315,680,295,"1,068",968,"1,017","1,265","4,109","1,506","7,489","5,586","28,133","1,105",179,884,"1,608","3,414","2,277","3,654","4,417","1,971","1,975","6,649","40,824","3,295","1,403","1,896","2,461","7,270","3,268","7,770","2,062","4,182","5,326","1,891","25,929","2,264","8,881",347,"2,051","1,090","2,024","7,349","1,923"
2021년07월_계_30~39세,"118,131","23,495",115,294,215,673,225,852,670,791,"1,135","3,438","1,535","7,528","6,024","22,152","1,080",204,715,"1,829","1,934","1,516","3,090","3,317","1,292","1,684","5,491","41,417","3,982","1,081","3,467","1,860","8,307","1,855","7,110","1,613","3,923","4,691","3,528","31,067","1,945","15,277",295,"1,479",774,"1,627","6,791","2,879"
2021년07월_계_40~49세,"136,086","30,601",166,394,359,784,378,945,801,"1,176","1,524","5,422","2,527","9,384","6,741","30,072","1,212",315,969,"2,084","1,829","1,834","5,005","5,442","1,704","2,106","7,572","43,210","4,150","1,563","2,617","2,361","9,948","1,971","9,239","1,291","3,850","4,271","1,949","32,203","3,028","12,776",404,"1,489","1,129","2,004","7,816","3,557"
2021년07월_계_50~59세,"136,934","33,176",436,853,825,"1,293",745,"1,104","1,147","1,569","1,855","5,210","2,137","9,185","6,817","33,602","2,105",573,"1,450","2,263","2,088","2,523","4,518","5,539","2,396","3,087","7,060","42,735","3,280","2,013","2,685","3,363","7,308","2,786","10,081","1,538","3,974","4,467","1,240","27,421","3,497","7,371",854,"1,976","1,508","2,229","7,689","2,297"
2021년07월_계_60~69세,"103,759","25,844",632,"1,360","1,004","1,355",893,"1,033","1,312","1,563","1,817","3,768","1,322","5,785","4,000","26,617","1,890",801,"1,407","2,089","2,063","2,661","2,353","2,979","2,447","2,744","5,183","29,584","2,573","1,640","2,189","2,710","3,717","2,526","6,218","1,296","2,715","3,220",780,"21,714","2,799","4,943","1,170","2,020","1,629","1,906","5,518","1,729"
2021년07월_계_70~79세,"47,621","12,401",327,793,564,620,609,659,789,988,"1,007","1,898",639,"2,095","1,413","12,544",835,540,734,886,"1,207","1,279","1,019","1,372","1,339","1,285","2,048","12,260","1,326",818,978,"1,112","1,417","1,237","2,102",618,998,"1,332",322,"10,416","1,423","2,140",685,"1,234",961,"1,110","2,076",787
2021년07월_계_80~89세,"24,432","6,493",236,541,367,466,467,374,435,478,433,816,284,979,617,"6,296",526,371,390,465,488,610,499,777,634,641,895,"6,038",690,485,565,574,651,483,936,240,464,705,245,"5,605",851,"1,127",507,663,488,517,"1,017",435
2021년07월_계_90~99세,"3,443",990,44,99,47,66,76,42,74,75,59,104,41,163,100,882,72,69,60,70,41,88,69,102,73,100,138,830,107,49,72,82,83,56,145,26,67,116,27,741,125,159,61,68,53,58,149,68
2021년07월_계_100세 이상,114,31,3,4,0,3,3,4,1,3,0,2,2,2,4,25,1,3,1,3,1,3,1,2,2,0,8,18,1,1,3,2,0,1,4,1,1,3,1,40,5,5,8,5,2,0,9,6
2021년07월_남_총인구수,"427,187","96,225","1,174","2,533","1,993","3,455","2,060","3,427","3,501","4,258","5,250","15,063","6,625","27,178","19,708","95,945","5,273","1,687","3,785","6,832","7,267","7,222","13,148","14,807","6,700","7,840","21,384","135,468","11,887","5,519","9,241","8,349","25,870","8,079","27,011","5,135","12,866","14,380","7,131","99,549","9,859","37,324","2,445","6,167","4,308","6,878","23,516","9,052"
2021년07월_남_연령구간인구수,"427,187","96,225","1,174","2,533","1,993","3,455","2,060","3,427","3,501","4,258","5,250","15,063","6,625","27,178","19,708","95,945","5,273","1,687","3,785","6,832","7,267","7,222","13,148","14,807","6,700","7,840","21,384","135,468","11,887","5,519","9,241","8,349","25,870","8,079","27,011","5,135","12,866","14,380","7,131","99,549","9,859","37,324","2,445","6,167","4,308","6,878","23,516","9,052"
2021년07월_남_0~9세,"36,935","8,179",28,54,44,198,46,202,123,203,300,"1,277",756,"2,743","2,205","6,701",295,45,129,693,318,318,"1,158","1,242",255,454,"1,794","12,143","1,113",326,"1,154",442,"2,878",324,"2,527",225,826,"1,031","1,297","9,912",708,"5,015",45,252,154,468,"2,083","1,187"
2021년07월_남_10~19세,"44,072","10,213",29,96,61,224,101,282,197,324,453,"1,908","1,020","3,295","2,223","10,208",333,63,240,683,486,479,"1,977","2,093",509,721,"2,624","13,644","1,197",524,688,734,"3,367",542,"3,452",298,"1,175","1,149",518,"10,007",961,"3,897",80,359,303,532,"2,659","1,216"
2021년07월_남_20~29세,"65,199","13,355",98,174,185,405,174,530,556,570,676,"2,164",815,"4,013","2,995","15,306",650,103,504,839,"1,765","1,252","2,005","2,420","1,129","1,095","3,544","22,087","1,589",776,"1,027","1,322","3,964","1,859","4,160","1,087","2,355","2,824","1,124","14,451","1,352","5,155",214,"1,095",622,"1,114","3,908",991
2021년07월_남_30~39세,"62,030","12,019",67,185,117,373,137,459,398,442,602,"1,711",724,"3,817","2,987","11,475",600,124,399,892,"1,099",845,"1,525","1,625",713,911,"2,742","21,792","2,004",582,"1,822","1,028","4,233","1,083","3,461",934,"2,334","2,475","1,836","16,744","1,040","8,414",196,837,456,921,"3,536","1,344"
2021년07월_남_40~49세,"69,022","15,200",106,246,213,419,239,482,456,603,808,"2,577","1,196","4,575","3,280","14,867",639,203,533,"1,039",970,"1,018","2,350","2,480",909,"1,067","3,659","21,964","2,151",835,"1,414","1,178","4,930","1,030","4,308",738,"2,096","2,216","1,068","16,991","1,613","6,916",273,840,626,"1,078","3,812","1,833"
2021년07월_남_50~59세,"68,577","16,510",231,471,452,662,426,542,597,786,961,"2,549","1,081","4,550","3,202","16,538","1,129",316,757,"1,067",965,"1,263","2,308","2,722","1,171","1,471","3,369","21,415","1,699","1,053","1,378","1,600","3,822","1,339","4,767",806,"2,052","2,248",651,"14,114","1,865","4,078",507,"1,037",777,"1,103","3,593","1,154"
2021년07월_남_60~69세,"50,850","12,765",359,718,538,715,477,486,632,700,850,"1,730",634,"2,944","1,982","12,847","1,020",435,741,"1,021",912,"1,245","1,163","1,412","1,155","1,365","2,378","14,611","1,282",852,"1,096","1,323","1,815","1,176","3,013",674,"1,369","1,595",416,"10,627","1,414","2,458",636,966,737,947,"2,643",826
2021년07월_남_70~79세,"21,433","5,564",162,377,266,286,283,295,348,437,428,845,286,922,629,"5,584",411,263,316,414,539,564,467,538,601,542,929,"5,595",593,405,458,522,620,550,956,277,481,588,145,"4,690",633,"1,007",310,529,428,508,928,347
2021년07월_남_80~89세,"8,349","2,195",83,185,108,150,158,143,175,179,159,281,100,293,181,"2,243",181,126,155,174,202,218,179,256,243,193,316,"2,057",236,161,189,182,231,169,330,91,163,234,71,"1,854",248,351,168,235,196,194,324,138
2021년07월_남_90~99세,700,222,11,26,9,23,18,6,19,13,13,21,13,26,24,170,14,9,11,10,11,19,16,19,15,21,25,158,23,5,14,18,10,7,37,4,15,20,5,150,24,32,14,17,7,13,27,16
2021년07월_남_100세 이상,20,3,0,1,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,4,2,0,0,1,0,0,0,0,1,0,0,0,9,1,1,2,0,2,0,3,0
2021년07월_여_총인구수,"420,455","97,415","1,057","2,405","1,915","3,320","1,906","3,552","3,292","4,435","5,319","16,009","6,815","27,110","20,280","97,182","4,802","1,558","3,597","7,204","7,374","7,174","13,203","15,565","6,567","8,030","22,108","131,627","12,090","5,213","8,792","8,424","24,917","7,748","28,239","4,579","11,234","14,009","6,382","94,231","9,304","32,679","2,127","6,038","4,184","6,525","24,037","9,337"
2021년07월_여_연령구간인구수,"420,455","97,415","1,057","2,405","1,915","3,320","1,906","3,552","3,292","4,435","5,319","16,009","6,815","27,110","20,280","97,182","4,802","1,558","3,597","7,204","7,374","7,174","13,203","15,565","6,567","8,030","22,108","131,627","12,090","5,213","8,792","8,424","24,917","7,748","28,239","4,579","11,234","14,009","6,382","94,231","9,304","32,679","2,127","6,038","4,184","6,525","24,037","9,337"
2021년07월_여_0~9세,"35,499","7,955",22,57,50,201,44,162,105,190,291,"1,266",738,"2,635","2,194","6,421",320,34,156,664,313,312,"1,119","1,188",242,420,"1,653","11,694","1,100",332,"1,141",392,"2,772",281,"2,386",234,832,966,"1,258","9,429",681,"4,783",43,243,166,383,"1,989","1,141"
2021년07월_여_10~19세,"40,964","9,496",27,91,57,212,84,252,171,316,430,"1,854",933,"3,005","2,064","9,474",301,48,247,699,459,496,"1,889","1,902",403,653,"2,377","12,698","1,163",497,578,680,"3,069",497,"3,280",272,"1,093","1,112",457,"9,296",876,"3,629",73,366,235,545,"2,408","1,164"
2021년07월_여_20~29세,"54,453","11,411",68,128,130,275,121,538,412,447,589,"1,945",691,"3,476","2,591","12,827",455,76,380,769,"1,649","1,025","1,649","1,997",842,880,"3,105","18,737","1,706",627,869,"1,139","3,306","1,409","3,610",975,"1,827","2,502",767,"11,478",912,"3,726",133,956,468,910,"3,441",932
2021년07월_여_30~39세,"56,101","11,476",48,109,98,300,88,393,272,349,533,"1,727",811,"3,711","3,037","10,677",480,80,316,937,835,671,"1,565","1,692",579,773,"2,749","19,625","1,978",499,"1,645",832,"4,074",772,"3,649",679,"1,589","2,216","1,692","14,323",905,"6,863",99,642,318,706,"3,255","1,535"
2021년07월_여_40~49세,"67,064","15,401",60,148,146,365,139,463,345,573,716,"2,845","1,331","4,809","3,461","15,205",573,112,436,"1,045",859,816,"2,655","2,962",795,"1,039","3,913","21,246","1,999",728,"1,203","1,183","5,018",941,"4,931",553,"1,754","2,055",881,"15,212","1,415","5,860",131,649,503,926,"4,004","1,724"
