,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년09월_계_총인구수,"210,299","4,904","2,032","3,045","8,716","3,022","2,334","3,974","13,023","3,744","3,724","2,312","3,270","1,949","2,759","23,554","7,180","15,592","5,288","9,660","17,927","3,683","9,407","14,702","37,776","6,722"
2020년09월_계_연령구간인구수,"210,299","4,904","2,032","3,045","8,716","3,022","2,334","3,974","13,023","3,744","3,724","2,312","3,270","1,949","2,759","23,554","7,180","15,592","5,288","9,660","17,927","3,683","9,407","14,702","37,776","6,722"
2020년09월_계_0~9세,"14,800",109,42,76,573,30,56,81,"1,982",324,112,55,84,64,106,"1,627",292,"1,272",252,379,"2,073",98,552,"1,056","2,895",610
2020년09월_계_10~19세,"19,044",223,65,118,412,118,98,139,940,284,172,80,171,78,157,"2,559",568,"2,026",479,716,"2,338",156,774,"1,758","3,926",689
2020년09월_계_20~29세,"24,313",383,122,202,"1,380",182,130,277,"1,556",497,262,149,191,100,286,"2,782",884,"1,887",587,"1,050","2,094",501,"1,121","1,922","5,005",763
2020년09월_계_30~39세,"23,537",312,100,163,"1,380",172,118,176,"2,974",460,186,122,171,115,232,"2,431",628,"1,674",446,870,"2,582",260,"1,028","1,504","4,581",852
2020년09월_계_40~49세,"31,082",496,164,258,"1,191",233,184,336,"2,003",511,340,197,268,151,337,"3,713",969,"2,903",738,"1,179","3,355",411,"1,414","2,562","6,002","1,167"
2020년09월_계_50~59세,"37,864","1,048",430,663,"1,468",605,413,825,"1,535",510,755,435,592,344,493,"4,397","1,313","2,731",976,"1,825","2,770",730,"1,754","2,854","7,195","1,203"
2020년09월_계_60~69세,"31,080","1,146",564,769,"1,265",769,616,"1,034","1,128",551,877,580,849,510,545,"3,290","1,248","1,678",873,"1,898","1,577",739,"1,505","1,642","4,661",766
2020년09월_계_70~79세,"17,465",680,333,499,600,503,409,640,531,348,567,388,516,342,351,"1,743",805,892,588,"1,111",725,482,878,899,"2,221",414
