카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년10월_계_총인구수,"209,499","4,817","2,007","2,917","8,985","2,926","2,250","3,926","13,618","3,795","3,619","2,248","3,107","1,946","2,694","23,240","6,874","15,231","5,150","9,394","19,691","3,755","9,255","14,523","36,941","6,590"
2021년10월_계_연령구간인구수,"209,499","4,817","2,007","2,917","8,985","2,926","2,250","3,926","13,618","3,795","3,619","2,248","3,107","1,946","2,694","23,240","6,874","15,231","5,150","9,394","19,691","3,755","9,255","14,523","36,941","6,590"
2021년10월_계_0~9세,"13,858",92,32,65,579,35,44,57,"2,033",325,86,44,68,60,88,"1,539",235,"1,161",228,317,"2,097",96,495,946,"2,581",555
2021년10월_계_10~19세,"18,537",194,58,109,432,93,84,113,"1,037",278,178,80,126,72,161,"2,456",512,"1,995",473,668,"2,477",155,722,"1,689","3,699",676
2021년10월_계_20~29세,"23,791",362,107,178,"1,411",159,112,237,"1,523",532,244,116,165,98,276,"2,639",820,"1,800",547,"1,029","2,406",536,"1,074","1,866","4,821",733
2021년10월_계_30~39세,"22,955",295,92,130,"1,421",150,102,172,"3,082",445,160,116,138,114,211,"2,335",587,"1,577",419,776,"2,987",262,976,"1,417","4,203",788
2021년10월_계_40~49세,"30,163",451,155,228,"1,196",199,160,292,"2,203",498,311,180,245,125,337,"3,554",912,"2,770",709,"1,130","3,585",406,"1,357","2,356","5,705","1,099"
2021년10월_계_50~59세,"37,015","1,000",395,572,"1,494",546,371,768,"1,560",507,700,421,534,339,466,"4,343","1,225","2,662",930,"1,692","2,958",699,"1,711","2,874","7,017","1,231"
2021년10월_계_60~69세,"34,206","1,247",620,833,"1,393",838,661,"1,147","1,239",598,942,609,912,547,548,"3,568","1,292","1,840",908,"2,037","1,944",828,"1,628","1,934","5,259",834
2021년10월_계_70~79세,"17,134",643,326,476,588,472,382,638,541,338,533,360,471,315,350,"1,720",802,888,569,"1,071",778,456,881,900,"2,238",398
2021년10월_계_80~89세,"10,447",480,183,287,417,388,287,431,348,246,399,283,399,248,223,974,436,478,328,595,402,285,368,482,"1,247",233
2021년10월_계_90~99세,"1,353",52,38,39,52,44,44,70,52,27,64,38,46,28,34,108,50,57,39,77,56,32,42,57,166,41
