카테고리,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년01월_계_총인구수,"1,068,641","467,673","15,670","23,925","44,606","22,030","11,718","6,555","21,992","19,974","31,094","36,539","15,977","38,635","33,915","19,846","22,643","33,001","47,051","19,813","2,689","298,093","34,271","47,732","24,246","39,572","31,283","20,899","24,888","16,733","9,927","26,078","22,464","302,875","28,285","19,153","36,595","52,903","28,487","29,668","34,865","21,582","51,337"
2020년01월_계_연령구간인구수,"1,068,641","467,673","15,670","23,925","44,606","22,030","11,718","6,555","21,992","19,974","31,094","36,539","15,977","38,635","33,915","19,846","22,643","33,001","47,051","19,813","2,689","298,093","34,271","47,732","24,246","39,572","31,283","20,899","24,888","16,733","9,927","26,078","22,464","302,875","28,285","19,153","36,595","52,903","28,487","29,668","34,865","21,582","51,337"
2020년01월_계_0~9세,"84,767","38,922",660,"3,336","5,700","1,406",710,748,"2,235","2,434","2,516","2,295",976,"2,233","2,894",841,"1,618","2,484","3,110","2,631",95,"21,818","3,466","3,643","1,356","3,501","2,177",963,"1,558","1,290","1,230","1,200","1,434","24,027","2,206","1,087","2,731","4,998","2,108","2,143","2,250","1,653","4,851"
2020년01월_계_10~19세,"108,827","42,545","1,338","1,853","3,712","1,984","1,152",457,"1,414","1,485","3,327","2,945","1,322","3,949","4,028","1,366","2,240","3,140","5,244","1,391",198,"30,783","4,642","4,786","2,332","4,730","2,994","1,456","3,398","2,311",878,"1,615","1,641","35,499","2,909","1,643","6,040","5,954","3,470","3,408","3,118","2,441","6,516"
2020년01월_계_20~29세,"149,772","62,359","2,226","2,421","5,072","2,970","1,470","1,022","2,738","2,302","3,543","4,433","2,159","6,316","4,672","2,998","3,217","5,019","7,032","2,256",493,"44,526","4,704","7,104","4,066","5,398","5,028","3,290","3,936","2,297","1,061","4,783","2,859","42,887","4,095","2,862","5,020","7,618","3,754","3,857","6,146","3,069","6,466"
2020년01월_계_30~39세,"141,632","66,274","1,552","4,328","8,062","2,545","1,396","1,343","4,245","4,432","3,628","4,334","1,818","4,310","4,341","2,389","2,825","5,011","5,303","4,134",278,"38,588","3,820","5,695","3,031","4,919","4,645","3,544","2,303","1,579","1,553","4,624","2,875","36,770","3,382","2,052","3,457","7,336","3,261","3,454","5,051","2,873","5,904"
2020년01월_계_40~49세,"185,649","78,583","2,361","4,199","8,140","3,705","1,850","1,002","3,445","3,439","5,531","5,797","2,431","6,350","6,610","2,975","3,790","5,288","8,181","3,176",313,"52,775","6,974","7,691","3,865","7,212","5,395","3,906","4,399","3,074","1,807","4,946","3,506","54,291","4,708","2,794","7,585","9,645","4,978","5,098","5,562","3,880","10,041"
2020년01월_계_50~59세,"191,834","81,546","3,306","3,375","6,154","4,274","2,131",883,"3,269","2,535","5,057","6,958","3,277","7,586","5,810","4,215","4,291","6,041","9,189","2,709",486,"55,007","5,969","9,246","4,602","6,816","5,718","3,784","4,888","3,104","1,750","4,638","4,492","55,281","5,294","4,299","6,536","9,454","5,033","5,246","6,470","3,918","9,031"
2020년01월_계_60~69세,"110,048","51,850","2,243","2,601","4,347","2,722","1,490",534,"2,496","1,917","3,919","5,311","2,162","3,764","2,790","2,741","2,513","3,098","4,733","2,026",443,"29,758","2,675","5,090","2,776","3,838","3,061","2,088","2,399","1,451","1,035","2,185","3,160","28,440","2,952","2,461","2,905","4,097","2,823","2,932","3,435","2,044","4,791"
2020년01월_계_70~79세,"60,493","29,614","1,288","1,240","2,356","1,559",959,355,"1,480",979,"2,408","3,006","1,211","2,520","1,712","1,483","1,389","1,847","2,590",979,253,"15,223","1,328","2,673","1,409","1,978","1,447","1,140","1,191",856,433,"1,220","1,548","15,656","1,786","1,221","1,351","2,291","1,700","1,968","1,794","1,084","2,461"
