카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년03월_계_총인구수,"531,037","23,055","27,726","31,175","38,163","40,028","28,222","23,124","25,651","27,819","21,058","36,265","39,773","20,888","27,246","25,031","34,191","23,567","21,614","16,441"
2020년03월_계_연령구간인구수,"531,037","23,055","27,726","31,175","38,163","40,028","28,222","23,124","25,651","27,819","21,058","36,265","39,773","20,888","27,246","25,031","34,191","23,567","21,614","16,441"
2020년03월_계_0~9세,"35,393","1,328","1,839","2,426","2,300","3,068","1,245","1,613","1,702","2,075","1,252","2,298","2,542","1,052","1,485","1,207","2,739","2,654","1,535","1,033"
2020년03월_계_10~19세,"55,811","1,841","2,301","2,270","2,885","4,668","3,468","2,932","4,591","5,878","2,478","3,416","3,505","2,009","2,200","2,185","3,209","2,221","2,283","1,471"
2020년03월_계_20~29세,"74,040","3,890","3,263","3,676","6,712","6,549","4,994","3,250","3,379","3,027","2,631","4,452","5,530","3,329","3,258","3,493","4,721","2,717","2,751","2,418"
2020년03월_계_30~39세,"66,867","2,905","3,396","4,883","5,604","5,314","2,790","2,602","1,997","2,091","2,072","4,479","5,058","2,429","3,019","2,745","5,056","4,974","2,904","2,549"
2020년03월_계_40~49세,"89,167","3,523","4,424","4,779","5,601","6,801","4,463","4,244","5,319","6,804","3,680","6,159","5,925","3,228","4,134","3,884","5,864","4,003","3,695","2,637"
2020년03월_계_50~59세,"88,633","3,676","4,649","4,895","5,967","6,100","5,023","4,000","4,646","4,440","3,644","5,721","7,200","4,003","4,871","4,584","5,637","3,045","3,640","2,892"
2020년03월_계_60~69세,"65,809","3,106","4,311","4,496","5,248","4,261","3,395","2,382","2,242","1,971","2,582","4,748","5,704","2,774","4,207","3,607","3,846","2,189","2,714","2,026"
2020년03월_계_70~79세,"36,861","1,954","2,431","2,541","2,672","2,206","1,804","1,344","1,124",983,"1,858","3,284","2,853","1,409","2,776","2,257","1,971","1,152","1,357",885
2020년03월_계_80~89세,"15,845",709,953,"1,054","1,011",907,907,662,555,479,744,"1,480","1,202",560,"1,131",901,974,531,632,453
2020년03월_계_90~99세,"2,349",110,146,141,148,140,126,91,83,59,104,214,206,83,138,143,168,77,100,72
2020년03월_계_100세 이상,262,13,13,14,15,14,7,4,13,12,13,14,48,12,27,25,6,4,3,5
2020년03월_남_총인구수,"256,726","11,908","13,362","14,955","18,703","19,498","13,584","11,051","12,553","13,625","10,206","16,793","19,330","10,321","13,539","12,189","15,890","11,328","10,317","7,574"
2020년03월_남_연령구간인구수,"256,726","11,908","13,362","14,955","18,703","19,498","13,584","11,051","12,553","13,625","10,206","16,793","19,330","10,321","13,539","12,189","15,890","11,328","10,317","7,574"
2020년03월_남_0~9세,"18,223",680,938,"1,262","1,184","1,575",631,823,892,"1,133",628,"1,166","1,332",539,753,614,"1,396","1,370",788,519
2020년03월_남_10~19세,"28,941",984,"1,191","1,171","1,444","2,378","1,934","1,507","2,318","3,104","1,384","1,644","1,823","1,039","1,197","1,105","1,647","1,128","1,214",729
2020년03월_남_20~29세,"38,176","2,270","1,736","1,844","3,421","3,233","2,687","1,643","1,762","1,586","1,384","2,299","2,829","1,655","1,761","1,836","2,309","1,311","1,449","1,161"
2020년03월_남_30~39세,"33,280","1,572","1,697","2,446","2,882","2,615","1,411","1,242",927,893,"1,042","2,198","2,541","1,244","1,598","1,457","2,355","2,473","1,448","1,239"
2020년03월_남_40~49세,"42,536","1,837","2,228","2,415","2,841","3,245","1,982","1,967","2,366","3,025","1,742","2,994","2,813","1,578","2,098","1,910","2,679","1,964","1,684","1,168"
2020년03월_남_50~59세,"42,917","1,846","2,235","2,260","2,846","3,004","2,394","1,956","2,418","2,349","1,806","2,728","3,394","1,981","2,432","2,232","2,585","1,444","1,695","1,312"
2020년03월_남_60~69세,"30,696","1,481","1,927","2,023","2,456","2,039","1,557","1,115","1,180",972,"1,209","2,053","2,777","1,379","2,002","1,691","1,741",947,"1,237",910
2020년03월_남_70~79세,"15,894",900,"1,081","1,136","1,214","1,021",689,562,468,402,738,"1,209","1,296",667,"1,220",980,840,502,585,384
2020년03월_남_80~89세,"5,413",310,295,365,376,343,259,214,195,140,247,446,450,217,438,317,302,172,197,130
2020년03월_남_90~99세,571,25,33,31,37,39,38,21,24,18,26,53,43,16,33,43,35,17,20,19
2020년03월_남_100세 이상,79,3,1,2,2,6,2,1,3,3,0,3,32,6,7,4,1,0,0,3
2020년03월_여_총인구수,"274,311","11,147","14,364","16,220","19,460","20,530","14,638","12,073","13,098","14,194","10,852","19,472","20,443","10,567","13,707","12,842","18,301","12,239","11,297","8,867"
