카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년03월_계_총인구수,"374,570","24,833","39,703","22,259","21,881","13,243","12,310","23,405","25,098","24,112","18,601","21,340","19,141","15,748","19,792","41,135","31,969"
2020년03월_계_연령구간인구수,"374,570","24,833","39,703","22,259","21,881","13,243","12,310","23,405","25,098","24,112","18,601","21,340","19,141","15,748","19,792","41,135","31,969"
2020년03월_계_0~9세,"26,205","2,652","2,391","1,578","2,340",615,958,"1,730","1,988",923,"1,249","1,169","1,278",697,"1,071","2,777","2,789"
2020년03월_계_10~19세,"29,457","1,598","2,586","1,696","1,983",897,"1,147","2,009","1,809","1,303","1,025","1,394","1,661",865,"1,533","3,651","4,300"
2020년03월_계_20~29세,"61,165","3,123","6,727","3,120","2,351","3,049","1,798","3,536","4,662","5,336","3,616","3,557","2,820","3,115","3,207","6,802","4,346"
2020년03월_계_30~39세,"65,355","5,175","6,642","3,746","3,802","2,125","1,922","3,848","4,262","5,016","3,851","4,058","3,087","3,201","3,517","6,971","4,132"
2020년03월_계_40~49세,"62,380","3,992","5,947","3,357","4,372","1,984","2,218","4,024","4,166","3,759","2,688","3,370","3,303","2,412","3,486","6,878","6,424"
2020년03월_계_50~59세,"54,409","3,762","6,754","3,543","2,943","1,836","1,828","3,541","3,689","3,110","2,432","3,073","2,785","2,055","2,898","5,738","4,422"
2020년03월_계_60~69세,"38,555","2,532","4,462","2,654","2,088","1,338","1,158","2,390","2,361","2,226","1,904","2,402","2,159","1,687","2,125","4,144","2,925"
2020년03월_계_70~79세,"24,419","1,217","2,740","1,566","1,287",883,854,"1,542","1,397","1,556","1,224","1,617","1,444","1,115","1,364","2,884","1,729"
2020년03월_계_80~89세,"10,723",630,"1,246",829,627,419,370,670,653,734,516,618,518,503,514,"1,097",779
2020년03월_계_90~99세,"1,579",101,167,143,78,74,45,98,96,125,79,77,70,80,61,179,106
2020년03월_계_100세 이상,323,51,41,27,10,23,12,17,15,24,17,5,16,18,16,14,17
2020년03월_남_총인구수,"176,943","11,636","18,789","10,637","10,341","6,461","5,981","11,406","11,941","11,105","8,640","10,044","9,092","7,388","9,328","18,875","15,279"
2020년03월_남_연령구간인구수,"176,943","11,636","18,789","10,637","10,341","6,461","5,981","11,406","11,941","11,105","8,640","10,044","9,092","7,388","9,328","18,875","15,279"
