카테고리,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020년01월_계_총인구수,"51,847,509","9,733,509","3,411,819","2,436,488","2,956,119","1,456,688","1,474,152","1,147,037","342,328","13,250,368","1,540,540","1,599,391","2,122,455","1,817,302","1,864,712","2,662,508","3,361,344","670,749"
2020년01월_계_연령구간인구수,"51,847,509","9,733,509","3,411,819","2,436,488","2,956,119","1,456,688","1,474,152","1,147,037","342,328","13,250,368","1,540,540","1,599,391","2,122,455","1,817,302","1,864,712","2,662,508","3,361,344","670,749"
2020년01월_계_0~9세,"4,148,654","660,410","242,231","187,477","241,048","125,900","121,132","103,835","47,342","1,180,483","109,120","128,793","180,865","136,102","138,546","199,154","284,183","62,033"
2020년01월_계_10~19세,"4,940,455","816,346","282,183","235,903","282,326","163,590","152,558","116,334","40,361","1,351,772","142,857","153,715","207,409","181,692","174,079","234,724","332,811","71,795"
2020년01월_계_20~29세,"6,806,410","1,457,376","435,626","323,212","407,195","207,983","212,630","148,649","36,452","1,771,845","180,682","199,901","245,107","213,494","204,015","293,166","386,854","82,223"
2020년01월_계_30~39세,"7,045,120","1,507,127","433,536","304,758","419,066","192,125","199,709","158,880","61,447","1,920,085","170,183","199,322","277,923","196,940","194,065","304,966","420,582","84,406"
2020년01월_계_40~49세,"8,389,281","1,562,505","517,826","392,841","490,378","244,541","242,465","190,754","65,109","2,294,108","228,154","243,851","328,866","274,349","265,378","391,303","543,802","113,051"
2020년01월_계_50~59세,"8,666,971","1,539,740","581,966","428,568","516,278","233,833","243,752","211,323","42,665","2,201,660","270,181","274,025","341,152","303,487","317,456","464,755","585,162","110,968"
2020년01월_계_60~69세,"6,344,284","1,194,854","509,116","309,806","341,815","154,208","169,130","135,476","27,467","1,410,184","224,502","208,445","262,421","243,700","258,310","387,775","432,284","74,791"
2020년01월_계_70~79세,"3,607,104","687,085","284,987","170,765","171,847","90,935","88,002","57,248","13,558","740,409","135,828","119,138","167,116","165,237","192,234","238,260","239,878","44,577"
2020년01월_계_80~89세,"1,644,448","261,722","108,317","73,744","73,779","37,735","38,976","21,413","6,804","327,622","67,838","63,105","97,385","88,857","105,063","130,048","119,203","22,837"
2020년01월_계_90~99세,"234,401","40,019","14,235","8,726","11,487","5,438","5,464","2,967","1,068","48,235","10,400","8,557","13,328","12,637","14,760","17,417","15,864","3,799"
2020년01월_계_100세 이상,"20,381","6,325","1,796",688,900,400,334,158,55,"3,965",795,539,883,807,806,940,721,269
2020년01월_남_총인구수,"25,862,863","4,745,088","1,674,202","1,204,387","1,481,749","720,931","736,259","589,233","170,729","6,665,310","774,866","810,129","1,081,552","903,385","935,962","1,340,346","1,691,504","337,231"
2020년01월_남_연령구간인구수,"25,862,863","4,745,088","1,674,202","1,204,387","1,481,749","720,931","736,259","589,233","170,729","6,665,310","774,866","810,129","1,081,552","903,385","935,962","1,340,346","1,691,504","337,231"
2020년01월_남_0~9세,"2,128,540","339,150","124,296","96,147","123,695","64,677","62,226","53,431","24,214","604,946","55,888","65,809","92,704","69,811","70,759","102,701","146,194","31,892"
2020년01월_남_10~19세,"2,559,161","419,617","146,268","123,601","145,302","85,034","79,118","61,350","20,258","696,108","74,506","80,132","107,651","94,138","90,410","123,702","174,439","37,527"
2020년01월_남_20~29세,"3,577,821","713,008","228,155","173,663","212,668","108,596","111,910","83,217","18,418","931,584","101,150","110,927","134,646","114,897","112,943","164,749","213,831","43,459"
