카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020년01월_계_총인구수,"62,628","29,521","8,688","2,411","4,495","5,374","5,390","4,444","2,305"
2020년01월_계_연령구간인구수,"62,628","29,521","8,688","2,411","4,495","5,374","5,390","4,444","2,305"
2020년01월_계_0~9세,"3,259","2,304",329,60,136,133,116,133,48
2020년01월_계_10~19세,"4,619","2,988",572,136,210,197,227,188,101
2020년01월_계_20~29세,"5,307","3,030",589,128,520,309,269,335,127
2020년01월_계_30~39세,"5,509","3,447",626,130,282,335,277,285,127
2020년01월_계_40~49세,"7,908","4,534","1,063",242,405,511,545,427,181
2020년01월_계_50~59세,"11,019","4,966","1,575",483,790,"1,007",995,807,396
2020년01월_계_60~69세,"11,524","4,056","1,860",517,971,"1,343","1,286",942,549
2020년01월_계_70~79세,"8,538","2,729","1,390",454,730,971,"1,034",790,440
2020년01월_계_80~89세,"4,339","1,292",580,233,397,503,569,469,296
2020년01월_계_90~99세,584,171,93,28,53,63,71,67,38
2020년01월_계_100세 이상,22,4,11,0,1,2,1,1,2
2020년01월_남_총인구수,"31,623","14,907","4,342","1,157","2,337","2,775","2,667","2,271","1,167"
2020년01월_남_연령구간인구수,"31,623","14,907","4,342","1,157","2,337","2,775","2,667","2,271","1,167"
2020년01월_남_0~9세,"1,634","1,166",166,22,61,63,59,69,28
2020년01월_남_10~19세,"2,402","1,538",314,61,109,113,115,98,54
2020년01월_남_20~29세,"3,098","1,718",336,70,368,195,150,196,65
2020년01월_남_30~39세,"3,070","1,843",349,71,162,215,171,180,79
2020년01월_남_40~49세,"4,519","2,422",610,146,256,340,346,271,128
2020년01월_남_50~59세,"5,750","2,524",848,258,397,538,522,436,227
2020년01월_남_60~69세,"5,529","1,950",857,249,494,643,615,459,262
2020년01월_남_70~79세,"3,970","1,268",636,199,337,458,476,383,213
2020년01월_남_80~89세,"1,527",441,203,76,138,196,201,165,107
2020년01월_남_90~99세,120,37,21,5,14,14,12,13,4
2020년01월_남_100세 이상,4,0,2,0,1,0,0,1,0
2020년01월_여_총인구수,"31,005","14,614","4,346","1,254","2,158","2,599","2,723","2,173","1,138"
2020년01월_여_연령구간인구수,"31,005","14,614","4,346","1,254","2,158","2,599","2,723","2,173","1,138"
2020년01월_여_0~9세,"1,625","1,138",163,38,75,70,57,64,20
2020년01월_여_10~19세,"2,217","1,450",258,75,101,84,112,90,47
2020년01월_여_20~29세,"2,209","1,312",253,58,152,114,119,139,62
2020년01월_여_30~39세,"2,439","1,604",277,59,120,120,106,105,48
2020년01월_여_40~49세,"3,389","2,112",453,96,149,171,199,156,53
2020년01월_여_50~59세,"5,269","2,442",727,225,393,469,473,371,169
2020년01월_여_60~69세,"5,995","2,106","1,003",268,477,700,671,483,287
2020년01월_여_70~79세,"4,568","1,461",754,255,393,513,558,407,227
2020년01월_여_80~89세,"2,812",851,377,157,259,307,368,304,189
2020년01월_여_90~99세,464,134,72,23,39,49,59,54,34
2020년01월_여_100세 이상,18,4,9,0,0,2,1,0,2
2020년02월_계_총인구수,"62,418","29,381","8,666","2,394","4,464","5,393","5,374","4,442","2,304"
2020년02월_계_연령구간인구수,"62,418","29,381","8,666","2,394","4,464","5,393","5,374","4,442","2,304"
2020년02월_계_0~9세,"3,209","2,270",326,60,135,132,110,127,49
2020년02월_계_10~19세,"4,561","2,971",556,133,199,196,220,186,100
2020년02월_계_20~29세,"5,240","2,990",587,121,505,318,259,334,126
2020년02월_계_30~39세,"5,421","3,366",616,128,280,338,281,285,127
2020년02월_계_40~49세,"7,885","4,533","1,061",236,399,504,543,425,184
2020년02월_계_50~59세,"10,945","4,949","1,563",476,782,"1,012",988,788,387
2020년02월_계_60~69세,"11,619","4,090","1,877",524,986,"1,342","1,294",960,546
2020년02월_계_70~79세,"8,550","2,735","1,391",453,722,975,"1,037",793,444
2020년02월_계_80~89세,"4,379","1,301",586,235,401,512,569,475,300
2020년02월_계_90~99세,586,172,92,28,54,61,72,68,39
2020년02월_계_100세 이상,23,4,11,0,1,3,1,1,2
2020년02월_남_총인구수,"31,524","14,848","4,329","1,147","2,318","2,792","2,659","2,265","1,166"
2020년02월_남_연령구간인구수,"31,524","14,848","4,329","1,147","2,318","2,792","2,659","2,265","1,166"
2020년02월_남_0~9세,"1,603","1,148",163,22,59,62,58,63,28
2020년02월_남_10~19세,"2,382","1,533",306,59,107,113,112,98,54
2020년02월_남_20~29세,"3,057","1,694",334,66,356,205,144,193,65
2020년02월_남_30~39세,"3,029","1,805",344,69,162,217,172,181,79
2020년02월_남_40~49세,"4,503","2,423",607,147,250,333,345,267,131
2020년02월_남_50~59세,"5,718","2,515",836,255,398,543,522,429,220
2020년02월_남_60~69세,"5,582","1,973",874,251,497,644,616,465,262
2020년02월_남_70~79세,"3,983","1,277",638,197,332,460,480,385,214
2020년02월_남_80~89세,"1,541",442,205,76,142,200,197,170,109
2020년02월_남_90~99세,122,38,20,5,14,15,13,13,4
2020년02월_남_100세 이상,4,0,2,0,1,0,0,1,0
2020년02월_여_총인구수,"30,894","14,533","4,337","1,247","2,146","2,601","2,715","2,177","1,138"
2020년02월_여_연령구간인구수,"30,894","14,533","4,337","1,247","2,146","2,601","2,715","2,177","1,138"
2020년02월_여_0~9세,"1,606","1,122",163,38,76,70,52,64,21
2020년02월_여_10~19세,"2,179","1,438",250,74,92,83,108,88,46
2020년02월_여_20~29세,"2,183","1,296",253,55,149,113,115,141,61
2020년02월_여_30~39세,"2,392","1,561",272,59,118,121,109,104,48
2020년02월_여_40~49세,"3,382","2,110",454,89,149,171,198,158,53
2020년02월_여_50~59세,"5,227","2,434",727,221,384,469,466,359,167
2020년02월_여_60~69세,"6,037","2,117","1,003",273,489,698,678,495,284
2020년02월_여_70~79세,"4,567","1,458",753,256,390,515,557,408,230
2020년02월_여_80~89세,"2,838",859,381,159,259,312,372,305,191
2020년02월_여_90~99세,464,134,72,23,40,46,59,55,35
2020년02월_여_100세 이상,19,4,9,0,0,3,1,0,2
2020년03월_계_총인구수,"62,324","29,375","8,676","2,385","4,418","5,394","5,357","4,422","2,297"
2020년03월_계_연령구간인구수,"62,324","29,375","8,676","2,385","4,418","5,394","5,357","4,422","2,297"
2020년03월_계_0~9세,"3,183","2,261",321,59,131,127,112,124,48
2020년03월_계_10~19세,"4,546","2,958",570,132,192,197,213,185,99
2020년03월_계_20~29세,"5,206","2,984",584,119,489,321,257,330,122
2020년03월_계_30~39세,"5,366","3,338",614,128,270,333,278,276,129
2020년03월_계_40~49세,"7,840","4,504","1,056",237,399,504,539,416,185
2020년03월_계_50~59세,"10,905","4,951","1,553",475,773,"1,011",976,786,380
2020년03월_계_60~69세,"11,653","4,123","1,884",523,981,"1,341","1,294",963,544
2020년03월_계_70~79세,"8,588","2,767","1,396",442,721,978,"1,042",796,446
2020년03월_계_80~89세,"4,421","1,313",594,244,406,516,575,471,302
2020년03월_계_90~99세,593,172,93,26,55,63,70,74,40
2020년03월_계_100세 이상,23,4,11,0,1,3,1,1,2
2020년03월_남_총인구수,"31,434","14,832","4,327","1,147","2,285","2,789","2,652","2,243","1,159"
2020년03월_남_연령구간인구수,"31,434","14,832","4,327","1,147","2,285","2,789","2,652","2,243","1,159"
2020년03월_남_0~9세,"1,580","1,140",157,22,56,59,60,59,27
2020년03월_남_10~19세,"2,368","1,519",315,58,104,114,107,97,54
2020년03월_남_20~29세,"3,040","1,697",332,66,342,205,144,191,63
2020년03월_남_30~39세,"2,993","1,789",342,71,154,218,167,172,80
2020년03월_남_40~49세,"4,474","2,404",604,148,253,330,346,259,130
2020년03월_남_50~59세,"5,695","2,521",826,255,391,545,515,427,215
2020년03월_남_60~69세,"5,596","1,983",881,252,495,639,620,462,264
2020년03월_남_70~79세,"4,005","1,294",641,190,332,463,483,391,211
2020년03월_남_80~89세,"1,554",446,207,80,142,201,197,170,111
2020년03월_남_90~99세,125,39,20,5,15,15,13,14,4
2020년03월_남_100세 이상,4,0,2,0,1,0,0,1,0
2020년03월_여_총인구수,"30,890","14,543","4,349","1,238","2,133","2,605","2,705","2,179","1,138"
2020년03월_여_연령구간인구수,"30,890","14,543","4,349","1,238","2,133","2,605","2,705","2,179","1,138"
2020년03월_여_0~9세,"1,603","1,121",164,37,75,68,52,65,21
2020년03월_여_10~19세,"2,178","1,439",255,74,88,83,106,88,45
2020년03월_여_20~29세,"2,166","1,287",252,53,147,116,113,139,59
2020년03월_여_30~39세,"2,373","1,549",272,57,116,115,111,104,49
2020년03월_여_40~49세,"3,366","2,100",452,89,146,174,193,157,55
2020년03월_여_50~59세,"5,210","2,430",727,220,382,466,461,359,165
2020년03월_여_60~69세,"6,057","2,140","1,003",271,486,702,674,501,280
2020년03월_여_70~79세,"4,583","1,473",755,252,389,515,559,405,235
2020년03월_여_80~89세,"2,867",867,387,164,264,315,378,301,191
2020년03월_여_90~99세,468,133,73,21,40,48,57,60,36
2020년03월_여_100세 이상,19,4,9,0,0,3,1,0,2
2020년04월_계_총인구수,"62,283","29,359","8,666","2,385","4,402","5,405","5,358","4,409","2,299"
2020년04월_계_연령구간인구수,"62,283","29,359","8,666","2,385","4,402","5,405","5,358","4,409","2,299"
2020년04월_계_0~9세,"3,199","2,260",330,63,130,128,115,126,47
