년도,월,나이,속초시,영랑동,동명동,금호동,교동,노학동,조양동,청호동,대포동
2020,1,총,"41,370","2,286","2,008","3,279","5,086","10,973","13,978","2,206","1,554"
2020,1,0,"2,952",98,127,113,308,734,"1,419",112,41
2020,1,10,"3,725",142,133,240,451,"1,181","1,414",107,57
2020,1,20,"3,901",176,173,272,481,"1,092","1,416",178,113
2020,1,30,"4,369",183,201,200,466,"1,094","1,917",212,96
2020,1,40,"6,369",270,234,422,764,"1,875","2,414",225,165
2020,1,50,"7,732",472,399,712,964,"2,031","2,417",421,316
2020,1,60,"6,059",470,342,594,837,"1,464","1,577",401,374
2020,1,70,"3,784",289,242,425,499,887,901,300,241
2020,1,80,"2,013",150,129,227,256,500,427,201,123
2020,1,90,446,36,26,72,58,108,73,47,26
2020,1,100,20,0,2,2,2,7,3,2,2
2020,2,총,"41,332","2,282","1,978","3,274","5,070","10,964","13,969","2,224","1,571"
2020,2,0,"2,941",100,124,112,304,732,"1,414",111,44
2020,2,10,"3,684",133,133,235,453,"1,172","1,391",109,58
2020,2,20,"3,898",176,170,278,478,"1,082","1,422",178,114
2020,2,30,"4,348",187,194,199,457,"1,084","1,911",220,96
2020,2,40,"6,350",265,229,417,761,"1,875","2,402",231,170
2020,2,50,"7,711",466,396,706,960,"2,029","2,423",416,315
2020,2,60,"6,106",477,340,601,844,"1,472","1,584",412,376
2020,2,70,"3,792",284,238,424,500,897,910,295,244
2020,2,80,"2,032",156,126,229,253,507,435,200,126
2020,2,90,450,38,26,71,58,107,74,50,26
2020,2,100,20,0,2,2,2,7,3,2,2
2020,3,총,"41,291","2,263","1,958","3,264","5,047","10,986","13,981","2,231","1,561"
2020,3,0,"2,934",100,126,110,299,735,"1,412",111,41
2020,3,10,"3,668",131,129,232,448,"1,174","1,381",114,59
2020,3,20,"3,870",172,165,275,480,"1,076","1,414",179,109
2020,3,30,"4,347",190,196,197,451,"1,082","1,909",227,95
2020,3,40,"6,304",254,228,415,746,"1,872","2,391",231,167
2020,3,50,"7,700",459,390,702,962,"2,035","2,426",414,312
2020,3,60,"6,168",483,336,605,848,"1,487","1,614",416,379
2020,3,70,"3,794",284,232,424,504,901,913,292,244
2020,3,80,"2,028",151,128,232,247,508,439,197,126
2020,3,90,458,39,26,70,60,109,79,48,27
2020,3,100,20,0,2,2,2,7,3,2,2
2020,4,총,"41,320","2,244","1,954","3,280","5,052","10,990","14,000","2,239","1,561"
2020,4,0,"2,921",93,126,114,304,730,"1,402",112,40
2020,4,10,"3,667",127,133,232,454,"1,175","1,375",116,55
2020,4,20,"3,865",169,159,276,486,"1,068","1,423",171,113
2020,4,30,"4,336",186,201,200,449,"1,082","1,899",225,94
2020,4,40,"6,304",252,229,417,738,"1,855","2,404",241,168
2020,4,50,"7,697",453,386,700,959,"2,058","2,413",413,315
2020,4,60,"6,195",490,337,608,841,"1,492","1,627",422,378
2020,4,70,"3,801",283,227,426,504,905,924,288,244
2020,4,80,"2,054",153,129,234,255,507,450,202,124
2020,4,90,460,38,25,71,60,111,80,47,28
2020,4,100,20,0,2,2,2,7,3,2,2
2020,5,총,"41,356","2,237","1,929","3,252","5,033","10,958","14,141","2,248","1,558"
2020,5,0,"2,902",92,126,111,294,724,"1,402",113,40
2020,5,10,"3,667",127,131,232,444,"1,166","1,398",117,52
2020,5,20,"3,865",164,159,272,489,"1,064","1,437",164,116
2020,5,30,"4,342",188,196,196,440,"1,072","1,927",227,96
2020,5,40,"6,298",249,226,403,739,"1,848","2,420",246,167
2020,5,50,"7,690",448,376,693,953,"2,052","2,437",420,311
2020,5,60,"6,230",491,336,612,848,"1,502","1,650",414,377
2020,5,70,"3,808",284,226,428,503,897,933,292,245
2020,5,80,"2,064",155,128,231,257,511,454,204,124
2020,5,90,469,38,23,72,64,115,80,49,28
2020,5,100,21,1,2,2,2,7,3,2,2
2020,6,총,"41,476","2,212","1,903","3,208","4,966","10,813","14,585","2,244","1,545"
2020,6,0,"2,927",88,117,110,282,719,"1,456",115,40
2020,6,10,"3,649",123,133,225,433,"1,134","1,435",116,50
2020,6,20,"3,904",161,153,268,473,"1,061","1,509",167,112
2020,6,30,"4,336",186,182,197,440,"1,033","1,983",222,93
2020,6,40,"6,297",239,232,391,723,"1,804","2,497",248,163
2020,6,50,"7,673",447,372,681,939,"2,024","2,488",412,310
2020,6,60,"6,308",494,335,611,850,"1,509","1,712",418,379
2020,6,70,"3,826",283,226,425,503,900,952,292,245
2020,6,80,"2,069",152,128,227,258,511,467,203,123
2020,6,90,466,38,23,71,63,111,83,49,28
2020,6,100,21,1,2,2,2,7,3,2,2
2020,7,총,"41,543","2,212","1,883","3,205","4,904","10,735","14,821","2,240","1,543"
2020,7,0,"2,920",88,118,110,269,710,"1,468",116,41
2020,7,10,"3,655",123,131,226,431,"1,113","1,469",113,49
2020,7,20,"3,913",163,148,266,451,"1,050","1,557",168,110
2020,7,30,"4,309",180,175,198,435,"1,013","2,001",218,89
2020,7,40,"6,293",238,230,379,712,"1,784","2,547",244,159
2020,7,50,"7,688",443,369,685,929,"2,019","2,519",408,316
2020,7,60,"6,362",505,337,616,850,"1,513","1,739",424,378
2020,7,70,"3,830",282,224,423,499,902,963,292,245
2020,7,80,"2,081",151,128,229,261,511,471,205,125
2020,7,90,471,38,21,71,65,114,83,50,29
2020,7,100,21,1,2,2,2,6,4,2,2
2020,8,총,"41,601","2,216","1,876","3,209","4,897","10,720","14,922","2,227","1,534"
2020,8,0,"2,927",90,117,112,265,700,"1,489",113,41
2020,8,10,"3,639",120,130,227,430,"1,105","1,470",110,47
2020,8,20,"3,912",164,149,264,449,"1,042","1,573",164,107
2020,8,30,"4,318",181,174,199,434,"1,015","2,013",214,88
2020,8,40,"6,307",238,230,377,708,"1,775","2,572",249,158
2020,8,50,"7,672",444,363,684,924,"2,017","2,525",403,312
2020,8,60,"6,424",506,341,617,861,"1,532","1,762",425,380
2020,8,70,"3,824",284,222,425,497,901,958,293,244
2020,8,80,"2,084",151,127,231,262,512,473,204,124
2020,8,90,473,37,21,71,65,115,83,50,31
2020,8,100,21,1,2,2,2,6,4,2,2
2020,9,총,"41,629","2,207","1,883","3,205","4,912","10,691","14,956","2,245","1,530"
2020,9,0,"2,912",89,118,113,267,695,"1,477",115,38
2020,9,10,"3,634",115,131,227,421,"1,096","1,481",116,47
2020,9,20,"3,898",166,151,257,460,"1,033","1,564",163,104
2020,9,30,"4,308",181,169,198,433,"1,011","2,010",220,86
2020,9,40,"6,302",230,235,382,702,"1,759","2,586",252,156
2020,9,50,"7,693",446,357,681,928,"2,023","2,544",399,315
2020,9,60,"6,467",512,347,619,873,"1,542","1,770",426,378
2020,9,70,"3,821",281,221,423,496,896,960,297,247
2020,9,80,"2,087",149,131,232,264,516,466,203,126
2020,9,90,487,37,21,71,66,115,94,52,31
2020,9,100,20,1,2,2,2,5,4,2,2
2020,10,총,"41,651","2,188","1,890","3,193","4,915","10,659","15,030","2,243","1,533"
2020,10,0,"2,904",84,120,111,271,687,"1,479",114,38
2020,10,10,"3,626",114,129,226,414,"1,093","1,484",119,47
2020,10,20,"3,923",163,152,256,468,"1,030","1,584",164,106
