년도,월,나이,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020,3,총,"21,949","3,277","2,347","3,072","6,986","1,985","1,757","1,398","1,127"
2020,3,0,"1,429",272,104,222,607,85,69,49,21
2020,3,10,"2,066",329,185,257,868,129,112,125,61
2020,3,20,"2,110",360,205,242,805,144,175,100,79
2020,3,30,"2,144",332,179,296,833,173,158,89,84
2020,3,40,"3,522",498,352,535,"1,340",293,205,183,116
2020,3,50,"4,023",567,461,567,"1,155",391,414,247,221
2020,3,60,"3,677",508,494,481,823,450,352,308,261
2020,3,70,"2,165",292,273,345,418,235,195,217,190
2020,3,80,735,103,84,116,126,80,73,73,80
2020,3,90,52,9,7,8,6,3,2,5,12
2020,3,100,26,7,3,3,5,2,2,2,2
2020,4,총,"21,856","3,249","2,327","3,075","6,961","1,995","1,746","1,384","1,119"
2020,4,0,"1,418",270,101,223,603,84,68,46,23
2020,4,10,"2,051",316,184,255,873,128,113,121,61
2020,4,20,"2,081",362,205,238,782,149,166,100,79
2020,4,30,"2,116",328,175,293,822,172,160,85,81
2020,4,40,"3,495",488,346,529,"1,338",289,206,181,118
2020,4,50,"4,009",563,461,568,"1,154",397,404,245,217
2020,4,60,"3,698",512,488,494,832,451,352,309,260
2020,4,70,"2,171",292,274,346,420,236,199,216,188
2020,4,80,739,102,83,118,125,84,74,74,79
2020,4,90,52,9,7,8,7,3,2,5,11
2020,4,100,26,7,3,3,5,2,2,2,2
2020,5,총,"21,847","3,244","2,326","3,054","6,977","1,999","1,750","1,381","1,116"
2020,5,0,"1,407",268,101,214,600,86,68,47,23
2020,5,10,"2,058",317,180,259,888,126,111,118,59
2020,5,20,"2,088",359,205,233,793,149,167,99,83
2020,5,30,"2,097",329,176,288,811,170,160,85,78
2020,5,40,"3,485",483,341,528,"1,342",293,208,176,114
2020,5,50,"4,015",565,458,565,"1,155",401,402,251,218
2020,5,60,"3,694",515,497,490,823,447,357,306,259
2020,5,70,"2,184",291,275,347,428,237,199,217,190
2020,5,80,739,101,83,117,125,85,74,75,79
2020,5,90,54,9,7,10,7,3,2,5,11
2020,5,100,26,7,3,3,5,2,2,2,2
2020,6,총,"21,839","3,237","2,323","3,064","6,982","1,991","1,749","1,375","1,118"
2020,6,0,"1,412",270,102,219,598,85,67,48,23
2020,6,10,"2,036",312,176,256,884,124,111,115,58
2020,6,20,"2,101",365,205,241,792,149,168,98,83
