년도,월,나이,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020,3,총,"6,684,759","600,550","139,438","187,153","88,411","185,548","466,115","118,479","111,141","236,495","223,534","278,194","121,227","156,967","410,853","156,128","267,360","47,048","334,625","177,110","157,515","525,756","233,101","145,533","147,122","28,633","98,873","351,413","117,359","249,786","137,040","82,016","139,324","528,764","130,255","216,733","181,776","230,790","111,554","94,481","222,353","428,761","191,945","113,515","78,050","56,415","22,858","31,990","58,676"
2020,3,0,"602,356","52,796","10,130","17,465","5,114","20,087","36,601","7,952","7,239","21,410","18,070","21,305","8,319","12,986","31,056","12,946","24,795","3,496","23,494","12,308","11,186","43,119","19,924","11,099","12,096","2,392","8,288","34,442","12,680","23,955","11,296","7,022","15,223","53,448","11,195","23,130","19,123","22,847","10,165","7,511","26,741","54,312","18,493","10,095","4,724","3,956","1,474","1,749","3,865"
2020,3,10,"692,468","63,142","15,588","17,871","7,448","22,235","46,269","9,110","8,981","28,178","22,330","28,270","10,204","18,066","37,722","16,711","27,360","4,466","34,541","18,210","16,331","55,522","21,736","15,860","17,926","3,259","9,764","39,991","12,748","25,567","14,241","7,836","12,278","62,777","13,087","26,434","23,256","25,006","11,595","9,395","23,163","47,998","17,142","12,193","6,707","5,092","1,741","2,530","5,112"
2020,3,20,"935,532","98,408","24,107","28,713","14,853","30,735","67,744","17,810","16,453","33,481","32,005","41,699","18,346","23,353","61,487","21,453","38,230","6,038","56,165","30,335","25,830","76,804","32,336","22,503","21,965","4,231","14,035","43,362","16,517","36,098","20,121","12,267","17,050","69,299","18,132","28,259","22,908","29,108","16,383","11,921","25,009","53,069","23,285","14,252","10,306","6,567","3,436","3,499","5,684"
2020,3,30,"985,199","94,934","17,564","31,364","13,495","32,511","70,208","18,532","17,029","34,647","30,409","40,715","17,862","22,853","61,334","22,730","41,838","5,385","46,679","23,764","22,915","70,255","33,623","18,718","17,914","3,995","13,863","44,804","21,324","39,552","20,365","11,734","23,919","73,115","18,106","30,123","24,886","35,731","16,397","12,675","34,809","77,887","30,869","14,150","8,198","6,161","2,430","3,167","5,567"
2020,3,40,"1,166,402","103,570","23,297","31,873","14,423","33,977","78,897","19,648","17,999","41,250","37,271","44,468","18,369","26,099","66,500","27,122","48,217","7,523","56,182","29,739","26,443","89,719","39,750","24,855","25,114","4,318","16,585","65,340","22,434","46,643","22,400","12,483","25,506","99,398","22,872","41,694","34,832","40,711","18,057","15,995","42,710","84,480","34,576","19,966","11,399","8,400","2,761","4,345","8,426"
2020,3,50,"1,120,166","98,086","24,699","30,871","15,641","26,875","77,722","20,495","19,781","37,446","39,018","48,673","21,859","26,814","73,166","26,077","44,227","8,682","65,327","34,737","30,590","95,390","40,863","27,241","27,286","5,002","17,702","58,462","16,902","44,633","23,736","14,563","20,023","81,689","22,078","32,426","27,185","36,720","18,088","16,303","32,533","59,000","31,586","19,377","16,207","10,549","3,923","6,083","10,717"
2020,3,60,"713,028","55,819","14,334","18,537","10,389","12,559","53,113","15,080","14,690","23,343","25,797","33,706","16,228","17,478","51,897","18,084","25,267","6,130","34,398","17,993","16,405","56,469","26,336","15,402","14,731","3,214","11,573","38,082","9,131","22,132","15,450","10,310","15,723","47,848","14,689","18,276","14,883","22,830","12,354","11,867","21,955","32,477","22,540","13,468","12,333","8,870","3,703","5,912","10,576"
2020,3,70,"337,194","24,545","6,835","7,723","5,174","4,813","25,671","7,459","6,839","11,373","13,309","14,093","7,396","6,697","20,711","8,187","12,145","3,614","12,830","7,132","5,698","25,861","12,849","6,462","6,550","1,503","5,176","19,812","4,146","8,229","6,544","4,219","7,487","29,415","7,211","11,686","10,518","12,392","5,920","6,019","11,405","14,245","10,266","7,289","5,697","4,751","2,278","3,196","6,239"
2020,3,80,"119,555","8,307","2,578","2,458","1,683","1,588","8,766","2,116","1,906","4,744","4,838","4,727","2,402","2,325","6,266","2,516","4,714","1,532","4,559","2,630","1,929","11,365","5,134","3,045","3,186",623,"1,699","6,487","1,366","2,703","2,560","1,402","1,867","10,727","2,630","4,275","3,822","4,916","2,356","2,591","3,679","4,853","2,912","2,498","2,237","1,895",986,"1,360","2,248"
2020,3,90,"11,770",864,285,252,168,159,998,217,178,603,441,487,217,270,657,267,494,164,425,249,176,"1,169",498,329,342,88,165,570,97,248,304,166,218,"1,013",242,415,356,472,220,193,332,406,254,216,214,159,111,131,227
2020,3,100,"1,089",79,21,26,23,9,126,60,46,20,46,51,25,26,57,35,73,18,25,13,12,83,52,19,12,8,23,61,14,26,23,14,30,35,13,15,7,57,19,11,17,34,22,11,28,15,15,18,15
2020,4,총,"6,696,531","600,616","139,377","187,190","88,408","185,641","466,119","118,680","111,002","236,437","223,765","277,727","121,239","156,488","410,678","155,900","268,331","47,015","335,033","177,678","157,355","526,681","233,744","145,716","147,221","29,341","98,816","351,837","117,610","250,312","137,034","82,049","140,443","530,251","130,446","217,252","182,553","231,142","111,858","94,781","223,443","431,049","192,208","113,980","78,234","56,492","22,882","32,067","58,837"
2020,4,0,"600,759","52,544","10,069","17,444","5,084","19,947","36,442","7,933","7,216","21,293","18,004","21,153","8,276","12,877","30,891","12,882","24,756","3,464","23,441","12,300","11,141","43,038","19,929","11,057","12,052","2,494","8,215","34,344","12,631","23,925","11,265","7,023","15,320","53,310","11,147","22,963","19,200","22,777","10,101","7,491","26,727","54,283","18,440","10,088","4,702","3,934","1,483","1,739","3,852"
2020,4,10,"691,364","62,877","15,473","17,801","7,412","22,191","46,063","9,082","8,898","28,083","22,207","28,154","10,181","17,973","37,580","16,644","27,367","4,456","34,366","18,157","16,209","55,380","21,722","15,818","17,840","3,307","9,712","39,963","12,747","25,504","14,174","7,796","12,366","62,747","13,097","26,431","23,219","25,017","11,569","9,419","23,231","48,192","17,125","12,220","6,689","5,087","1,743","2,559","5,103"
2020,4,20,"939,653","98,687","24,224","28,729","14,883","30,851","67,904","17,913","16,421","33,570","32,135","41,661","18,374","23,287","61,536","21,421","38,520","6,059","56,322","30,481","25,841","77,056","32,444","22,576","22,036","4,323","14,057","43,515","16,621","36,239","20,153","12,314","17,226","69,896","18,252","28,569","23,075","29,211","16,542","11,995","25,184","53,702","23,367","14,341","10,384","6,592","3,446","3,499","5,745"
