년도,월,나이,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2020,1,총,"191,127","55,113","22,663","12,218","5,010","7,362",765,"1,431","22,177","30,735","33,653",,,,
2020,1,0,"18,574","5,859","1,964",746,281,549,20,75,"2,240","2,612","4,228",,,,
2020,1,10,"17,181","4,458","2,328",998,319,624,41,113,"2,083","2,886","3,331",,,,
2020,1,20,"23,137","6,720","2,701","1,584",574,632,57,96,"2,959","4,165","3,649",,,,
2020,1,30,"31,096","10,854","3,143","1,562",576,761,44,133,"3,460","4,585","5,978",,,,
2020,1,40,"34,435","10,055","4,211","1,997",778,"1,293",93,235,"3,871","5,471","6,431",,,,
2020,1,50,"31,377","8,075","3,996","2,517","1,013","1,243",145,284,"3,778","5,416","4,910",,,,
2020,1,60,"22,119","5,652","2,718","1,725",888,"1,299",195,275,"2,430","3,665","3,272",,,,
2020,1,70,"10,101","2,670","1,211",768,415,739,116,151,"1,046","1,506","1,479",,,,
2020,1,80,"2,843",699,371,291,151,202,46,63,285,392,343,,,,
2020,1,90,244,67,20,25,14,19,8,6,19,34,32,,,,
2020,1,100,20,4,0,5,1,1,0,0,6,3,0,,,,
2020,2,총,"191,421","55,350","22,674","12,200","5,016","7,361",777,"1,447","22,137","30,725","33,734",,,,
2020,2,0,"18,513","5,850","1,958",736,280,540,24,82,"2,215","2,588","4,240",,,,
2020,2,10,"17,154","4,456","2,333","1,002",314,630,42,117,"2,063","2,876","3,321",,,,
2020,2,20,"23,144","6,753","2,691","1,583",576,617,59,94,"2,946","4,163","3,662",,,,
2020,2,30,"30,936","10,826","3,116","1,531",583,747,47,130,"3,446","4,561","5,949",,,,
2020,2,40,"34,554","10,139","4,206","1,996",777,"1,297",92,234,"3,865","5,467","6,481",,,,
2020,2,50,"31,497","8,132","4,027","2,528","1,010","1,254",143,292,"3,781","5,418","4,912",,,,
2020,2,60,"22,297","5,723","2,730","1,729",893,"1,306",198,278,"2,451","3,681","3,308",,,,
2020,2,70,"10,163","2,678","1,217",774,417,745,111,148,"1,054","1,536","1,483",,,,
2020,2,80,"2,893",719,373,290,150,203,53,66,292,400,347,,,,
2020,2,90,249,70,22,26,15,21,8,6,18,32,31,,,,
2020,2,100,21,4,1,5,1,1,0,0,6,3,0,,,,
2020,3,총,"191,945","55,652","22,716","12,212","5,024","7,386",774,"1,439","22,168","30,765","33,809",,,,
2020,3,0,"18,493","5,878","1,953",729,280,537,21,80,"2,208","2,568","4,239",,,,
2020,3,10,"17,142","4,473","2,324",994,315,635,43,116,"2,057","2,868","3,317",,,,
2020,3,20,"23,285","6,828","2,712","1,597",573,611,57,90,"2,967","4,169","3,681",,,,
2020,3,30,"30,869","10,813","3,120","1,531",577,736,45,132,"3,448","4,539","5,928",,,,
2020,3,40,"34,576","10,195","4,178","1,994",776,"1,296",91,233,"3,846","5,465","6,502",,,,
2020,3,50,"31,586","8,171","4,042","2,522","1,007","1,264",143,289,"3,774","5,453","4,921",,,,
2020,3,60,"22,540","5,786","2,755","1,743",910,"1,328",201,281,"2,481","3,706","3,349",,,,
2020,3,70,"10,266","2,701","1,228",784,416,755,112,145,"1,067","1,563","1,495",,,,
2020,3,80,"2,912",732,378,288,154,202,53,67,298,395,345,,,,
2020,3,90,254,71,25,25,14,21,8,6,16,36,32,,,,
2020,3,100,22,4,1,5,2,1,0,0,6,3,0,,,,
2020,4,총,"192,208","55,828","22,746","12,202","5,037","7,402",775,"1,433","22,115","30,766","33,904",,,,
2020,4,0,"18,440","5,882","1,934",725,279,537,21,76,"2,196","2,548","4,242",,,,
2020,4,10,"17,125","4,477","2,317",993,319,632,42,114,"2,029","2,865","3,337",,,,
2020,4,20,"23,367","6,871","2,728","1,586",568,613,57,91,"2,989","4,166","3,698",,,,
2020,4,30,"30,751","10,764","3,101","1,538",573,739,44,129,"3,414","4,535","5,914",,,,
2020,4,40,"34,577","10,242","4,197","1,973",783,"1,282",94,233,"3,837","5,433","6,503",,,,
2020,4,50,"31,739","8,223","4,059","2,534","1,009","1,281",140,287,"3,782","5,484","4,940",,,,
2020,4,60,"22,686","5,846","2,766","1,744",915,"1,329",202,282,"2,478","3,727","3,397",,,,
2020,4,70,"10,298","2,708","1,231",786,419,764,113,146,"1,070","1,570","1,491",,,,
2020,4,80,"2,947",740,385,292,156,204,54,69,299,398,350,,,,
2020,4,90,256,71,27,26,14,20,8,6,15,37,32,,,,
2020,4,100,22,4,1,5,2,1,0,0,6,3,0,,,,
2020,5,총,"192,894","56,134","22,977","12,217","5,040","7,411",775,"1,427","22,106","30,829","33,978",,,,
2020,5,0,"18,411","5,898","1,937",730,276,532,20,73,"2,196","2,527","4,222",,,,
2020,5,10,"17,259","4,466","2,476",990,320,636,43,114,"2,024","2,859","3,331",,,,
2020,5,20,"23,479","6,942","2,739","1,580",558,610,58,90,"2,988","4,171","3,743",,,,
2020,5,30,"30,735","10,771","3,093","1,558",560,735,44,129,"3,406","4,543","5,896",,,,
2020,5,40,"34,624","10,304","4,203","1,961",796,"1,288",91,228,"3,829","5,418","6,506",,,,
2020,5,50,"31,931","8,294","4,109","2,535","1,012","1,277",144,288,"3,786","5,520","4,966",,,,
2020,5,60,"22,825","5,906","2,776","1,755",926,"1,335",200,280,"2,478","3,752","3,417",,,,
2020,5,70,"10,380","2,726","1,227",792,419,771,113,150,"1,077","1,595","1,510",,,,
2020,5,80,"2,959",747,388,284,155,205,53,69,301,402,355,,,,
2020,5,90,269,76,28,27,16,21,9,6,15,39,32,,,,
2020,5,100,22,4,1,5,2,1,0,0,6,3,0,,,,
2020,6,총,"193,232","56,315","22,997","12,221","5,047","7,427",778,"1,427","22,076","30,950","33,994",,,,
2020,6,0,"18,399","5,898","1,938",725,266,526,21,74,"2,178","2,550","4,223",,,,
2020,6,10,"17,257","4,469","2,465",977,328,639,42,116,"2,027","2,855","3,339",,,,
2020,6,20,"23,523","6,975","2,761","1,589",559,615,58,88,"2,977","4,173","3,728",,,,
2020,6,30,"30,650","10,743","3,075","1,549",554,721,44,135,"3,403","4,557","5,869",,,,
2020,6,40,"34,743","10,368","4,182","1,958",810,"1,291",92,227,"3,825","5,455","6,535",,,,
2020,6,50,"31,898","8,320","4,106","2,534","1,006","1,273",143,283,"3,752","5,521","4,960",,,,
2020,6,60,"23,033","5,961","2,818","1,776",934,"1,344",204,285,"2,515","3,773","3,423",,,,
2020,6,70,"10,460","2,744","1,235",795,420,791,112,144,"1,078","1,610","1,531",,,,
2020,6,80,"2,977",757,388,286,151,205,54,69,300,412,355,,,,
2020,6,90,269,76,28,26,17,21,8,6,15,41,31,,,,
2020,6,100,23,4,1,6,2,1,0,0,6,3,0,,,,
2020,7,총,"193,796","56,489","23,158","12,230","5,074","7,504",776,"1,418","22,048","31,006","34,093",,,,
2020,7,0,"18,364","5,888","1,937",723,260,544,20,74,"2,159","2,536","4,223",,,,
2020,7,10,"17,348","4,525","2,506",968,331,642,41,115,"2,011","2,858","3,351",,,,
2020,7,20,"23,613","7,020","2,807","1,590",561,620,60,86,"2,979","4,134","3,756",,,,
2020,7,30,"30,599","10,677","3,078","1,556",557,735,46,134,"3,392","4,599","5,825",,,,
2020,7,40,"34,884","10,456","4,203","1,953",814,"1,301",90,223,"3,822","5,451","6,571",,,,
2020,7,50,"31,983","8,304","4,122","2,539","1,013","1,283",142,281,"3,755","5,549","4,995",,,,
2020,7,60,"23,210","6,020","2,853","1,782",950,"1,355",203,283,"2,525","3,802","3,437",,,,
2020,7,70,"10,499","2,756","1,233",795,416,796,113,147,"1,085","1,614","1,544",,,,
2020,7,80,"3,003",761,389,292,153,205,54,70,299,419,361,,,,
2020,7,90,270,78,29,26,17,22,7,5,15,41,30,,,,
2020,7,100,23,4,1,6,2,1,0,0,6,3,0,,,,
2020,8,총,"194,146","56,582","23,505","12,178","5,071","7,514",777,"1,424","22,028","30,959","34,108",,,,
2020,8,0,"18,310","5,894","1,978",704,254,537,20,73,"2,142","2,511","4,197",,,,
2020,8,10,"17,334","4,547","2,520",956,337,640,41,116,"1,987","2,832","3,358",,,,
2020,8,20,"23,681","7,017","2,860","1,575",553,622,60,90,"2,990","4,133","3,781",,,,
2020,8,30,"30,550","10,632","3,173","1,539",559,735,46,133,"3,389","4,562","5,782",,,,
2020,8,40,"34,970","10,514","4,246","1,943",807,"1,303",91,224,"3,801","5,452","6,589",,,,
2020,8,50,"32,052","8,290","4,171","2,548","1,010","1,273",141,282,"3,778","5,554","5,005",,,,
2020,8,60,"23,377","6,059","2,891","1,783",963,"1,373",203,283,"2,522","3,836","3,464",,,,
2020,8,70,"10,528","2,769","1,246",801,417,797,112,149,"1,098","1,610","1,529",,,,
2020,8,80,"3,044",776,390,296,150,210,56,69,299,426,372,,,,
2020,8,90,276,79,29,27,19,23,7,5,16,40,31,,,,
2020,8,100,24,5,1,6,2,1,0,0,6,3,0,,,,
2020,9,총,"194,524","56,653","23,755","12,145","5,071","7,556",775,"1,410","22,018","30,996","34,145",,,,
2020,9,0,"18,282","5,878","1,998",702,249,539,21,71,"2,128","2,498","4,198",,,,
2020,9,10,"17,311","4,550","2,516",951,339,634,39,113,"1,982","2,822","3,365",,,,
2020,9,20,"23,737","7,043","2,884","1,563",550,626,61,92,"3,001","4,135","3,782",,,,
2020,9,30,"30,490","10,587","3,252","1,535",549,740,46,128,"3,372","4,548","5,733",,,,
2020,9,40,"35,045","10,542","4,283","1,925",815,"1,311",88,218,"3,797","5,449","6,617",,,,
2020,9,50,"32,188","8,322","4,207","2,545","1,008","1,285",142,285,"3,792","5,582","5,020",,,,
2020,9,60,"23,561","6,102","2,940","1,796",968,"1,388",204,282,"2,521","3,871","3,489",,,,
2020,9,70,"10,545","2,766","1,252",797,422,794,111,148,"1,103","1,618","1,534",,,,
2020,9,80,"3,061",779,394,298,149,215,56,68,298,428,376,,,,
2020,9,90,278,78,28,26,20,23,7,5,18,42,31,,,,
2020,9,100,26,6,1,7,2,1,0,0,6,3,0,,,,
2020,10,총,"194,783","56,660","23,919","12,169","5,108","7,585",776,"1,397","22,047","30,993","34,129",,,,
2020,10,0,"18,213","5,869","2,017",699,245,534,21,68,"2,118","2,459","4,183",,,,
2020,10,10,"17,294","4,542","2,496",958,339,642,37,109,"1,973","2,821","3,377",,,,
2020,10,20,"23,846","7,053","2,913","1,561",568,622,62,98,"3,033","4,144","3,792",,,,
2020,10,30,"30,290","10,513","3,270","1,531",549,738,45,125,"3,359","4,513","5,647",,,,
2020,10,40,"35,114","10,550","4,318","1,928",818,"1,315",87,211,"3,791","5,451","6,645",,,,
2020,10,50,"32,286","8,340","4,233","2,548","1,025","1,300",142,286,"3,784","5,601","5,027",,,,
2020,10,60,"23,759","6,147","2,979","1,812",965,"1,399",206,281,"2,556","3,903","3,511",,,,
2020,10,70,"10,581","2,777","1,263",800,427,786,112,145,"1,106","1,626","1,539",,,,
2020,10,80,"3,093",784,401,299,150,225,56,69,301,430,378,,,,
2020,10,90,280,79,28,26,20,22,8,5,20,42,30,,,,
2020,10,100,27,6,1,7,2,2,0,0,6,3,0,,,,
2020,11,총,"194,991","56,675","23,976","12,218","5,150","7,632",774,"1,393","22,029","30,969","34,175",,,,
