년도,월,나이,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020,3,총,"104,850","7,291","17,245","6,331","5,445","2,701","5,939","7,075","2,059","2,290","1,315","8,760","26,972","6,386","5,041"
2020,3,0,"9,523",499,"1,752",508,400,154,691,618,68,106,30,503,"3,460",452,282
2020,3,10,"10,694",668,"2,202",466,399,145,460,634,120,105,58,782,"3,753",462,440
2020,3,20,"12,746",634,"2,010",742,599,296,749,"1,176",150,184,88,"1,297","3,150",954,717
2020,3,30,"14,363",742,"2,497",808,605,272,958,"1,206",135,153,55,"1,020","4,446",879,587
2020,3,40,"16,901",988,"3,310",883,759,295,780,980,210,202,97,"1,354","5,457",862,724
2020,3,50,"16,911","1,271","2,537","1,185","1,058",510,866,947,404,419,224,"1,651","3,722","1,151",966
2020,3,60,"11,909","1,152","1,530",890,792,479,697,724,438,460,310,"1,208","1,637",871,721
2020,3,70,"6,917",753,837,513,483,312,428,484,282,350,201,600,807,474,393
2020,3,80,"4,147",511,490,270,286,197,260,247,223,255,215,306,464,242,181
2020,3,90,693,67,75,61,60,40,46,56,27,52,34,35,75,37,28
2020,3,100,46,6,5,5,4,1,4,3,2,4,3,4,1,2,2
2020,4,총,"104,986","7,274","17,228","6,352","5,452","2,700","5,977","7,116","2,063","2,287","1,314","8,747","27,022","6,425","5,029"
2020,4,0,"9,501",494,"1,736",513,400,157,697,617,67,104,30,500,"3,449",454,283
2020,4,10,"10,678",667,"2,200",466,400,145,462,634,121,105,58,768,"3,752",463,437
2020,4,20,"12,838",631,"2,021",751,593,294,753,"1,220",147,185,89,"1,298","3,184",962,710
2020,4,30,"14,341",744,"2,481",814,610,267,963,"1,207",134,153,55,"1,007","4,439",886,581
2020,4,40,"16,865",990,"3,302",874,758,296,778,979,215,198,96,"1,354","5,434",869,722
2020,4,50,"16,939","1,263","2,534","1,190","1,062",511,879,943,405,415,223,"1,643","3,758","1,147",966
2020,4,60,"11,970","1,150","1,542",897,796,481,697,718,439,465,309,"1,223","1,651",878,724
2020,4,70,"6,933",751,843,509,481,308,437,488,283,345,205,599,809,483,392
2020,4,80,"4,169",511,487,270,287,200,262,250,222,261,213,315,467,243,181
2020,4,90,705,67,76,63,61,40,45,57,28,52,33,36,78,38,31
2020,4,100,47,6,6,5,4,1,4,3,2,4,3,4,1,2,2
2020,5,총,"105,117","7,256","17,199","6,353","5,468","2,805","6,052","7,107","2,062","2,272","1,311","8,731","27,038","6,430","5,033"
2020,5,0,"9,462",492,"1,728",518,402,158,695,616,68,104,29,497,"3,422",456,277
2020,5,10,"10,791",663,"2,194",461,400,230,525,631,121,105,58,764,"3,742",460,437
2020,5,20,"12,859",629,"2,013",740,588,312,760,"1,228",149,181,88,"1,308","3,186",958,719
2020,5,30,"14,324",736,"2,466",816,615,268,963,"1,206",134,152,54,"1,000","4,445",894,575
2020,5,40,"16,832",993,"3,291",871,763,299,782,962,215,199,94,"1,357","5,423",861,722
2020,5,50,"16,928","1,244","2,543","1,194","1,060",504,873,944,403,407,225,"1,628","3,785","1,153",965
2020,5,60,"12,041","1,160","1,543",902,804,488,707,722,432,468,306,"1,223","1,674",882,730
2020,5,70,"6,960",761,850,514,480,308,435,491,288,341,208,596,816,478,394
2020,5,80,"4,164",507,487,271,288,198,263,248,222,258,212,318,463,247,182
2020,5,90,709,65,78,61,64,39,45,56,28,53,34,36,81,39,30
2020,5,100,47,6,6,5,4,1,4,3,2,4,3,4,1,2,2
2020,6,총,"105,463","7,257","17,229","6,435","5,456","2,875","6,250","7,105","2,057","2,277","1,305","8,722","27,022","6,441","5,032"
2020,6,0,"9,420",491,"1,722",522,398,155,688,612,68,102,29,495,"3,402",456,280
2020,6,10,"11,050",663,"2,196",505,399,289,678,626,119,108,58,766,"3,755",455,433
2020,6,20,"12,892",629,"2,030",750,582,325,782,"1,243",150,175,83,"1,299","3,177",953,714
2020,6,30,"14,319",734,"2,464",827,613,269,967,"1,207",130,154,54,998,"4,422",908,572
2020,6,40,"16,818",990,"3,285",872,757,297,791,960,213,202,95,"1,360","5,421",855,720
2020,6,50,"16,889","1,235","2,546","1,200","1,059",503,873,934,398,407,221,"1,609","3,794","1,144",966
2020,6,60,"12,175","1,176","1,565",911,817,492,716,729,438,469,304,"1,233","1,685",901,739
2020,6,70,"6,965",761,849,513,476,311,437,487,287,341,209,601,820,477,396
2020,6,80,"4,179",508,487,267,288,195,269,248,224,261,215,320,465,250,182
2020,6,90,710,63,80,64,63,38,45,57,28,54,34,37,79,40,28
2020,6,100,46,7,5,4,4,1,4,2,2,4,3,4,2,2,2
2020,7,총,"105,683","7,260","17,158","6,452","5,495","2,914","6,440","7,119","2,059","2,274","1,307","8,727","27,020","6,447","5,011"
2020,7,0,"9,388",486,"1,710",522,396,154,694,610,70,98,29,492,"3,391",457,279
2020,7,10,"11,182",667,"2,181",496,404,315,811,628,120,111,59,758,"3,752",452,428
2020,7,20,"12,923",630,"2,026",752,586,339,797,"1,251",149,170,80,"1,308","3,173",948,714
2020,7,30,"14,267",721,"2,430",831,614,263,982,"1,205",127,155,54,"1,005","4,399",911,570
2020,7,40,"16,841",999,"3,292",876,765,307,797,955,213,198,95,"1,339","5,445",848,712
2020,7,50,"16,897","1,230","2,535","1,207","1,068",490,882,937,399,410,222,"1,618","3,798","1,142",959
2020,7,60,"12,232","1,181","1,569",916,816,496,716,739,437,466,308,"1,238","1,699",911,740
2020,7,70,"6,996",761,844,522,484,313,443,486,290,346,207,603,819,481,397
2020,7,80,"4,204",515,489,262,294,198,271,248,224,262,216,326,464,253,182
