년도,월,나이,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동,경기도 평택시 동삭동,경기도 평택시 고덕동
2020,1,총,"249,839","13,425","21,352","9,825","12,098","5,197","1,647","7,507","3,230","2,607","21,585","13,100","8,691","5,662","11,046","3,457","2,872","11,183","5,272","1,970","36,800","26,348","11,888","13,077",,
2020,1,0,"23,573",746,"2,177","1,077","2,002",270,64,879,162,85,"1,527",764,"1,043",377,876,269,86,573,315,70,"4,663","2,745","1,708","1,095",,
2020,1,10,"25,715",834,"2,978",954,"1,417",400,91,650,244,143,"2,589","1,246",900,513,"1,116",220,156,889,359,106,"4,159","2,918","1,467","1,366",,
2020,1,20,"31,446","1,263","2,577","1,060",941,620,145,868,321,199,"3,039","1,727","1,060",926,"1,348",416,316,"1,783",706,248,"4,893","3,591","1,484","1,915",,
2020,1,30,"35,406","1,300","2,744","1,411","2,451",517,142,"1,200",263,172,"2,487","1,425","1,444",906,"1,331",506,239,"1,277",659,160,"6,859","3,960","2,296","1,657",,
2020,1,40,"42,713","1,766","4,306","1,673","2,061",735,165,"1,130",367,241,"4,007","2,105","1,506",899,"1,805",547,337,"1,702",797,250,"6,928","4,822","2,355","2,209",,
2020,1,50,"39,951","2,399","3,042","1,439","1,271",967,307,"1,211",610,460,"3,877","2,479","1,419",876,"2,044",492,499,"2,134",920,411,"4,989","4,224","1,444","2,437",,
2020,1,60,"25,271","2,352","1,711","1,087",980,817,314,760,533,540,"2,056","1,667",682,569,"1,249",483,513,"1,420",727,355,"2,381","2,193",660,"1,222",,
2020,1,70,"15,612","1,647","1,070",641,539,513,235,462,390,410,"1,218","1,071",371,391,811,338,446,901,478,241,"1,195","1,201",293,750,,
2020,1,80,"8,644",942,629,408,351,310,163,291,305,312,672,535,222,173,392,148,230,432,262,113,633,592,156,373,,
2020,1,90,"1,349",144,109,70,78,44,20,53,32,42,105,72,41,28,68,32,37,64,39,13,94,91,24,49,,
2020,1,100,159,32,9,5,7,4,1,3,3,3,8,9,3,4,6,6,13,8,10,3,6,11,1,4,,
2020,2,총,"250,881","13,409","21,330","9,766","12,083","5,182","1,649","8,124","3,210","2,592","21,570","13,026","8,994","5,649","11,024","3,463","2,872","11,168","5,236","1,977","37,096","26,474","11,872","13,115",,
2020,2,0,"23,728",747,"2,161","1,058","1,985",265,62,"1,006",158,83,"1,539",749,"1,095",376,873,262,83,561,316,68,"4,706","2,773","1,702","1,100",,
2020,2,10,"25,628",823,"2,950",941,"1,421",398,92,719,242,143,"2,547","1,236",920,505,"1,100",220,154,882,348,107,"4,131","2,926","1,451","1,372",,
2020,2,20,"31,562","1,253","2,600","1,049",938,611,146,927,321,198,"3,046","1,720","1,115",926,"1,343",413,317,"1,787",701,253,"4,936","3,572","1,494","1,896",,
2020,2,30,"35,599","1,303","2,713","1,405","2,427",516,144,"1,382",257,171,"2,493","1,397","1,503",899,"1,322",512,240,"1,285",648,156,"6,925","3,974","2,260","1,667",,
2020,2,40,"42,896","1,760","4,291","1,650","2,086",732,165,"1,232",363,239,"3,972","2,083","1,561",901,"1,804",540,335,"1,693",793,254,"7,015","4,843","2,379","2,205",,
2020,2,50,"40,064","2,387","3,065","1,428","1,277",965,305,"1,251",595,461,"3,886","2,471","1,448",866,"2,037",507,494,"2,128",912,401,"5,012","4,265","1,446","2,457",,
2020,2,60,"25,528","2,375","1,721","1,100",972,823,314,786,542,535,"2,078","1,671",698,579,"1,267",484,520,"1,424",732,367,"2,434","2,205",666,"1,235",,
2020,2,70,"15,636","1,643","1,077",648,537,514,237,467,391,404,"1,216","1,075",380,391,810,337,443,904,474,241,"1,188","1,218",294,747,,
2020,2,80,"8,721",941,634,410,356,310,163,295,304,310,685,543,228,172,393,151,235,432,263,114,648,595,157,382,,
2020,2,90,"1,359",145,108,73,76,44,20,56,34,45,100,72,43,30,69,31,38,64,39,13,95,92,22,50,,
2020,2,100,160,32,10,4,8,4,1,3,3,3,8,9,3,4,6,6,13,8,10,3,6,11,1,4,,
2020,3,총,"251,764","13,418","21,340","9,741","12,116","5,179","1,652","8,483","3,200","2,575","21,521","13,047","9,172","5,649","11,008","3,536","2,862","11,143","5,230","1,980","37,322","26,567","11,937","13,086",,
2020,3,0,"23,705",752,"2,155","1,049","1,973",264,64,"1,032",155,79,"1,531",747,"1,120",373,860,268,84,551,308,68,"4,716","2,769","1,694","1,093",,
2020,3,10,"25,579",823,"2,944",935,"1,427",396,93,744,243,142,"2,522","1,217",928,496,"1,087",226,149,875,350,102,"4,130","2,928","1,467","1,355",,
2020,3,20,"31,915","1,258","2,615","1,060",952,612,148,"1,011",318,200,"3,069","1,732","1,159",926,"1,355",432,317,"1,794",710,258,"4,965","3,611","1,516","1,897",,
2020,3,30,"35,675","1,293","2,695","1,404","2,413",509,143,"1,476",262,157,"2,466","1,403","1,541",905,"1,321",529,244,"1,270",645,157,"6,928","3,974","2,271","1,669",,
2020,3,40,"42,892","1,760","4,281","1,624","2,107",735,168,"1,265",359,240,"3,927","2,086","1,577",889,"1,792",544,328,"1,681",790,255,"7,088","4,844","2,379","2,173",,
2020,3,50,"40,208","2,384","3,069","1,433","1,274",960,299,"1,305",589,459,"3,899","2,473","1,483",873,"2,027",521,491,"2,127",905,396,"5,056","4,280","1,450","2,455",,
2020,3,60,"25,768","2,379","1,736","1,104",988,831,315,805,541,534,"2,102","1,676",712,580,"1,277",489,522,"1,429",735,371,"2,477","2,234",678,"1,253",,
2020,3,70,"15,705","1,648","1,086",648,535,515,238,473,394,408,"1,211","1,087",380,399,818,337,441,911,473,240,"1,196","1,218",299,750,,
2020,3,80,"8,777",943,639,410,362,309,162,307,302,304,689,546,227,174,395,153,235,433,265,116,662,602,158,384,,
2020,3,90,"1,376",145,110,70,77,44,20,62,34,49,97,71,42,29,70,31,38,64,38,14,98,96,24,53,,
2020,3,100,164,33,10,4,8,4,2,3,3,3,8,9,3,5,6,6,13,8,11,3,6,11,1,4,,
2020,4,총,"252,318","13,449","21,386","9,716","12,138","5,158","1,653","8,727","3,182","2,564","21,514","12,990","9,237","5,661","11,027","3,588","2,859","11,150","5,212","1,981","37,406","26,646","11,958","13,116",,
2020,4,0,"23,676",754,"2,145","1,040","1,959",261,64,"1,058",152,79,"1,516",736,"1,133",371,847,272,84,552,306,66,"4,722","2,778","1,696","1,085",,
2020,4,10,"25,565",826,"2,930",934,"1,434",392,93,772,242,142,"2,501","1,211",925,494,"1,094",229,148,877,341,101,"4,125","2,927","1,475","1,352",,
2020,4,20,"32,062","1,252","2,631","1,057",970,614,145,"1,058",318,197,"3,092","1,722","1,179",948,"1,356",438,319,"1,792",714,265,"4,968","3,597","1,517","1,913",,
2020,4,30,"35,726","1,303","2,710","1,390","2,408",493,141,"1,525",257,156,"2,463","1,385","1,560",896,"1,332",538,238,"1,269",641,155,"6,936","3,988","2,266","1,676",,
2020,4,40,"42,923","1,757","4,277","1,616","2,114",731,171,"1,313",356,239,"3,901","2,072","1,573",886,"1,793",555,327,"1,669",783,250,"7,124","4,863","2,388","2,165",,
2020,4,50,"40,316","2,385","3,086","1,433","1,275",962,301,"1,335",580,455,"3,922","2,459","1,487",876,"2,019",532,490,"2,124",905,398,"5,071","4,302","1,455","2,464",,
