년도,월,나이,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020,1,총,"78,129","22,788","4,683","2,648","4,537","6,887","1,213","2,680","4,912","3,270","4,555","1,457","1,456","9,334","7,709"
2020,1,0,"4,782","1,607",315,75,121,411,28,100,284,286,342,31,105,651,426
2020,1,10,"6,832","2,749",312,132,225,561,57,148,405,184,244,68,75,"1,028",644
2020,1,20,"10,244","3,162",592,295,496,859,127,259,567,517,639,154,148,"1,374","1,055"
2020,1,30,"8,243","2,302",633,220,384,739,84,193,511,466,619,83,205,994,810
2020,1,40,"11,506","3,818",654,350,638,954,142,343,676,382,509,157,162,"1,442","1,279"
2020,1,50,"16,290","4,805",927,649,"1,225","1,470",226,622,870,500,783,300,252,"1,820","1,841"
2020,1,60,"12,102","2,713",753,571,920,"1,184",292,573,883,508,737,344,301,"1,236","1,087"
2020,1,70,"5,679","1,176",347,238,369,495,172,305,484,305,438,226,142,564,418
2020,1,80,"2,209",413,140,113,150,188,75,118,205,112,210,85,61,203,136
2020,1,90,218,41,9,5,9,25,10,17,22,10,29,7,5,18,11
2020,1,100,24,2,1,0,0,1,0,2,5,0,5,2,0,4,2
2020,2,총,"77,972","22,697","4,647","2,657","4,528","6,876","1,217","2,657","4,892","3,285","4,552","1,459","1,451","9,368","7,686"
2020,2,0,"4,763","1,590",313,72,120,404,29,97,283,292,345,30,102,657,429
2020,2,10,"6,748","2,712",308,131,220,553,57,142,391,182,241,70,77,"1,023",641
2020,2,20,"10,194","3,160",569,291,490,860,126,259,567,515,635,149,149,"1,376","1,048"
2020,2,30,"8,206","2,289",632,217,380,729,82,187,506,479,614,84,200,"1,014",793
2020,2,40,"11,448","3,780",648,355,632,950,139,339,676,381,511,161,160,"1,436","1,280"
2020,2,50,"16,251","4,805",921,649,"1,221","1,471",231,620,857,497,784,301,254,"1,806","1,834"
2020,2,60,"12,207","2,729",758,587,935,"1,193",295,572,896,508,741,344,299,"1,261","1,089"
2020,2,70,"5,695","1,179",349,236,368,502,173,304,480,309,437,227,146,566,419
2020,2,80,"2,216",411,139,114,152,189,76,118,207,112,209,84,59,205,141
2020,2,90,218,40,9,5,10,24,9,17,24,10,30,6,5,19,10
2020,2,100,26,2,1,0,0,1,0,2,5,0,5,3,0,5,2
2020,3,총,"78,050","22,605","4,642","2,671","4,534","6,949","1,213","2,651","4,890","3,282","4,562","1,454","1,446","9,435","7,716"
2020,3,0,"4,724","1,565",314,74,120,400,27,96,278,281,348,29,104,665,423
2020,3,10,"6,707","2,679",310,129,218,549,57,144,394,177,239,71,76,"1,025",639
2020,3,20,"10,306","3,165",566,295,495,916,128,255,564,522,647,152,150,"1,390","1,061"
2020,3,30,"8,198","2,259",631,217,376,732,82,186,504,485,616,78,197,"1,032",803
2020,3,40,"11,399","3,740",649,361,626,949,134,336,678,379,509,161,160,"1,437","1,280"
2020,3,50,"16,207","4,788",914,641,"1,222","1,467",227,618,851,494,779,302,250,"1,823","1,831"
2020,3,60,"12,333","2,777",760,596,941,"1,214",299,576,904,510,745,337,300,"1,272","1,102"
2020,3,70,"5,697","1,178",342,235,372,504,174,303,483,312,437,228,146,563,420
2020,3,80,"2,237",414,146,119,154,193,77,118,205,112,208,87,58,203,143
2020,3,90,214,38,8,4,10,24,8,17,24,10,28,6,5,20,12
2020,3,100,28,2,2,0,0,1,0,2,5,0,6,3,0,5,2
2020,4,총,"78,234","22,618","4,665","2,676","4,539","6,977","1,220","2,650","4,894","3,313","4,557","1,457","1,447","9,481","7,740"
2020,4,0,"4,702","1,552",319,75,121,397,27,98,275,281,344,29,105,661,418
2020,4,10,"6,689","2,664",312,128,221,546,56,142,390,180,238,69,75,"1,025",643
2020,4,20,"10,384","3,185",568,296,490,922,137,253,570,533,655,152,153,"1,404","1,066"
2020,4,30,"8,207","2,254",628,223,375,737,81,183,502,496,617,77,195,"1,041",798
2020,4,40,"11,376","3,730",646,360,619,952,130,330,679,376,505,165,158,"1,439","1,287"
2020,4,50,"16,242","4,806",921,642,"1,226","1,474",226,624,849,491,773,298,253,"1,826","1,833"
2020,4,60,"12,427","2,787",775,594,948,"1,220",303,577,908,521,743,338,298,"1,298","1,117"
2020,4,70,"5,713","1,187",339,237,373,507,173,304,484,313,436,231,147,561,421
2020,4,80,"2,252",414,145,117,156,196,80,120,209,112,211,89,58,203,142
2020,4,90,214,36,10,4,10,25,7,17,23,10,29,6,5,19,13
2020,4,100,28,3,2,0,0,1,0,2,5,0,6,3,0,4,2
2020,5,총,"78,242","22,573","4,672","2,672","4,537","6,992","1,225","2,644","4,904","3,320","4,546","1,457","1,462","9,502","7,736"
2020,5,0,"4,668","1,544",319,76,115,398,27,98,271,277,337,28,106,656,416
2020,5,10,"6,633","2,634",308,126,218,546,54,142,390,178,239,69,74,"1,014",641
2020,5,20,"10,414","3,179",567,290,485,924,138,250,575,541,663,149,158,"1,422","1,073"
2020,5,30,"8,214","2,259",633,222,378,729,82,180,511,495,611,77,202,"1,036",799
2020,5,40,"11,314","3,697",644,353,610,948,126,333,680,374,499,166,158,"1,447","1,279"
2020,5,50,"16,240","4,781",923,646,"1,238","1,490",235,615,844,494,770,300,257,"1,824","1,823"
2020,5,60,"12,532","2,837",781,599,952,"1,226",300,585,913,518,744,338,297,"1,317","1,125"
2020,5,70,"5,712","1,183",338,237,370,513,174,302,483,320,437,227,148,560,420
2020,5,80,"2,265",416,147,119,160,194,82,120,208,111,211,93,56,203,145
2020,5,90,222,40,10,4,11,23,7,17,24,12,29,7,6,19,13
2020,5,100,28,3,2,0,0,1,0,2,5,0,6,3,0,4,2
2020,6,총,"78,233","22,549","4,669","2,668","4,520","6,971","1,228","2,662","4,904","3,339","4,561","1,454","1,460","9,522","7,726"
2020,6,0,"4,644","1,530",317,76,113,394,27,99,271,280,337,28,105,656,411
2020,6,10,"6,612","2,624",306,125,219,547,52,141,386,177,240,70,75,"1,011",639
2020,6,20,"10,415","3,178",576,286,479,906,139,254,577,552,665,148,159,"1,426","1,070"
2020,6,30,"8,206","2,258",631,221,379,733,82,178,513,498,612,75,200,"1,037",789
2020,6,40,"11,238","3,655",642,358,597,942,123,333,668,368,509,162,161,"1,448","1,272"
2020,6,50,"16,202","4,784",914,646,"1,231","1,482",236,612,849,495,762,301,251,"1,825","1,814"
2020,6,60,"12,673","2,879",789,602,961,"1,237",302,598,916,519,755,338,300,"1,324","1,153"
2020,6,70,"5,735","1,186",337,231,368,513,177,305,487,328,439,229,148,569,418
2020,6,80,"2,262",412,145,119,163,194,84,123,207,111,209,93,55,203,144
2020,6,90,219,40,10,4,10,22,6,17,25,11,28,7,6,19,14
2020,6,100,27,3,2,0,0,1,0,2,5,0,5,3,0,4,2
2020,7,총,"78,166","22,483","4,659","2,661","4,508","6,950","1,233","2,671","4,899","3,362","4,559","1,452","1,463","9,526","7,740"
2020,7,0,"4,610","1,518",318,78,112,390,28,100,269,278,338,28,104,647,402
2020,7,10,"6,582","2,617",301,122,218,538,52,140,380,175,237,71,75,"1,015",641
2020,7,20,"10,406","3,154",573,285,466,907,132,259,578,565,668,146,162,"1,427","1,084"
2020,7,30,"8,168","2,239",625,218,381,724,83,176,515,501,612,77,196,"1,041",780
2020,7,40,"11,222","3,636",639,355,594,948,123,336,667,375,512,160,165,"1,430","1,282"
2020,7,50,"16,157","4,768",906,648,"1,227","1,478",241,611,847,493,755,298,251,"1,830","1,804"
2020,7,60,"12,740","2,910",796,599,963,"1,235",307,600,919,522,757,342,302,"1,332","1,156"
2020,7,70,"5,750","1,179",345,233,372,510,177,305,488,331,437,228,145,575,425
2020,7,80,"2,281",418,142,119,165,199,82,125,206,111,210,92,57,206,149
2020,7,90,223,41,12,4,10,20,8,17,25,11,28,7,6,19,15
2020,7,100,27,3,2,0,0,1,0,2,5,0,5,3,0,4,2
2020,8,총,"78,194","22,452","4,651","2,651","4,554","6,932","1,228","2,663","4,904","3,381","4,552","1,458","1,458","9,543","7,767"
2020,8,0,"4,569","1,505",318,75,110,377,28,98,270,276,343,29,101,635,404
2020,8,10,"6,595","2,606",293,121,262,546,51,141,379,176,233,72,74,"1,007",634
2020,8,20,"10,394","3,143",560,274,474,895,132,259,572,580,667,149,162,"1,431","1,096"
2020,8,30,"8,160","2,222",624,221,387,713,81,172,521,501,608,79,193,"1,050",788
2020,8,40,"11,187","3,620",647,355,588,942,122,329,672,376,513,158,166,"1,422","1,277"
2020,8,50,"16,119","4,762",896,649,"1,215","1,480",237,608,841,495,749,297,249,"1,834","1,807"
2020,8,60,"12,867","2,951",808,599,969,"1,242",312,609,927,528,758,344,304,"1,351","1,165"
2020,8,70,"5,755","1,178",348,234,372,518,175,301,487,328,432,226,147,581,428
2020,8,80,"2,296",421,142,119,167,196,83,127,203,111,216,94,57,209,151
2020,8,90,222,40,13,3,9,22,7,17,27,10,28,7,5,19,15
2020,8,100,30,4,2,1,1,1,0,2,5,0,5,3,0,4,2
2020,9,총,"78,196","22,432","4,645","2,650","4,558","6,930","1,212","2,655","4,907","3,400","4,549","1,463","1,456","9,565","7,774"
2020,9,0,"4,542","1,498",315,74,110,368,29,97,264,274,346,28,102,638,399
2020,9,10,"6,547","2,581",296,115,251,545,50,139,381,174,228,73,73,"1,008",633
2020,9,20,"10,399","3,135",562,277,476,908,128,253,571,592,672,149,164,"1,414","1,098"
