년도,월,나이,화성시,봉담읍,우정읍,향남읍,남양읍,매송면,비봉면,마도면,송산면,서신면,팔탄면,장안면,양감면,정남면,새솔동,진안동,병점1동,병점2동,반월동,기배동,화산동,동탄1동,동탄2동,동탄3동,동탄4동,동탄5동,동탄6동,동탄7동,동탄8동
2020,1,총,"424,061","39,629","9,374","44,285","21,337","3,884","3,279","4,044","5,870","3,937","5,910","5,867","2,455","6,522","9,551","23,261","14,440","11,958","16,029","7,103","12,345","25,713","17,577","21,334","26,551","18,697","14,963","37,312","10,834"
2020,1,0,"54,043","4,271",539,"5,693","2,125",184,145,149,260,95,178,248,61,245,"1,719","2,424","1,514","1,367","2,288",772,"1,025","3,360","2,390","3,246","5,055","3,141","2,277","7,372","1,900"
2020,1,10,"47,557","4,825",744,"4,995","1,772",283,175,230,451,176,249,345,97,436,896,"2,057","1,659","2,035","1,974","1,021","1,247","3,624","3,257","2,755","4,220","1,906","1,417","3,826",885
2020,1,20,"52,211","5,003","1,101","5,297","3,034",474,365,472,602,366,656,615,262,827,"1,190","3,881","2,489","1,436","2,137",873,"1,762","3,733","1,818","3,015","2,066","1,866","2,009","3,595","1,267"
2020,1,30,"77,551","5,676","1,005","8,915","3,999",385,319,506,527,335,694,589,270,745,"2,215","5,308","2,433","1,630","2,952",829,"1,715","4,786","2,052","4,545","4,421","4,653","3,963","9,017","3,067"
2020,1,40,"83,593","8,025","1,661","9,101","3,646",600,433,672,860,519,"1,035",867,359,"1,107","1,773","4,248","2,658","2,671","3,028","1,447","2,241","5,310","4,289","4,330","6,778","3,753","2,744","7,546","1,892"
2020,1,50,"58,216","6,222","1,948","5,677","3,333",867,740,883,"1,262",951,"1,470","1,379",620,"1,432","1,163","2,909","1,985","1,616","2,090","1,150","2,169","3,264","2,365","2,002","2,719","1,884","1,523","3,569","1,024"
2020,1,60,"31,599","3,507","1,314","2,838","2,145",636,618,631,"1,019",857,"1,019","1,044",468,"1,028",473,"1,543","1,051",694,"1,103",622,"1,397","1,077",859,816,897,956,696,"1,719",572
2020,1,70,"14,079","1,598",753,"1,275",933,321,322,361,570,410,419,512,226,483,94,661,497,366,356,304,589,422,418,470,310,435,257,545,172
2020,1,80,"4,773",456,281,454,329,119,146,130,288,207,172,244,85,201,26,202,147,134,88,80,188,127,120,141,79,96,69,111,53
2020,1,90,405,42,25,35,21,13,14,10,31,18,18,19,7,16,2,27,7,9,12,4,10,10,8,14,6,7,7,11,2
2020,1,100,34,4,3,5,0,2,2,0,0,3,0,5,0,2,0,1,0,0,1,1,2,0,1,0,0,0,1,1,0
2020,2,총,"425,993","39,684","9,367","44,376","21,346","3,867","3,297","4,073","5,881","3,938","5,921","5,867","2,449","6,518","9,679","23,356","14,413","11,943","16,186","7,082","12,306","25,748","17,642","21,227","26,520","18,890","15,118","38,079","11,220"
2020,2,0,"54,193","4,247",532,"5,692","2,119",180,140,149,260,95,175,249,64,243,"1,752","2,409","1,502","1,363","2,309",760,"1,014","3,369","2,402","3,196","5,050","3,167","2,277","7,521","1,957"
2020,2,10,"47,713","4,822",747,"4,999","1,761",275,190,251,454,172,252,344,93,433,904,"2,061","1,652","2,027","1,991","1,014","1,228","3,572","3,271","2,733","4,214","1,920","1,440","3,963",930
2020,2,20,"52,252","5,011","1,086","5,303","3,027",471,366,468,598,358,654,612,253,817,"1,178","3,897","2,479","1,420","2,160",891,"1,764","3,776","1,812","3,036","2,039","1,888","2,016","3,583","1,289"
2020,2,30,"77,639","5,625","1,006","8,858","4,013",384,313,500,527,341,701,586,269,751,"2,252","5,308","2,411","1,620","2,980",814,"1,713","4,804","2,063","4,485","4,400","4,700","3,985","9,078","3,152"
2020,2,40,"84,166","8,063","1,658","9,184","3,630",590,433,680,852,522,"1,032",862,363,"1,098","1,805","4,263","2,658","2,679","3,061","1,436","2,238","5,283","4,298","4,291","6,779","3,796","2,788","7,836","1,988"
2020,2,50,"58,582","6,228","1,953","5,702","3,340",868,741,875,"1,263",946,"1,467","1,368",615,"1,443","1,179","2,947","1,993","1,619","2,113","1,148","2,158","3,302","2,375","2,031","2,723","1,901","1,567","3,657","1,060"
2020,2,60,"32,046","3,573","1,318","2,867","2,165",640,629,647,"1,037",866,"1,033","1,069",473,"1,030",482,"1,573","1,066",699,"1,114",630,"1,408","1,082",858,824,916,974,709,"1,758",606
2020,2,70,"14,144","1,610",754,"1,272",940,322,320,362,567,410,419,512,224,485,98,666,498,372,355,302,584,421,424,477,314,439,257,558,182
2020,2,80,"4,819",460,284,460,329,122,149,131,291,207,170,241,87,201,27,204,147,136,90,83,189,129,131,140,79,97,70,112,53
2020,2,90,405,41,26,34,22,13,14,10,32,18,18,19,8,15,2,27,7,8,12,3,8,10,7,14,6,8,8,12,3
2020,2,100,34,4,3,5,0,2,2,0,0,3,0,5,0,2,0,1,0,0,1,1,2,0,1,0,0,0,1,1,0
