년도,월,나이,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020,3,총,"51,946","24,776","1,782","1,864","2,809","1,613","1,663",881,"1,447","1,150","1,008","3,624","1,790","3,151","4,388"
2020,3,0,"2,835","2,074",51,29,114,25,27,20,31,34,27,155,22,66,160
2020,3,10,"4,122","2,638",85,90,188,72,63,36,74,71,37,271,53,150,294
2020,3,20,"4,005","2,279",85,96,251,93,90,46,96,75,49,289,92,181,283
2020,3,30,"4,226","2,610",96,97,192,74,82,36,87,48,42,261,86,184,331
2020,3,40,"6,643","3,874",176,154,342,141,136,58,139,81,74,415,179,302,572
2020,3,50,"9,298","4,327",317,300,510,297,303,131,284,192,190,655,365,594,833
2020,3,60,"9,286","3,567",441,449,561,340,374,188,279,255,221,768,374,692,777
2020,3,70,"6,803","2,169",329,375,396,306,316,211,234,186,199,492,359,581,650
2020,3,80,"4,106","1,079",175,239,213,232,235,134,196,174,145,277,227,343,437
2020,3,90,608,150,27,35,42,33,37,21,26,33,23,41,33,57,50
2020,3,100,14,9,0,0,0,0,0,0,1,1,1,0,0,1,1
2020,4,총,"51,918","24,783","1,783","1,864","2,803","1,617","1,664",882,"1,443","1,145","1,011","3,623","1,792","3,137","4,371"
2020,4,0,"2,806","2,053",51,29,113,26,27,20,31,33,28,152,22,66,155
2020,4,10,"4,113","2,635",87,91,185,72,61,35,72,71,36,268,53,147,300
2020,4,20,"4,006","2,285",83,97,257,91,91,47,97,73,52,286,90,181,276
2020,4,30,"4,210","2,612",98,97,190,74,81,35,86,47,40,259,85,180,326
2020,4,40,"6,613","3,855",178,153,341,140,131,56,135,79,74,424,179,302,566
2020,4,50,"9,255","4,326",312,301,499,299,304,129,277,191,190,645,367,587,828
2020,4,60,"9,353","3,602",442,448,566,338,377,193,287,254,220,778,374,695,779
2020,4,70,"6,808","2,172",329,373,397,313,318,211,234,187,201,491,360,576,646
2020,4,80,"4,133","1,086",176,240,215,231,237,133,194,176,145,279,230,347,444
2020,4,90,607,148,27,35,40,33,37,23,29,33,24,41,32,55,50
2020,4,100,14,9,0,0,0,0,0,0,1,1,1,0,0,1,1
2020,5,총,"51,876","24,719","1,784","1,864","2,810","1,615","1,666",882,"1,444","1,141","1,009","3,634","1,793","3,142","4,373"
2020,5,0,"2,780","2,030",47,29,111,27,27,20,31,32,28,153,21,65,159
2020,5,10,"4,111","2,642",88,89,186,70,60,35,67,72,36,271,52,147,296
2020,5,20,"4,005","2,281",86,98,258,90,90,47,98,72,52,287,90,178,278
2020,5,30,"4,174","2,580",96,96,192,72,81,37,84,46,39,262,82,183,324
2020,5,40,"6,578","3,827",180,154,336,140,131,56,136,78,74,425,178,305,558
2020,5,50,"9,244","4,322",309,301,504,296,307,129,274,190,187,642,369,582,832
2020,5,60,"9,385","3,616",442,446,563,341,379,191,291,253,221,775,378,702,787
2020,5,70,"6,824","2,180",329,377,399,310,318,210,234,187,201,495,359,577,648
