년도,월,나이,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020,1,총,"23,037","5,032","1,628","1,773",979,947,"1,170","1,848","3,120",897,906,824,"2,200","1,713"
2020,1,0,"1,092",315,54,71,37,23,51,62,198,20,37,47,101,76
2020,1,10,"1,646",462,130,118,59,44,59,67,269,34,55,104,133,112
2020,1,20,"2,263",606,142,138,79,80,102,212,324,73,61,59,165,222
2020,1,30,"1,705",466,85,97,50,66,82,142,254,46,73,49,139,156
2020,1,40,"3,095",776,208,219,123,101,138,214,482,108,114,89,262,261
2020,1,50,"4,766",957,426,388,201,196,249,410,587,179,179,150,477,367
2020,1,60,"4,333",801,296,370,209,209,255,351,529,186,193,185,476,273
2020,1,70,"2,695",452,197,249,127,138,143,248,311,159,118,107,280,166
2020,1,80,"1,305",181,82,115,83,79,82,133,153,76,66,31,152,72
2020,1,90,134,16,7,8,11,10,9,9,13,15,10,3,15,8
2020,1,100,3,0,1,0,0,1,0,0,0,1,0,0,0,0
2020,2,총,"22,948","5,020","1,626","1,763",968,950,"1,166","1,845","3,098",897,891,821,"2,212","1,691"
2020,2,0,"1,080",316,52,70,36,25,51,61,192,20,35,48,98,76
2020,2,10,"1,628",456,128,116,55,46,57,68,269,35,53,101,138,106
2020,2,20,"2,246",600,143,139,81,77,101,209,313,72,62,59,170,220
2020,2,30,"1,684",465,82,89,50,65,81,143,250,47,71,48,138,155
2020,2,40,"3,054",770,206,214,119,103,138,214,476,106,107,90,260,251
2020,2,50,"4,749",957,425,391,200,195,249,405,587,177,179,147,473,364
2020,2,60,"4,355",805,301,370,207,210,255,357,527,188,192,188,483,272
2020,2,70,"2,708",456,198,247,126,139,144,249,314,161,116,107,286,165
2020,2,80,"1,304",180,82,119,81,77,81,131,157,76,66,30,150,74
2020,2,90,137,15,8,8,13,12,9,8,13,14,10,3,16,8
2020,2,100,3,0,1,0,0,1,0,0,0,1,0,0,0,0
2020,3,총,"22,875","5,028","1,619","1,759",975,938,"1,160","1,830","3,084",889,883,826,"2,206","1,678"
2020,3,0,"1,071",317,52,68,38,25,51,58,186,19,33,50,96,78
2020,3,10,"1,621",459,126,116,54,45,58,68,263,32,51,110,134,105
2020,3,20,"2,233",612,138,134,80,74,99,206,316,71,61,58,170,214
2020,3,30,"1,665",468,80,88,50,65,80,136,243,47,69,48,137,154
2020,3,40,"3,017",763,207,211,119,99,140,212,473,101,106,87,253,246
2020,3,50,"4,719",954,424,392,200,191,239,402,583,174,175,141,484,360
2020,3,60,"4,370",796,303,375,211,212,258,354,536,189,193,189,480,274
2020,3,70,"2,728",464,198,248,128,137,145,252,312,163,120,108,288,165
2020,3,80,"1,306",180,81,119,82,77,81,133,158,77,66,32,146,74
2020,3,90,141,15,9,8,13,12,9,9,14,15,8,3,18,8
2020,3,100,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020,4,총,"22,788","5,023","1,609","1,753",971,929,"1,157","1,802","3,070",891,873,828,"2,207","1,675"
2020,4,0,"1,063",317,51,67,39,23,49,54,186,18,32,52,96,79
2020,4,10,"1,605",458,126,110,54,43,58,67,260,32,52,108,131,106
2020,4,20,"2,213",611,137,135,76,72,106,198,311,72,58,56,169,212
2020,4,30,"1,645",468,75,86,51,65,79,130,242,48,65,48,135,153
2020,4,40,"2,986",761,207,206,119,98,135,209,473,97,102,84,253,242
2020,4,50,"4,694",955,417,392,199,189,239,392,578,178,177,144,481,353
2020,4,60,"4,390",794,307,381,211,215,255,357,533,185,191,192,488,281
2020,4,70,"2,725",463,196,244,127,134,142,252,314,168,121,106,290,168
2020,4,80,"1,320",181,83,124,82,77,85,134,159,77,65,34,146,73
2020,4,90,143,15,9,8,13,12,9,9,14,15,9,4,18,8
2020,4,100,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020,5,총,"22,723","5,001","1,606","1,749",971,932,"1,156","1,785","3,058",892,870,829,"2,200","1,674"
2020,5,0,"1,057",314,51,64,38,25,49,54,183,20,33,50,98,78
2020,5,10,"1,597",458,126,112,55,41,56,66,256,30,52,112,131,102
2020,5,20,"2,181",602,134,133,77,73,105,194,305,73,56,55,160,214
2020,5,30,"1,629",462,76,84,50,61,80,127,243,48,65,46,134,153
2020,5,40,"2,945",757,204,201,117,96,135,207,467,91,98,85,248,239
2020,5,50,"4,691",949,417,393,199,195,235,387,582,182,174,142,483,353
2020,5,60,"4,417",792,307,386,215,215,255,358,534,188,197,195,489,286
2020,5,70,"2,738",470,198,242,124,136,147,252,316,164,122,106,292,169
2020,5,80,"1,322",182,84,126,84,77,85,131,158,80,63,34,146,72
2020,5,90,142,15,8,8,12,12,9,9,14,15,9,4,19,8
2020,5,100,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020,6,총,"22,637","4,980","1,598","1,751",964,930,"1,149","1,786","3,042",879,867,824,"2,198","1,669"
2020,6,0,"1,043",310,49,64,37,28,48,54,181,17,32,47,99,77
2020,6,10,"1,577",450,125,109,54,41,56,65,252,30,53,111,131,100
2020,6,20,"2,160",597,134,137,77,73,107,194,295,70,53,53,161,209
2020,6,30,"1,617",457,74,84,49,62,79,125,244,46,63,46,134,154
2020,6,40,"2,921",753,203,201,114,96,133,207,464,85,96,85,246,238
2020,6,50,"4,653",944,412,391,194,191,233,389,578,180,175,141,473,352
2020,6,60,"4,461",803,310,389,218,214,253,361,539,192,199,196,498,289
2020,6,70,"2,743",469,196,245,126,136,148,254,316,163,123,106,291,170
2020,6,80,"1,313",183,86,123,81,76,82,128,159,80,63,34,147,71
2020,6,90,145,14,8,8,14,12,10,9,14,15,9,5,18,9
2020,6,100,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020,7,총,"22,621","4,984","1,596","1,750",963,928,"1,142","1,792","3,036",873,860,827,"2,201","1,669"
2020,7,0,"1,039",311,49,65,34,27,47,56,182,13,29,51,99,76
2020,7,10,"1,571",449,121,108,57,40,56,64,252,31,53,110,130,100
2020,7,20,"2,146",592,134,138,79,73,108,191,292,69,50,50,161,209
2020,7,30,"1,606",462,73,82,49,58,77,127,241,45,61,46,132,153
2020,7,40,"2,903",745,203,200,112,102,131,205,460,88,94,82,244,237
2020,7,50,"4,661",952,413,393,195,188,227,394,579,175,174,143,473,355
2020,7,60,"4,468",805,310,384,218,212,254,360,540,192,202,199,505,287
2020,7,70,"2,755",471,195,247,124,138,152,255,317,164,123,106,291,172
2020,7,80,"1,325",183,89,126,81,77,81,131,160,79,64,35,149,70
2020,7,90,143,14,8,7,14,12,9,9,13,16,9,5,17,10
2020,7,100,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020,8,총,"22,558","4,979","1,584","1,752",956,920,"1,141","1,800","3,036",858,855,821,"2,189","1,667"
2020,8,0,"1,039",315,50,64,34,25,49,53,180,12,28,55,97,77
2020,8,10,"1,546",447,119,107,55,37,55,67,246,28,53,109,127,96
2020,8,20,"2,138",590,130,137,78,74,106,198,294,67,47,49,159,209
2020,8,30,"1,590",456,71,83,49,55,77,126,243,43,61,45,129,152
2020,8,40,"2,875",741,201,201,109,102,131,205,454,80,93,78,244,236
2020,8,50,"4,659",953,409,393,193,192,225,397,579,173,172,143,472,358
2020,8,60,"4,496",807,312,387,220,209,256,361,547,197,205,200,506,289
2020,8,70,"2,740",472,193,247,124,137,151,254,319,162,120,106,285,170
2020,8,80,"1,326",182,90,126,81,76,82,129,161,81,66,32,151,69
2020,8,90,145,16,8,7,13,12,9,10,13,14,9,4,19,11
2020,8,100,4,0,1,0,0,1,0,0,0,1,1,0,0,0
