년도,월,나이,문경시,문경읍,문경읍갈평출장소,가은읍,가은읍북부출장소,영순면,산양면,호계면,산북면,동로면,마성면,농암면,점촌1동,점촌2동,점촌3동,점촌4동,점촌5동
2020,1,총,"71,889","5,859","1,129","3,188",823,"2,518","3,123","2,459","2,777","1,916","3,614","2,598","5,819","7,246","9,305","3,155","16,360"
2020,1,0,"4,141",232,42,98,22,64,108,53,49,80,85,69,338,447,696,117,"1,641"
2020,1,10,"5,866",336,62,155,36,299,134,172,125,69,150,96,424,630,923,144,"2,111"
2020,1,20,"6,334",431,72,170,32,150,200,333,150,102,216,121,546,646,929,227,"2,009"
2020,1,30,"6,112",389,53,158,59,115,175,114,122,99,226,145,598,679,896,255,"2,029"
2020,1,40,"8,962",622,119,257,76,180,274,204,239,179,324,191,712,922,"1,347",332,"2,984"
2020,1,50,"12,339","1,098",235,573,166,380,510,394,517,363,631,504,"1,002","1,209","1,628",556,"2,573"
2020,1,60,"12,880","1,206",248,678,183,547,692,516,578,464,753,613,"1,130","1,353","1,486",670,"1,763"
2020,1,70,"9,202",997,171,607,151,395,559,377,541,328,709,485,699,925,889,522,847
2020,1,80,"5,236",463,106,420,81,336,402,263,399,206,456,303,328,384,446,299,344
2020,1,90,758,74,21,69,16,51,66,32,52,26,57,64,39,43,59,31,58
2020,1,100,59,11,0,3,1,1,3,1,5,0,7,7,3,8,6,2,1
2020,2,총,"71,778","5,817","1,122","3,180",821,"2,591","3,118","2,440","2,764","1,909","3,594","2,607","5,879","7,187","9,263","3,156","16,330"
2020,2,0,"4,134",226,42,97,21,65,107,54,50,82,84,70,356,437,690,119,"1,634"
2020,2,10,"5,917",339,60,157,37,374,133,164,120,69,146,95,432,620,918,145,"2,108"
2020,2,20,"6,237",420,72,163,29,151,199,316,153,99,210,121,545,629,917,219,"1,994"
2020,2,30,"6,074",377,54,158,57,115,172,117,121,96,224,146,606,669,889,255,"2,018"
2020,2,40,"8,921",628,113,259,72,176,274,204,236,178,318,196,728,904,"1,342",331,"2,962"
2020,2,50,"12,284","1,077",231,564,171,372,506,384,510,364,628,507,997,"1,204","1,620",559,"2,590"
2020,2,60,"12,907","1,199",249,682,187,552,693,521,582,462,750,613,"1,138","1,352","1,487",670,"1,770"
2020,2,70,"9,238","1,003",174,610,148,397,556,380,537,328,717,488,705,931,888,522,854
2020,2,80,"5,247",463,107,417,83,337,405,266,400,205,453,302,329,389,445,303,343
2020,2,90,761,74,20,70,15,51,70,33,51,26,57,62,40,44,61,31,56
2020,2,100,58,11,0,3,1,1,3,1,4,0,7,7,3,8,6,2,1
2020,3,총,"71,527","5,808","1,112","3,177",819,"2,562","3,075","2,463","2,750","1,897","3,579","2,602","5,869","7,144","9,247","3,137","16,286"
2020,3,0,"4,110",224,42,100,20,64,96,52,51,83,83,67,363,427,695,113,"1,630"
2020,3,10,"5,897",331,59,155,38,364,130,189,116,67,146,92,432,620,910,145,"2,103"
2020,3,20,"6,155",423,72,159,28,148,197,322,146,97,207,119,535,616,901,217,"1,968"
2020,3,30,"6,003",377,51,157,50,111,160,112,121,96,221,144,611,663,883,250,"1,996"
