년도,월,나이,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020,1,총,"27,066","7,505","1,189","1,332",836,"8,743","1,233","1,231",752,"1,389","1,576",588,692
2020,1,0,"2,337",432,45,36,25,"1,578",82,28,7,32,38,12,22
2020,1,10,"2,319",744,62,44,39,"1,094",60,50,27,43,79,36,41
2020,1,20,"2,321",807,64,98,37,818,119,75,43,66,127,25,42
2020,1,30,"2,803",637,59,72,39,"1,525",124,76,31,88,90,21,41
2020,1,40,"3,856","1,081",116,115,87,"1,644",158,136,84,148,164,56,67
2020,1,50,"4,259","1,264",228,242,162,"1,024",190,208,134,260,285,131,131
2020,1,60,"4,376","1,314",257,344,204,577,203,281,187,334,345,176,154
2020,1,70,"3,057",833,220,214,149,333,182,226,151,274,267,89,119
2020,1,80,"1,610",359,129,156,86,137,105,142,84,137,171,36,68
2020,1,90,124,33,8,10,8,13,10,9,4,6,10,6,7
2020,1,100,4,1,1,1,0,0,0,0,0,1,0,0,0
2020,2,총,"27,207","7,503","1,190","1,332",839,"8,890","1,245","1,219",750,"1,382","1,573",590,694
2020,2,0,"2,361",428,46,35,26,"1,605",84,28,6,32,36,13,22
2020,2,10,"2,338",742,64,45,38,"1,116",63,48,27,43,75,37,40
2020,2,20,"2,330",803,61,97,37,833,125,76,39,63,130,23,43
2020,2,30,"2,824",633,58,72,40,"1,555",126,72,29,85,91,21,42
2020,2,40,"3,876","1,084",120,116,88,"1,664",158,135,82,147,159,57,66
2020,2,50,"4,274","1,270",221,240,164,"1,040",190,206,136,258,287,131,131
2020,2,60,"4,387","1,310",259,347,203,591,200,277,191,337,343,177,152
2020,2,70,"3,066",835,221,213,149,333,182,232,149,272,270,88,122
2020,2,80,"1,624",365,130,156,86,140,107,137,87,138,172,37,69
2020,2,90,123,32,10,10,8,12,10,8,4,6,10,6,7
2020,2,100,4,1,0,1,0,1,0,0,0,1,0,0,0
2020,3,총,"27,261","7,485","1,195","1,333",838,"8,972","1,253","1,220",748,"1,380","1,559",587,691
2020,3,0,"2,366",418,46,35,25,"1,623",80,27,8,33,36,13,22
2020,3,10,"2,351",743,65,43,40,"1,129",61,48,27,44,74,37,40
2020,3,20,"2,320",805,61,98,33,836,131,72,37,58,125,23,41
2020,3,30,"2,829",627,53,71,41,"1,573",125,73,29,87,88,20,42
2020,3,40,"3,883","1,080",125,117,89,"1,680",161,136,79,141,155,55,65
2020,3,50,"4,242","1,257",224,239,162,"1,037",190,206,134,253,282,128,130
2020,3,60,"4,428","1,322",256,348,205,606,202,277,192,347,343,178,152
2020,3,70,"3,073",833,219,214,146,336,185,235,150,270,274,90,121
2020,3,80,"1,644",368,135,157,90,141,108,138,88,140,172,36,71
2020,3,90,121,31,10,10,7,11,10,8,4,6,10,7,7
2020,3,100,4,1,1,1,0,0,0,0,0,1,0,0,0
2020,4,총,"27,302","7,478","1,184","1,326",834,"9,086","1,243","1,210",743,"1,375","1,554",579,690
2020,4,0,"2,358",412,41,35,25,"1,626",80,27,8,33,36,13,22
2020,4,10,"2,364",745,68,43,38,"1,150",59,48,26,42,72,34,39
2020,4,20,"2,316",800,64,96,32,851,127,67,36,58,124,20,41
2020,4,30,"2,831",620,51,70,41,"1,595",124,72,28,84,85,19,42
2020,4,40,"3,903","1,081",119,113,87,"1,709",159,137,77,144,157,54,66
2020,4,50,"4,236","1,257",220,235,162,"1,050",188,204,130,253,279,129,129
2020,4,60,"4,453","1,332",258,349,205,614,200,276,196,344,347,179,153
2020,4,70,"3,072",838,217,217,143,333,187,236,149,269,274,88,121
2020,4,80,"1,646",361,135,158,94,147,109,135,89,141,171,36,70
2020,4,90,119,31,10,9,7,11,10,8,4,6,9,7,7
2020,4,100,4,1,1,1,0,0,0,0,0,1,0,0,0
2020,5,총,"27,329","7,452","1,187","1,327",833,"9,138","1,258","1,205",743,"1,369","1,554",580,683
2020,5,0,"2,360",405,46,35,25,"1,629",81,28,8,32,36,13,22
2020,5,10,"2,362",739,68,42,37,"1,156",61,48,26,43,70,34,38
2020,5,20,"2,312",795,64,100,31,842,135,67,35,57,126,21,39
2020,5,30,"2,820",609,48,69,42,"1,598",126,72,29,82,84,20,41
2020,5,40,"3,904","1,081",118,112,86,"1,720",157,136,75,143,154,56,66
2020,5,50,"4,250","1,256",220,236,162,"1,071",194,201,130,248,280,125,127
2020,5,60,"4,469","1,331",257,345,207,631,200,272,196,347,350,181,152
2020,5,70,"3,074",842,220,219,142,329,186,239,150,269,272,87,119
2020,5,80,"1,658",362,135,159,94,151,109,134,90,141,174,36,73
2020,5,90,116,31,10,9,7,11,9,8,4,6,8,7,6
2020,5,100,4,1,1,1,0,0,0,0,0,1,0,0,0
2020,6,총,"27,401","7,452","1,181","1,330",837,"9,216","1,261","1,204",743,"1,364","1,547",582,684
2020,6,0,"2,373",408,44,35,27,"1,641",81,27,7,34,34,13,22
2020,6,10,"2,368",737,66,42,37,"1,163",63,48,29,43,69,34,37
2020,6,20,"2,316",797,63,99,33,852,135,68,33,54,120,21,41
2020,6,30,"2,830",616,46,70,42,"1,606",125,72,29,82,85,18,39
2020,6,40,"3,901","1,069",120,113,86,"1,730",158,137,75,141,152,56,64
2020,6,50,"4,260","1,258",218,233,160,"1,084",196,197,131,251,280,124,128
2020,6,60,"4,502","1,329",260,350,211,646,200,275,195,344,352,186,154
2020,6,70,"3,077",843,219,218,141,334,185,239,151,268,273,87,119
2020,6,80,"1,656",363,135,159,92,150,109,134,90,140,174,36,74
2020,6,90,114,31,9,10,8,10,9,7,3,6,8,7,6
2020,6,100,4,1,1,1,0,0,0,0,0,1,0,0,0
2020,7,총,"27,369","7,418","1,173","1,327",839,"9,234","1,262","1,206",743,"1,360","1,546",579,682
2020,7,0,"2,369",403,41,35,28,"1,646",83,26,7,33,33,13,21
2020,7,10,"2,350",720,67,43,37,"1,165",60,50,30,43,64,34,37
2020,7,20,"2,309",788,57,99,33,853,140,67,32,54,123,22,41
2020,7,30,"2,816",613,47,68,41,"1,604",124,73,28,79,84,17,38
2020,7,40,"3,887","1,068",118,114,87,"1,726",155,138,74,141,150,53,63
2020,7,50,"4,260","1,245",218,232,160,"1,098",197,197,131,251,281,122,128
2020,7,60,"4,520","1,336",260,348,210,654,200,276,197,343,354,187,155
2020,7,70,"3,087",849,220,217,144,334,184,239,150,269,276,86,119
2020,7,80,"1,655",364,135,159,91,146,109,133,92,140,174,38,74
2020,7,90,112,31,9,11,8,8,10,7,2,6,7,7,6
2020,7,100,4,1,1,1,0,0,0,0,0,1,0,0,0
2020,8,총,"27,288","7,363","1,170","1,331",842,"9,238","1,253","1,197",743,"1,351","1,538",576,686
2020,8,0,"2,373",398,44,36,29,"1,659",81,25,7,30,32,11,21
2020,8,10,"2,331",710,67,42,37,"1,162",58,48,28,43,65,35,36
2020,8,20,"2,295",772,55,101,33,856,141,65,34,51,122,23,42
2020,8,30,"2,788",609,47,68,42,"1,587",122,71,29,77,82,16,38
2020,8,40,"3,887","1,057",119,116,87,"1,741",154,138,71,144,144,53,63
2020,8,50,"4,238","1,240",210,232,160,"1,092",196,198,132,248,281,121,128
2020,8,60,"4,537","1,343",263,348,210,660,197,275,196,341,358,186,160
2020,8,70,"3,077",837,221,220,145,328,187,237,153,270,273,86,120
2020,8,80,"1,642",367,134,155,91,143,105,133,91,139,174,38,72
2020,8,90,116,29,9,12,8,10,12,7,2,7,7,7,6
2020,8,100,4,1,1,1,0,0,0,0,0,1,0,0,0
2020,9,총,"27,248","7,331","1,163","1,329",849,"9,240","1,254","1,202",740,"1,340","1,536",587,677
2020,9,0,"2,369",394,44,36,28,"1,659",82,26,7,27,32,13,21
2020,9,10,"2,317",701,64,41,37,"1,163",58,48,28,43,65,36,33
2020,9,20,"2,296",771,55,102,34,860,137,64,34,52,122,24,41
2020,9,30,"2,771",611,43,67,42,"1,578",123,71,26,74,80,17,39
2020,9,40,"3,864","1,038",121,114,85,"1,734",160,137,72,140,149,53,61
2020,9,50,"4,217","1,235",205,231,160,"1,094",194,202,130,244,275,120,127
2020,9,60,"4,580","1,350",268,352,218,669,197,276,197,345,358,192,158
2020,9,70,"3,066",831,219,218,147,327,187,237,150,269,274,87,120
2020,9,80,"1,646",371,135,154,90,146,104,132,94,138,173,38,71
2020,9,90,119,28,9,13,8,10,12,9,2,7,8,7,6
2020,9,100,3,1,0,1,0,0,0,0,0,1,0,0,0
2020,10,총,"27,269","7,315","1,159","1,324",843,"9,304","1,258","1,197",736,"1,338","1,530",588,677
2020,10,0,"2,373",399,43,36,28,"1,663",80,26,7,27,31,13,20
2020,10,10,"2,312",689,65,39,36,"1,170",60,48,27,44,63,36,35
2020,10,20,"2,302",767,54,99,33,875,140,64,34,52,120,24,40
2020,10,30,"2,758",611,41,67,41,"1,572",124,68,26,72,81,18,37
2020,10,40,"3,869","1,032",120,114,84,"1,748",160,135,71,141,147,53,64
2020,10,50,"4,216","1,227",204,230,161,"1,109",194,201,130,243,272,120,125
2020,10,60,"4,608","1,352",270,355,218,685,199,275,197,346,360,192,159
2020,10,70,"3,060",835,219,216,146,322,187,236,150,269,276,86,118
2020,10,80,"1,648",373,133,154,88,149,103,135,92,136,173,39,73
2020,10,90,120,29,10,13,8,11,11,9,2,7,7,7,6
2020,10,100,3,1,0,1,0,0,0,0,0,1,0,0,0
2020,11,총,"27,330","7,333","1,155","1,319",839,"9,382","1,252","1,190",735,"1,341","1,522",585,677
2020,11,0,"2,368",399,39,35,28,"1,667",79,25,7,27,30,13,19
2020,11,10,"2,310",688,67,37,36,"1,181",58,47,26,42,59,34,35
2020,11,20,"2,320",783,52,100,32,878,139,63,35,53,121,23,41
2020,11,30,"2,767",610,40,64,42,"1,583",127,67,27,73,81,16,37
2020,11,40,"3,872","1,027",122,113,82,"1,766",160,134,67,140,144,53,64
