년도,월,나이,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020,3,총,"126,327","24,590","2,062","6,684","25,858","18,942","14,835","12,008","11,210","4,046","1,721","4,371"
2020,3,0,"14,751","1,717",119,464,"3,170","3,172","2,705","1,237","1,272",223,63,609
2020,3,10,"11,230","2,324",89,750,"2,748","1,600","1,581",791,803,238,60,246
2020,3,20,"13,107","2,954",188,793,"2,764","1,891","1,175","1,178","1,369",295,120,380
2020,3,30,"20,407","2,626",217,690,"3,945","4,394","3,405","1,879","1,996",339,114,802
2020,3,40,"20,341","3,862",213,"1,270","4,750","3,143","2,703","1,618","1,645",460,122,555
2020,3,50,"20,369","5,132",399,"1,378","4,143","2,517","1,473","2,167","1,610",660,360,530
2020,3,60,"14,072","3,315",373,677,"2,564","1,392","1,074","1,732","1,258",819,346,522
2020,3,70,"7,377","1,742",270,393,"1,172",555,431,876,772,520,273,373
2020,3,80,"4,069",794,166,236,519,237,255,473,427,408,239,315
2020,3,90,584,119,27,30,83,39,31,57,56,81,23,38
2020,3,100,20,5,1,3,0,2,2,0,2,3,1,1
2020,4,총,"126,402","24,496","2,061","6,684","25,832","18,933","14,838","12,171","11,250","4,039","1,717","4,381"
2020,4,0,"14,739","1,699",118,459,"3,143","3,168","2,708","1,270","1,283",221,60,610
2020,4,10,"11,214","2,299",89,750,"2,762","1,594","1,577",787,807,237,61,251
2020,4,20,"13,121","2,928",186,791,"2,755","1,893","1,187","1,219","1,372",294,118,378
2020,4,30,"20,332","2,594",215,683,"3,927","4,367","3,382","1,907","2,001",345,109,802
2020,4,40,"20,400","3,847",208,"1,271","4,755","3,163","2,719","1,646","1,652",456,123,560
2020,4,50,"20,335","5,118",403,"1,376","4,139","2,515","1,465","2,178","1,605",651,360,525
2020,4,60,"14,179","3,337",373,689,"2,578","1,408","1,071","1,757","1,267",825,348,526
2020,4,70,"7,387","1,756",270,395,"1,168",551,433,874,772,517,274,377
2020,4,80,"4,091",793,171,236,524,235,260,478,431,412,239,312
2020,4,90,584,120,27,31,81,37,34,55,58,78,24,39
2020,4,100,20,5,1,3,0,2,2,0,2,3,1,1
2020,5,총,"126,483","24,433","2,063","6,670","25,825","18,907","14,829","12,368","11,245","4,036","1,717","4,390"
2020,5,0,"14,681","1,687",119,455,"3,116","3,157","2,695","1,289","1,280",216,59,608
2020,5,10,"11,227","2,293",87,746,"2,767","1,588","1,590",797,806,239,62,252
2020,5,20,"13,136","2,914",190,788,"2,744","1,896","1,193","1,252","1,376",296,113,374
2020,5,30,"20,252","2,578",215,680,"3,908","4,331","3,348","1,936","2,001",342,112,801
2020,5,40,"20,432","3,829",203,"1,259","4,756","3,170","2,738","1,685","1,651",459,123,559
2020,5,50,"20,369","5,092",406,"1,381","4,153","2,522","1,473","2,206","1,604",645,361,526
2020,5,60,"14,243","3,352",377,691,"2,593","1,407","1,064","1,781","1,265",830,349,534
2020,5,70,"7,425","1,765",268,397,"1,174",564,431,885,776,517,269,379
2020,5,80,"4,110",799,168,236,533,235,262,481,426,410,243,317
2020,5,90,588,119,29,34,81,35,33,56,58,79,25,39
2020,5,100,20,5,1,3,0,2,2,0,2,3,1,1
2020,6,총,"126,513","24,394","2,065","6,653","25,807","18,881","14,847","12,462","11,246","4,037","1,711","4,410"
2020,6,0,"14,664","1,685",121,458,"3,104","3,157","2,683","1,301","1,277",212,61,605
2020,6,10,"11,233","2,276",86,740,"2,774","1,579","1,601",810,810,238,61,258
2020,6,20,"13,088","2,890",187,779,"2,731","1,892","1,190","1,258","1,373",296,113,379
2020,6,30,"20,220","2,576",219,683,"3,889","4,311","3,332","1,946","2,010",340,112,802
2020,6,40,"20,446","3,806",205,"1,249","4,769","3,168","2,773","1,694","1,643",460,123,556
2020,6,50,"20,357","5,090",407,"1,374","4,143","2,524","1,472","2,219","1,594",646,357,531
2020,6,60,"14,328","3,372",375,704,"2,598","1,415","1,071","1,796","1,280",828,347,542
2020,6,70,"7,455","1,773",272,395,"1,182",561,424,903,775,519,270,381
2020,6,80,"4,113",805,164,235,534,236,267,479,422,417,240,314
2020,6,90,590,116,28,33,83,36,33,56,60,78,26,41
2020,6,100,19,5,1,3,0,2,1,0,2,3,1,1
2020,7,총,"126,788","24,416","2,096","6,632","25,805","18,881","14,770","12,536","11,244","4,029","1,708","4,671"
2020,7,0,"14,656","1,673",128,455,"3,081","3,154","2,660","1,310","1,271",210,61,653
2020,7,10,"11,240","2,261",88,730,"2,789","1,587","1,595",806,811,235,61,277
2020,7,20,"13,119","2,910",190,774,"2,724","1,898","1,176","1,257","1,375",297,112,406
2020,7,30,"20,227","2,565",223,672,"3,868","4,268","3,313","1,978","1,997",339,115,889
2020,7,40,"20,496","3,807",211,"1,252","4,768","3,190","2,766","1,694","1,636",463,120,589
2020,7,50,"20,388","5,091",415,"1,371","4,150","2,518","1,468","2,234","1,597",638,353,553
2020,7,60,"14,447","3,402",377,709,"2,622","1,422","1,073","1,813","1,287",837,347,558
2020,7,70,"7,486","1,777",269,397,"1,191",565,426,905,780,520,269,387
2020,7,80,"4,115",804,168,234,529,242,258,481,429,410,242,318
2020,7,90,595,121,26,35,83,35,34,58,59,77,27,40
2020,7,100,19,5,1,3,0,2,1,0,2,3,1,1
2020,8,총,"127,051","24,367","2,121","6,595","25,807","18,894","14,724","12,540","11,235","4,021","1,704","5,043"
2020,8,0,"14,626","1,644",129,446,"3,065","3,152","2,637","1,305","1,267",209,60,712
2020,8,10,"11,252","2,238",90,719,"2,785","1,588","1,615",811,802,235,61,308
2020,8,20,"13,148","2,914",191,768,"2,722","1,897","1,166","1,250","1,386",301,110,443
2020,8,30,"20,227","2,554",235,666,"3,856","4,258","3,275","1,979","1,986",333,118,967
2020,8,40,"20,540","3,781",212,"1,238","4,778","3,190","2,780","1,697","1,624",459,117,664
2020,8,50,"20,426","5,081",418,"1,374","4,161","2,523","1,453","2,219","1,600",638,348,611
2020,8,60,"14,566","3,441",379,710,"2,634","1,435","1,082","1,824","1,291",838,348,584
2020,8,70,"7,500","1,777",266,397,"1,192",568,423,912,784,518,271,392
2020,8,80,"4,150",808,173,238,535,245,259,485,435,408,243,321
2020,8,90,597,124,27,36,79,36,33,58,58,79,27,40
2020,8,100,19,5,1,3,0,2,1,0,2,3,1,1
2020,9,총,"127,097","24,324","2,124","6,581","25,794","18,872","14,662","12,509","11,254","4,016","1,696","5,265"
2020,9,0,"14,545","1,628",132,448,"3,045","3,130","2,614","1,290","1,251",203,61,743
2020,9,10,"11,305","2,233",86,713,"2,802","1,605","1,622",812,809,237,59,327
2020,9,20,"13,096","2,899",196,763,"2,707","1,885","1,151","1,234","1,396",293,110,462
2020,9,30,"20,120","2,538",237,656,"3,820","4,222","3,226","1,977","1,976",327,114,"1,027"
2020,9,40,"20,612","3,767",208,"1,235","4,807","3,191","2,795","1,688","1,630",463,115,713
2020,9,50,"20,460","5,077",418,"1,373","4,155","2,535","1,460","2,213","1,618",640,347,624
2020,9,60,"14,635","3,458",385,717,"2,637","1,441","1,084","1,830","1,291",839,349,604
2020,9,70,"7,534","1,784",265,397,"1,202",574,416,920,782,521,273,400
2020,9,80,"4,162",807,170,241,537,251,259,485,442,409,239,322
2020,9,90,609,128,26,35,82,36,34,60,57,81,28,42
2020,9,100,19,5,1,3,0,2,1,0,2,3,1,1
2020,10,총,"127,254","24,310","2,127","6,557","25,800","18,870","14,648","12,551","11,249","4,016","1,699","5,427"
2020,10,0,"14,522","1,609",128,443,"3,033","3,113","2,608","1,296","1,248",204,61,779
2020,10,10,"11,376","2,235",90,708,"2,818","1,621","1,627",826,816,234,59,342
2020,10,20,"13,077","2,888",196,758,"2,714","1,885","1,145","1,236","1,383",289,112,471
2020,10,30,"20,009","2,516",236,661,"3,786","4,187","3,202","1,961","1,954",328,113,"1,065"
2020,10,40,"20,659","3,754",211,"1,222","4,814","3,204","2,795","1,699","1,637",459,122,742
2020,10,50,"20,499","5,075",420,"1,381","4,161","2,536","1,461","2,209","1,628",643,341,644
2020,10,60,"14,746","3,495",382,715,"2,643","1,452","1,100","1,855","1,297",846,349,612
2020,10,70,"7,549","1,786",268,393,"1,208",578,417,924,785,518,270,402
2020,10,80,"4,179",815,168,238,539,255,259,484,442,410,242,327
2020,10,90,618,132,27,34,84,37,33,61,57,82,29,42
2020,10,100,20,5,1,4,0,2,1,0,2,3,1,1
2020,11,총,"127,412","24,201","2,125","6,518","25,758","18,909","14,688","12,560","11,206","4,006","1,700","5,741"
2020,11,0,"14,473","1,582",130,427,"3,014","3,113","2,606","1,282","1,245",200,60,814
2020,11,10,"11,405","2,222",91,696,"2,830","1,628","1,635",826,814,233,59,371
2020,11,20,"13,105","2,875",198,756,"2,710","1,881","1,157","1,247","1,373",290,111,507
