년도,월,나이,중구,동인동,삼덕동,성내1동,성내2동,성내3동,대신동,남산1동,남산2동,남산3동,남산4동,대봉1동,대봉2동
2020,1,총,"37,289","4,552","3,140","2,340","2,349","2,648","4,055","2,521","1,657","3,334","5,805","3,643","1,245"
2020,1,0,"2,820",179,267,94,74,276,442,167,60,355,548,318,40
2020,1,10,"2,636",261,179,110,108,135,313,158,112,268,585,313,94
2020,1,20,"5,642",762,761,544,401,333,465,402,265,337,727,510,135
2020,1,30,"5,743",689,651,421,316,545,735,342,196,516,740,470,122
2020,1,40,"5,629",667,473,288,298,376,611,366,247,569,957,570,207
2020,1,50,"5,664",726,332,343,399,390,607,427,296,512,852,566,214
2020,1,60,"4,693",653,245,285,398,332,491,333,228,396,711,421,200
2020,1,70,"3,145",445,155,175,257,195,280,245,174,267,491,292,169
2020,1,80,"1,182",152,71,64,85,56,103,74,73,107,179,159,59
2020,1,90,118,17,5,13,10,9,7,6,3,7,13,23,5
2020,1,100,17,1,1,3,3,1,1,1,3,0,2,1,0
2020,2,총,"37,184","4,505","3,129","2,356","2,341","2,643","4,027","2,516","1,652","3,331","5,800","3,636","1,248"
2020,2,0,"2,804",175,262,98,76,277,446,158,59,354,542,316,41
2020,2,10,"2,657",250,179,114,103,142,318,157,118,267,595,318,96
2020,2,20,"5,590",754,756,537,400,327,446,407,263,340,722,502,136
2020,2,30,"5,688",681,651,427,310,547,718,336,195,510,730,461,122
2020,2,40,"5,636",664,474,295,293,378,612,371,245,572,962,569,201
2020,2,50,"5,652",720,327,342,399,386,600,427,293,510,852,574,222
2020,2,60,"4,696",650,247,290,402,326,492,334,226,399,713,420,197
2020,2,70,"3,135",440,153,172,259,194,281,246,174,268,488,292,168
2020,2,80,"1,191",153,74,65,86,56,105,73,73,105,180,161,60
2020,2,90,117,16,5,13,10,9,8,6,3,6,14,22,5
2020,2,100,18,2,1,3,3,1,1,1,3,0,2,1,0
2020,3,총,"37,161","4,475","3,183","2,358","2,352","2,641","4,018","2,515","1,654","3,321","5,780","3,617","1,247"
2020,3,0,"2,771",172,255,96,75,283,442,153,59,346,539,310,41
2020,3,10,"2,637",241,183,115,104,134,318,155,115,273,589,313,97
2020,3,20,"5,665",752,801,552,405,328,444,429,264,337,719,495,139
2020,3,30,"5,662",673,645,424,310,552,721,333,195,508,724,456,121
2020,3,40,"5,634",666,482,292,294,380,615,361,245,567,969,563,200
2020,3,50,"5,634",717,333,336,403,382,595,426,294,509,842,578,219
2020,3,60,"4,701",645,248,289,405,325,495,334,226,397,715,427,195
2020,3,70,"3,128",439,156,173,256,193,275,241,177,272,485,291,170
2020,3,80,"1,192",152,74,64,87,55,104,76,73,106,181,161,59
2020,3,90,118,16,5,14,9,8,8,6,3,6,15,22,6
2020,3,100,19,2,1,3,4,1,1,1,3,0,2,1,0
2020,4,총,"37,064","4,445","3,196","2,377","2,363","2,624","4,007","2,505","1,649","3,299","5,735","3,621","1,243"
2020,4,0,"2,758",169,261,94,74,282,444,150,58,346,529,309,42
2020,4,10,"2,614",242,182,113,105,128,316,153,116,264,586,313,96
2020,4,20,"5,682",751,813,559,412,326,443,430,261,339,705,502,141
2020,4,30,"5,638",670,642,437,311,549,704,331,194,503,724,453,120
