년도,월,나이,대덕구,오정동,대화동,회덕동,비래동,송촌동,중리동,신탄진동,석봉동,덕암동,목상동,법1동,법2동
2020,1,총,"86,851","7,190","3,534","6,893","8,553","14,499","9,680","5,559","7,033","6,681","3,124","5,269","8,836"
2020,1,0,"5,808",376,155,438,542,"1,111",547,317,866,417,266,237,536
2020,1,10,"8,465",500,250,549,860,"2,053",840,440,634,670,337,454,878
2020,1,20,"11,062","1,082",363,742,"1,089","1,957","1,360",685,794,853,447,592,"1,098"
2020,1,30,"9,307",727,411,667,850,"1,494",997,526,"1,195",735,434,461,810
2020,1,40,"13,932",891,508,956,"1,361","2,985","1,552",777,"1,127","1,073",544,738,"1,420"
2020,1,50,"16,487","1,409",652,"1,353","1,648","2,680","1,863","1,063","1,167","1,244",529,"1,013","1,866"
2020,1,60,"11,529","1,210",605,"1,125","1,219","1,174","1,447",880,702,848,301,834,"1,184"
2020,1,70,"6,465",656,385,654,645,640,733,530,330,530,157,573,632
2020,1,80,"3,273",274,169,359,303,352,296,284,190,267,91,336,352
2020,1,90,499,62,34,48,33,49,44,52,27,42,18,30,60
2020,1,100,24,3,2,2,3,4,1,5,1,2,0,1,0
2020,2,총,"86,570","7,152","3,526","6,856","8,520","14,504","9,630","5,540","7,015","6,651","3,127","5,245","8,804"
2020,2,0,"5,735",370,153,428,536,"1,109",534,313,861,406,266,233,526
2020,2,10,"8,363",490,248,543,845,"2,024",836,436,638,665,333,441,864
2020,2,20,"11,022","1,077",359,737,"1,089","1,975","1,344",679,787,850,445,588,"1,092"
2020,2,30,"9,221",719,406,656,839,"1,496",992,517,"1,182",732,432,456,794
2020,2,40,"13,862",889,509,949,"1,362","2,964","1,537",775,"1,125","1,067",549,718,"1,418"
2020,2,50,"16,477","1,402",647,"1,346","1,640","2,698","1,859","1,071","1,165","1,234",532,"1,018","1,865"
2020,2,60,"11,593","1,208",613,"1,126","1,223","1,193","1,446",876,705,856,302,847,"1,198"
2020,2,70,"6,476",660,385,657,639,644,735,530,333,529,160,576,628
2020,2,80,"3,286",274,168,363,309,347,299,284,193,267,89,335,358
2020,2,90,511,60,36,49,35,51,47,54,25,43,18,32,61
2020,2,100,24,3,2,2,3,3,1,5,1,2,1,1,0
2020,3,총,"86,312","7,107","3,527","6,815","8,506","14,444","9,615","5,527","7,036","6,609","3,126","5,234","8,766"
