년도,월,나이,유성구,진잠동,온천1동,온천2동,노은1동,노은2동,노은3동,신성동,전민동,구즉동,관평동,원신흥동,학하동,상대동
2020,1,총,"176,617","18,166","17,372","20,755","11,026","12,378","17,869","13,365","13,980","14,501","14,793","22,412",,
2020,1,0,"18,839","1,769",814,"1,822","1,246","1,350","2,564","1,611","1,436","1,454","1,759","3,014",,
2020,1,10,"20,369","1,902",808,"1,792","1,615","1,846","2,265","1,613","1,748","1,694","2,457","2,629",,
2020,1,20,"27,881","2,561","4,052","4,696","1,461","1,649","1,952","2,154","2,385","2,352","1,879","2,740",,
2020,1,30,"29,301","2,445","3,677","3,469","1,613","1,606","2,990","2,818","2,350","2,346","2,047","3,940",,
2020,1,40,"29,961","3,116","2,332","2,851","2,075","2,336","3,477","2,057","2,176","2,476","2,931","4,134",,
2020,1,50,"26,593","3,138","2,728","2,932","1,640","1,981","2,394","1,784","2,188","2,395","2,309","3,104",,
2020,1,60,"15,560","2,060","1,891","2,146",822,947,"1,462",908,"1,208","1,127","1,033","1,956",,
2020,1,70,"5,878",875,747,764,385,458,575,310,328,455,291,690,,
2020,1,80,"2,000",275,281,250,150,187,174,97,132,183,77,194,,
2020,1,90,223,22,39,32,19,17,15,13,27,18,10,11,,
2020,1,100,12,3,3,1,0,1,1,0,2,1,0,0,,
2020,2,총,"176,706","18,132","17,449","20,747","11,044","12,401","17,895","13,356","13,983","14,467","14,845","22,387",,
2020,2,0,"18,753","1,757",810,"1,813","1,239","1,344","2,543","1,610","1,461","1,422","1,758","2,996",,
2020,2,10,"20,273","1,880",814,"1,774","1,601","1,847","2,273","1,590","1,727","1,677","2,451","2,639",,
2020,2,20,"27,899","2,549","4,081","4,711","1,471","1,657","1,944","2,144","2,365","2,357","1,906","2,714",,
2020,2,30,"29,307","2,429","3,674","3,470","1,629","1,607","2,991","2,824","2,381","2,330","2,057","3,915",,
2020,2,40,"29,965","3,105","2,338","2,850","2,051","2,343","3,488","2,061","2,157","2,478","2,938","4,156",,
2020,2,50,"26,632","3,142","2,740","2,918","1,666","1,983","2,392","1,779","2,193","2,399","2,311","3,109",,
2020,2,60,"15,710","2,089","1,911","2,163",827,954,"1,489",921,"1,212","1,143","1,039","1,962",,
2020,2,70,"5,917",876,757,764,387,460,584,314,328,455,298,694,,
2020,2,80,"2,015",280,283,252,152,188,174,101,131,186,77,191,,
2020,2,90,223,22,38,31,21,17,16,12,26,19,10,11,,
2020,2,100,12,3,3,1,0,1,1,0,2,1,0,0,,
2020,3,총,"176,785","18,095","17,548","20,775","11,015","12,393","17,919","13,319","14,007","14,455","14,851","22,408",,
2020,3,0,"18,672","1,750",796,"1,823","1,231","1,340","2,544","1,585","1,471","1,405","1,750","2,977",,
2020,3,10,"20,214","1,873",814,"1,761","1,597","1,841","2,267","1,575","1,723","1,669","2,431","2,663",,
2020,3,20,"27,943","2,518","4,106","4,738","1,455","1,651","1,943","2,155","2,356","2,372","1,939","2,710",,
2020,3,30,"29,293","2,421","3,732","3,483","1,619","1,607","2,993","2,814","2,395","2,290","2,050","3,889",,
2020,3,40,"29,948","3,102","2,316","2,835","2,061","2,326","3,496","2,064","2,153","2,490","2,932","4,173",,
2020,3,50,"26,655","3,138","2,753","2,912","1,659","1,995","2,394","1,768","2,190","2,406","2,313","3,127",,
2020,3,60,"15,822","2,092","1,939","2,163",828,968,"1,499",927,"1,231","1,158","1,050","1,967",,
2020,3,70,"5,972",888,764,775,390,461,586,321,329,457,299,702,,
2020,3,80,"2,029",290,284,253,154,186,179,99,130,188,77,189,,
2020,3,90,224,20,41,31,20,17,17,11,27,19,10,11,,
2020,3,100,13,3,3,1,1,1,1,0,2,1,0,0,,
2020,4,총,"176,924","18,037","17,603","20,817","11,016","12,364","18,023","13,359","13,995","14,475","14,866","22,369",,
2020,4,0,"18,597","1,740",795,"1,823","1,221","1,337","2,545","1,588","1,467","1,396","1,738","2,947",,
2020,4,10,"20,176","1,862",815,"1,742","1,592","1,828","2,298","1,572","1,706","1,659","2,428","2,674",,
2020,4,20,"28,028","2,499","4,124","4,795","1,467","1,640","1,949","2,158","2,368","2,390","1,952","2,686",,
2020,4,30,"29,317","2,402","3,736","3,477","1,614","1,610","3,010","2,822","2,403","2,301","2,064","3,878",,
2020,4,40,"29,924","3,092","2,312","2,845","2,059","2,322","3,517","2,075","2,140","2,481","2,910","4,171",,
2020,4,50,"26,681","3,139","2,771","2,903","1,661","1,990","2,397","1,766","2,191","2,404","2,332","3,127",,
2020,4,60,"15,931","2,096","1,960","2,163",838,966,"1,527",943,"1,232","1,172","1,055","1,979",,
2020,4,70,"5,998",892,764,780,388,468,580,324,330,460,304,708,,
2020,4,80,"2,037",293,283,257,155,186,182,99,129,192,73,188,,
2020,4,90,222,19,40,31,20,16,17,12,27,19,10,11,,
2020,4,100,13,3,3,1,1,1,1,0,2,1,0,0,,
2020,5,총,"177,460","18,013","17,723","20,899","10,988","12,335","18,360","13,435","13,997","14,473","14,902","22,335",,
2020,5,0,"18,596","1,739",787,"1,819","1,213","1,324","2,592","1,590","1,469","1,405","1,726","2,932",,
2020,5,10,"20,115","1,847",823,"1,718","1,581","1,821","2,320","1,564","1,694","1,652","2,424","2,671",,
2020,5,20,"28,165","2,488","4,167","4,862","1,456","1,628","1,990","2,184","2,363","2,391","1,961","2,675",,
2020,5,30,"29,489","2,396","3,759","3,528","1,615","1,596","3,108","2,864","2,414","2,285","2,072","3,852",,
2020,5,40,"29,941","3,087","2,332","2,821","2,056","2,321","3,552","2,070","2,135","2,488","2,910","4,169",,
2020,5,50,"26,793","3,150","2,783","2,901","1,657","1,998","2,462","1,780","2,191","2,397","2,351","3,123",,
2020,5,60,"16,026","2,097","1,976","2,173",848,969,"1,543",944,"1,239","1,179","1,060","1,998",,
2020,5,70,"6,053",897,765,786,385,474,598,327,332,464,315,710,,
2020,5,80,"2,045",288,287,260,156,187,178,100,130,192,73,194,,
2020,5,90,224,21,41,30,20,16,16,12,28,19,10,11,,
2020,5,100,13,3,3,1,1,1,1,0,2,1,0,0,,
2020,6,총,"177,640","17,969","17,802","20,879","10,998","12,345","18,592","13,433","13,967","14,432","14,923","22,300",,
2020,6,0,"18,554","1,742",792,"1,810","1,206","1,322","2,624","1,568","1,467","1,395","1,723","2,905",,
2020,6,10,"20,055","1,835",809,"1,720","1,573","1,821","2,330","1,544","1,689","1,648","2,413","2,673",,
2020,6,20,"28,181","2,455","4,185","4,840","1,469","1,642","2,049","2,201","2,327","2,384","1,973","2,656",,
2020,6,30,"29,589","2,389","3,799","3,552","1,608","1,601","3,128","2,870","2,424","2,275","2,097","3,846",,
2020,6,40,"29,935","3,084","2,342","2,808","2,063","2,311","3,593","2,076","2,126","2,477","2,887","4,168",,
2020,6,50,"26,825","3,146","2,783","2,881","1,657","1,995","2,496","1,788","2,193","2,392","2,370","3,124",,
2020,6,60,"16,141","2,109","1,983","2,185",856,983,"1,566",950,"1,247","1,189","1,064","2,009",,
2020,6,70,"6,084",897,772,792,390,470,612,326,334,461,313,717,,
2020,6,80,"2,032",287,292,258,155,182,175,98,130,190,73,192,,
2020,6,90,231,22,42,32,20,17,18,12,28,20,10,10,,
2020,6,100,13,3,3,1,1,1,1,0,2,1,0,0,,
2020,7,총,"177,867","17,947","17,875","20,921","11,003","12,356","18,645","13,425","13,991","14,432","14,938","22,334",,
2020,7,0,"18,521","1,737",791,"1,811","1,200","1,327","2,621","1,565","1,458","1,390","1,719","2,902",,
2020,7,10,"20,008","1,836",804,"1,711","1,582","1,800","2,330","1,532","1,682","1,638","2,410","2,683",,
2020,7,20,"28,269","2,441","4,231","4,874","1,471","1,653","2,038","2,203","2,345","2,386","1,975","2,652",,
2020,7,30,"29,576","2,367","3,816","3,559","1,609","1,601","3,128","2,872","2,426","2,280","2,092","3,826",,
2020,7,40,"29,983","3,085","2,346","2,818","2,060","2,298","3,621","2,073","2,122","2,475","2,906","4,179",,
2020,7,50,"26,902","3,146","2,777","2,869","1,655","2,022","2,528","1,788","2,210","2,390","2,371","3,146",,
2020,7,60,"16,190","2,114","1,998","2,191",854,983,"1,565",950,"1,250","1,197","1,067","2,021",,
2020,7,70,"6,128",908,776,796,394,471,613,331,338,461,316,724,,
2020,7,80,"2,038",286,289,257,157,182,183,99,130,193,71,191,,
2020,7,90,239,24,44,34,20,18,17,12,28,21,11,10,,
2020,7,100,13,3,3,1,1,1,1,0,2,1,0,0,,
2020,8,총,"178,001","17,937","17,896","20,948","11,036","12,344","18,660","13,518","13,981","14,412","14,890","22,379",,
2020,8,0,"18,451","1,712",796,"1,798","1,202","1,312","2,616","1,569","1,450","1,387","1,702","2,907",,
2020,8,10,"19,954","1,837",787,"1,710","1,571","1,798","2,340","1,539","1,661","1,635","2,397","2,679",,
2020,8,20,"28,337","2,451","4,256","4,905","1,483","1,645","2,032","2,229","2,360","2,363","1,971","2,642",,
2020,8,30,"29,564","2,344","3,821","3,552","1,623","1,598","3,114","2,883","2,436","2,272","2,071","3,850",,
2020,8,40,"29,950","3,081","2,329","2,811","2,066","2,282","3,628","2,094","2,105","2,479","2,904","4,171",,
2020,8,50,"26,995","3,161","2,791","2,879","1,654","2,045","2,530","1,802","2,214","2,388","2,374","3,157",,
2020,8,60,"16,291","2,126","2,009","2,200",863,995,"1,578",950,"1,250","1,212","1,070","2,038",,
2020,8,70,"6,157",914,774,794,396,469,619,337,344,459,321,730,,
2020,8,80,"2,045",284,286,261,157,181,184,103,130,194,70,195,,
2020,8,90,244,24,44,37,20,18,18,12,29,22,10,10,,
2020,8,100,13,3,3,1,1,1,1,0,2,1,0,0,,
2020,9,총,"178,003","17,949","17,955","20,957","11,029","12,357","18,617","13,626","13,973","14,340","14,884","22,316",,
2020,9,0,"18,342","1,695",796,"1,776","1,188","1,306","2,613","1,584","1,442","1,377","1,689","2,876",,
2020,9,10,"19,917","1,844",780,"1,710","1,572","1,790","2,331","1,545","1,647","1,613","2,393","2,692",,
2020,9,20,"28,375","2,453","4,269","4,911","1,485","1,644","2,029","2,242","2,381","2,353","1,972","2,636",,
2020,9,30,"29,527","2,342","3,846","3,560","1,620","1,608","3,074","2,887","2,430","2,261","2,070","3,829",,
2020,9,40,"29,920","3,079","2,331","2,802","2,060","2,286","3,611","2,132","2,100","2,450","2,904","4,165",,
2020,9,50,"27,024","3,171","2,802","2,873","1,661","2,045","2,548","1,805","2,213","2,384","2,384","3,138",,
2020,9,60,"16,408","2,136","2,025","2,227",867,"1,007","1,587",974,"1,259","1,226","1,070","2,030",,
2020,9,70,"6,172",915,771,796,396,469,621,341,342,461,319,741,,
2020,9,80,"2,066",286,287,265,161,183,183,104,130,195,73,199,,
2020,9,90,240,25,45,36,18,18,19,12,27,20,10,10,,
2020,9,100,12,3,3,1,1,1,1,0,2,0,0,0,,
2020,10,총,"177,833","17,931","17,970","20,923","11,027","12,306","18,621","13,673","13,958","14,292","14,861","22,271",,
2020,10,0,"18,222","1,673",795,"1,767","1,184","1,279","2,604","1,601","1,430","1,357","1,678","2,854",,
2020,10,10,"19,846","1,835",769,"1,691","1,567","1,792","2,338","1,537","1,635","1,603","2,375","2,704",,
