년도,월,나이,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020,3,총,"172,634","7,793","5,038","9,791","9,942","9,768","6,028","8,690","10,149","11,164","9,127","11,795","5,047","5,958","10,201","8,281","8,206","5,727","14,628","5,576","9,725"
2020,3,0,"11,082",318,359,783,516,649,303,448,583,"1,026",603,669,412,414,498,532,654,351,"1,046",257,661
2020,3,10,"13,168",321,253,968,815,810,324,507,644,936,"1,073","1,080",374,515,696,733,507,472,"1,334",250,556
2020,3,20,"25,481","1,472",958,"1,099","1,160","1,440","1,156","1,782","1,590","1,274","1,180","1,650",637,722,"1,785","1,141","1,469",855,"2,019",960,"1,132"
2020,3,30,"24,139","1,308",937,"1,167","1,030","1,231","1,085","1,624","1,575","1,517",948,"1,328",866,745,"1,289",971,"1,401",689,"1,823","1,045","1,560"
2020,3,40,"26,189",993,791,"1,655","1,438","1,528",918,"1,247","1,523","1,931","1,487","1,781",759,947,"1,512","1,168","1,263",828,"2,134",813,"1,473"
2020,3,50,"28,559","1,379",758,"1,483","1,676","1,736",870,"1,186","1,484","1,783","1,730","2,212",750,"1,141","1,730","1,369","1,257",986,"2,626",891,"1,512"
2020,3,60,"25,488","1,177",632,"1,470","1,765","1,367",767,"1,034","1,487","1,534","1,262","1,845",704,874,"1,566","1,349",939,875,"2,356",794,"1,691"
2020,3,70,"13,699",622,257,848,"1,137",708,442,611,914,893,638,892,409,461,859,770,548,501,938,405,846
2020,3,80,"4,428",183,80,294,380,274,146,227,328,238,188,306,125,128,250,224,160,158,333,145,261
2020,3,90,355,17,13,22,24,21,13,21,18,25,15,31,10,9,16,21,8,11,18,15,27
2020,3,100,46,3,0,2,1,4,4,3,3,7,3,1,1,2,0,3,0,1,1,1,6
2020,4,총,"172,703","7,771","5,044","9,709","10,367","9,789","6,024","8,648","10,118","11,091","9,069","11,752","5,029","5,919","10,172","8,259","8,238","5,727","14,627","5,638","9,712"
