년도,월,나이,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020,3,총,"143,363","7,628","13,763","10,710","19,350","21,451","7,767","15,004","6,570","6,250","5,528","6,244","13,589","9,509"
2020,3,0,"10,326",373,828,537,"1,193","2,194",535,"1,458",278,248,264,444,"1,259",715
2020,3,10,"12,864",361,"1,012",903,"1,741","2,470",715,"2,120",367,391,344,409,"1,267",764
2020,3,20,"20,945","1,154","2,049","1,747","2,580","3,317","1,280","2,115",942,"1,001",802,806,"1,802","1,350"
2020,3,30,"18,174","1,167","1,880","1,146","2,158","2,735",905,"1,534",905,886,687,"1,061","1,789","1,321"
2020,3,40,"20,636","1,001","1,890","1,588","2,713","3,139",998,"2,582",851,857,814,813,"2,112","1,278"
2020,3,50,"26,787","1,521","2,777","2,209","3,737","4,048","1,553","2,738","1,222","1,162",983,"1,058","2,249","1,530"
2020,3,60,"21,434","1,305","2,142","1,676","3,210","2,510","1,137","1,439","1,200","1,080",975,"1,055","2,021","1,684"
2020,3,70,"9,420",577,937,731,"1,432",856,478,736,611,485,518,487,877,695
2020,3,80,"2,558",158,235,161,539,171,135,263,180,126,131,108,193,158
2020,3,90,197,10,10,12,47,11,19,18,14,13,8,2,19,14
2020,3,100,22,1,3,0,0,0,12,1,0,1,2,1,1,0
2020,4,총,"143,102","7,584","13,727","10,638","19,328","21,453","7,741","15,011","6,527","6,252","5,526","6,257","13,559","9,499"
2020,4,0,"10,274",374,822,529,"1,185","2,187",534,"1,446",271,248,263,450,"1,254",711
2020,4,10,"12,786",354,"1,010",883,"1,733","2,463",713,"2,112",361,385,351,408,"1,257",756
2020,4,20,"20,875","1,130","2,046","1,738","2,573","3,309","1,272","2,124",929,"1,008",795,804,"1,791","1,356"
2020,4,30,"18,082","1,157","1,874","1,126","2,141","2,740",904,"1,523",905,879,678,"1,065","1,781","1,309"
