년도,월,나이,북구,구포제1동,구포제2동,구포제3동,금곡동,화명제1동,화명제2동,화명제3동,덕천제1동,덕천제2동,덕천제3동,만덕제1동,만덕제2동,만덕제3동
2020,1,총,"290,908","15,059","26,846","21,036","40,084","43,779","15,979","30,951","13,466","12,662","11,382","12,379","27,763","19,522"
2020,1,0,"20,364",775,"1,566","1,061","2,376","4,308","1,040","2,860",561,520,513,892,"2,487","1,405"
2020,1,10,"25,106",786,"1,904","1,678","3,476","4,850","1,414","4,151",681,753,687,821,"2,485","1,420"
2020,1,20,"39,493","2,177","3,842","3,176","4,879","6,233","2,433","4,067","1,770","1,938","1,521","1,521","3,413","2,523"
2020,1,30,"35,390","2,067","3,419","2,163","4,156","5,754","1,747","3,370","1,683","1,567","1,256","1,938","3,617","2,653"
2020,1,40,"42,297","1,828","3,663","3,119","5,629","6,907","2,150","5,745","1,660","1,665","1,520","1,523","4,296","2,592"
2020,1,50,"56,268","3,122","5,595","4,493","7,942","8,615","3,357","5,435","2,553","2,426","2,084","2,257","4,797","3,592"
2020,1,60,"42,806","2,547","4,176","3,310","6,187","4,783","2,239","2,968","2,535","2,262","2,073","2,102","4,192","3,432"
2020,1,70,"20,508","1,239","1,958","1,522","3,515","1,693","1,064","1,655","1,360","1,063","1,241",988,"1,806","1,404"
2020,1,80,"7,593",460,640,455,"1,740",544,427,620,594,401,428,289,565,430
2020,1,90,985,53,67,56,180,86,71,77,65,63,53,43,100,71
2020,1,100,98,5,16,3,4,6,37,3,4,4,6,5,5,0
2020,2,총,"290,230","15,065","26,777","20,974","39,897","43,696","15,940","30,806","13,383","12,618","11,363","12,570","27,693","19,448"
2020,2,0,"20,255",768,"1,550","1,052","2,350","4,306","1,028","2,859",551,507,510,910,"2,475","1,389"
2020,2,10,"24,842",766,"1,894","1,675","3,444","4,802","1,403","4,076",675,733,678,819,"2,460","1,417"
2020,2,20,"39,239","2,177","3,816","3,138","4,826","6,200","2,402","4,034","1,752","1,946","1,514","1,543","3,397","2,494"
2020,2,30,"35,294","2,073","3,411","2,151","4,124","5,759","1,748","3,340","1,659","1,570","1,248","1,984","3,603","2,624"
2020,2,40,"42,051","1,827","3,660","3,088","5,579","6,853","2,134","5,701","1,657","1,645","1,528","1,549","4,260","2,570"
2020,2,50,"56,161","3,116","5,566","4,493","7,889","8,608","3,372","5,439","2,535","2,413","2,058","2,298","4,798","3,576"
2020,2,60,"43,100","2,572","4,198","3,323","6,241","4,831","2,251","2,995","2,543","2,273","2,092","2,123","4,209","3,449"
2020,2,70,"20,535","1,240","1,953","1,532","3,504","1,699","1,061","1,654","1,352","1,056","1,244","1,003","1,815","1,422"
2020,2,80,"7,658",465,646,461,"1,753",545,431,627,584,408,432,294,574,438
2020,2,90,996,56,66,58,183,87,73,79,70,63,53,42,97,69
2020,2,100,99,5,17,3,4,6,37,2,5,4,6,5,5,0
2020,3,총,"289,575","15,053","26,698","20,871","39,813","43,561","15,878","30,706","13,348","12,585","11,319","12,690","27,642","19,411"
2020,3,0,"20,098",777,"1,543","1,034","2,332","4,277","1,029","2,825",549,492,504,913,"2,450","1,373"
2020,3,10,"24,688",752,"1,870","1,673","3,426","4,775","1,394","4,060",669,723,669,814,"2,455","1,408"
2020,3,20,"39,033","2,170","3,799","3,106","4,800","6,154","2,375","3,997","1,731","1,954","1,504","1,551","3,403","2,489"
2020,3,30,"35,160","2,068","3,410","2,130","4,084","5,747","1,739","3,316","1,656","1,563","1,239","2,024","3,588","2,596"
