년도,월,나이,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020,1,총,"406,312","23,326","31,436","28,392","23,549","15,935","18,539","32,817","16,905","24,149","10,375","35,702","13,755","9,464","16,622","15,120","25,115","38,460","26,651"
2020,1,0,"29,669","1,367","2,902","2,707","1,701","1,240","1,336","2,290","1,209","1,889",592,"2,775",541,333,"1,356",448,"1,072","4,322","1,589"
2020,1,10,"39,875","1,661","3,242","3,174","2,221","1,168","2,232","3,093","1,933","3,245",574,"4,461",809,615,"1,641",929,"1,713","4,980","2,184"
2020,1,20,"50,190","3,087","3,639","3,092","2,979","1,796","2,766","5,160","2,104","3,137","1,272","4,227","1,650","1,074","2,259","1,800","2,637","4,097","3,414"
2020,1,30,"48,617","3,070","4,027","3,351","2,834","2,312","2,225","4,640","1,848","2,468","1,390","3,758","1,658",911,"2,132","1,304","2,242","5,168","3,279"
2020,1,40,"67,497","3,574","5,422","4,927","4,084","2,694","3,406","5,290","2,679","4,389","1,403","6,511","1,890","1,268","2,652","1,976","3,472","7,774","4,086"
2020,1,50,"71,192","3,963","5,388","4,870","4,119","2,804","3,133","5,811","3,117","4,403","1,844","6,314","2,587","1,868","3,079","2,888","4,588","5,440","4,976"
2020,1,60,"55,304","3,562","3,765","3,619","3,057","2,370","1,733","3,533","2,063","2,478","1,844","4,472","2,469","1,828","2,245","2,806","4,968","4,064","4,428"
2020,1,70,"30,039","2,154","2,076","1,825","1,734","1,106","1,035","1,918","1,184","1,344",953,"2,182","1,535","1,107",927,"2,073","3,080","1,895","1,911"
2020,1,80,"12,180",752,836,717,725,385,590,984,681,706,439,878,544,404,286,772,"1,164",624,693
