년도,월,나이,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020,1,총,"532,662","23,118","27,493","31,355","38,263","40,297","28,582","23,228","25,749","27,958","21,169","36,512","39,951","20,965","26,177","25,274","34,494","23,781","21,785","16,511"
2020,1,0,"35,664","1,356","1,859","2,500","2,345","3,097","1,249","1,604","1,667","1,989","1,276","2,350","2,578","1,043","1,327","1,221","2,819","2,751","1,567","1,066"
2020,1,10,"56,546","1,828","2,298","2,280","2,906","4,731","3,593","3,001","4,638","5,976","2,490","3,487","3,545","2,035","2,124","2,223","3,282","2,272","2,342","1,495"
2020,1,20,"74,446","3,897","3,226","3,703","6,666","6,550","5,224","3,250","3,425","3,133","2,643","4,504","5,553","3,375","3,163","3,533","4,739","2,672","2,770","2,420"
2020,1,30,"67,174","2,932","3,384","4,919","5,717","5,385","2,815","2,623","1,975","2,015","2,110","4,465","5,119","2,456","2,781","2,799","5,100","5,066","2,942","2,571"
2020,1,40,"89,818","3,567","4,428","4,803","5,635","6,910","4,503","4,243","5,352","6,814","3,705","6,268","6,008","3,232","3,946","3,939","5,942","4,080","3,764","2,679"
2020,1,50,"88,884","3,686","4,561","4,912","5,973","6,167","5,069","4,034","4,681","4,549","3,662","5,753","7,199","4,011","4,752","4,667","5,696","2,994","3,630","2,888"
2020,1,60,"65,280","3,097","4,255","4,492","5,208","4,223","3,330","2,363","2,222","1,948","2,606","4,735","5,658","2,758","4,086","3,570","3,821","2,198","2,704","2,006"
2020,1,70,"36,683","1,946","2,383","2,565","2,651","2,195","1,777","1,355","1,113",990,"1,835","3,271","2,847","1,407","2,735","2,270","1,968","1,151","1,355",869
2020,1,80,"15,645",691,943,"1,032","1,002",888,896,663,579,481,728,"1,462","1,195",553,"1,102",890,955,519,616,450
2020,1,90,"2,265",106,144,136,146,137,119,88,84,51,102,203,201,82,134,136,168,74,92,62
2020,1,100,257,12,12,13,14,14,7,4,13,12,12,14,48,13,27,26,4,4,3,5
2020,2,총,"531,840","23,041","27,642","31,248","38,177","40,083","28,413","23,173","25,741","27,886","21,069","36,367","39,800","20,901","26,998","25,116","34,374","23,628","21,701","16,482"
2020,2,0,"35,587","1,340","1,845","2,457","2,316","3,093","1,255","1,608","1,702","2,072","1,253","2,320","2,546","1,054","1,451","1,211","2,779","2,691","1,547","1,047"
2020,2,10,"56,205","1,813","2,307","2,278","2,882","4,685","3,558","2,963","4,619","5,912","2,481","3,455","3,538","2,016","2,189","2,208","3,253","2,254","2,322","1,472"
2020,2,20,"73,959","3,873","3,243","3,680","6,658","6,483","5,097","3,242","3,397","3,043","2,636","4,471","5,514","3,350","3,223","3,501","4,720","2,664","2,756","2,408"
