년도,월,나이,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020,3,총,"331,238","25,916","30,117","14,543","27,593","25,564","21,989","28,369","22,000","19,682","17,021","19,657","29,524","20,818","28,445"
2020,3,0,"20,099","1,660","1,977",866,"1,872","1,635",946,"1,750","1,253","1,138",888,"1,308","1,663","1,065","2,078"
2020,3,10,"26,970","2,315","2,366","1,128","2,773","2,102","1,286","1,822","1,727","1,481","1,074","2,123","2,335","1,547","2,891"
2020,3,20,"44,719","3,436","4,223","1,899","3,854","3,706","2,732","3,485","3,115","2,624","2,582","2,655","4,037","2,807","3,564"
2020,3,30,"42,632","3,556","4,376","1,791","3,456","3,672","2,481","3,806","2,650","2,741","2,447","2,452","3,491","2,396","3,317"
2020,3,40,"50,385","4,325","4,706","2,232","4,581","3,703","3,071","3,952","3,358","2,886","2,520","3,120","4,421","3,087","4,423"
2020,3,50,"58,173","4,275","5,249","2,678","5,005","4,513","3,915","4,612","3,732","3,391","2,839","3,526","5,538","3,873","5,027"
2020,3,60,"48,082","3,404","3,983","2,038","3,337","3,552","3,828","4,845","3,209","2,939","2,401","2,671","4,435","3,265","4,175"
2020,3,70,"27,254","1,974","2,240","1,337","1,705","1,752","2,631","2,792","2,036","1,636","1,614","1,154","2,582","1,929","1,872"
2020,3,80,"11,147",851,903,501,865,791,968,"1,107",793,721,575,541,865,722,944
2020,3,90,"1,611",111,92,63,136,126,115,171,109,109,75,103,147,109,145
2020,3,100,166,9,2,10,9,12,16,27,18,16,6,4,10,18,9
2020,4,총,"330,707","25,843","30,095","14,530","27,553","25,517","21,896","28,351","22,027","19,673","17,007","19,607","29,467","20,779","28,362"
2020,4,0,"19,959","1,643","1,946",871,"1,874","1,617",933,"1,747","1,258","1,128",879,"1,304","1,639","1,049","2,071"
2020,4,10,"26,768","2,285","2,373","1,120","2,752","2,080","1,277","1,799","1,729","1,481","1,057","2,103","2,307","1,545","2,860"
2020,4,20,"44,681","3,451","4,218","1,901","3,853","3,722","2,718","3,488","3,127","2,616","2,567","2,646","4,035","2,798","3,541"
2020,4,30,"42,446","3,536","4,360","1,770","3,449","3,660","2,434","3,821","2,654","2,733","2,439","2,434","3,475","2,372","3,309"
2020,4,40,"50,084","4,290","4,706","2,212","4,552","3,675","3,053","3,913","3,352","2,887","2,517","3,109","4,382","3,056","4,380"
2020,4,50,"58,164","4,267","5,246","2,675","4,997","4,522","3,892","4,626","3,729","3,374","2,857","3,514","5,551","3,896","5,018"
2020,4,60,"48,276","3,423","3,995","2,059","3,346","3,559","3,842","4,847","3,218","2,957","2,408","2,685","4,462","3,278","4,197"
2020,4,70,"27,348","1,982","2,253","1,351","1,714","1,759","2,637","2,793","2,046","1,645","1,621","1,159","2,585","1,921","1,882"
2020,4,80,"11,195",849,904,499,868,786,980,"1,117",786,726,580,546,873,734,947
2020,4,90,"1,620",109,92,62,137,125,114,173,110,111,76,103,148,112,148
2020,4,100,166,8,2,10,11,12,16,27,18,15,6,4,10,18,9
2020,5,총,"330,149","25,779","30,013","14,534","27,509","25,496","21,847","28,276","22,016","19,654","16,969","19,579","29,481","20,682","28,314"
2020,5,0,"19,825","1,635","1,934",858,"1,863","1,612",921,"1,726","1,251","1,126",877,"1,302","1,635","1,031","2,054"
2020,5,10,"26,651","2,275","2,360","1,110","2,732","2,073","1,274","1,793","1,719","1,476","1,046","2,093","2,308","1,534","2,858"
2020,5,20,"44,508","3,422","4,191","1,899","3,843","3,733","2,708","3,474","3,133","2,604","2,573","2,626","4,025","2,767","3,510"
2020,5,30,"42,280","3,531","4,329","1,775","3,441","3,634","2,420","3,790","2,660","2,713","2,425","2,430","3,468","2,369","3,295"
2020,5,40,"49,892","4,262","4,683","2,211","4,534","3,672","3,043","3,901","3,335","2,884","2,489","3,104","4,374","3,031","4,369"
2020,5,50,"58,076","4,276","5,230","2,672","4,990","4,515","3,875","4,625","3,731","3,360","2,857","3,511","5,551","3,897","4,986"
2020,5,60,"48,444","3,420","4,012","2,067","3,365","3,559","3,837","4,837","3,232","2,990","2,418","2,696","4,496","3,271","4,244"
