년도,월,나이,마포구,아현동,공덕동,도화동,용강동,대흥동,염리동,신수동,서강동,서교동,합정동,망원제1동,망원제2동,연남동,성산제1동,성산제2동,상암동
2020,1,총,"373,951","24,899","39,850","22,323","21,930","11,567","12,406","23,447","25,121","24,138","18,664","21,479","19,210","15,772","19,735","41,272","32,138"
2020,1,0,"26,370","2,674","2,418","1,609","2,309",414,966,"1,775","1,998",960,"1,264","1,190","1,316",729,"1,077","2,839","2,832"
2020,1,10,"29,583","1,609","2,607","1,718","2,007",688,"1,145","2,002","1,798","1,321","1,043","1,442","1,695",859,"1,532","3,720","4,397"
2020,1,20,"60,761","3,122","6,701","3,089","2,377","2,849","1,840","3,543","4,662","5,267","3,623","3,555","2,798","3,082","3,177","6,746","4,330"
2020,1,30,"65,509","5,217","6,753","3,790","3,792","1,793","1,938","3,845","4,299","5,100","3,852","4,079","3,109","3,242","3,535","7,003","4,162"
2020,1,40,"62,471","3,991","5,986","3,379","4,392","1,676","2,241","4,050","4,168","3,763","2,678","3,429","3,354","2,422","3,475","6,956","6,511"
2020,1,50,"54,258","3,762","6,764","3,550","2,988","1,564","1,839","3,549","3,695","3,092","2,466","3,113","2,780","2,052","2,890","5,745","4,409"
2020,1,60,"38,184","2,517","4,439","2,633","2,075","1,251","1,133","2,379","2,361","2,202","1,920","2,363","2,148","1,675","2,097","4,107","2,884"
2020,1,70,"24,396","1,239","2,751","1,574","1,288",848,877,"1,528","1,384","1,566","1,218","1,620","1,417","1,117","1,365","2,886","1,718"
2020,1,80,"10,556",620,"1,233",811,615,391,371,658,645,724,504,609,514,494,511,"1,081",775
2020,1,90,"1,546",98,157,144,78,71,45,101,96,120,79,74,63,82,60,175,103
2020,1,100,317,50,41,26,9,22,11,17,15,23,17,5,16,18,16,14,17
2020,2,총,"374,315","24,902","39,798","22,286","21,946","12,269","12,370","23,458","25,126","24,103","18,623","21,441","19,171","15,743","19,755","41,203","32,121"
2020,2,0,"26,225","2,660","2,385","1,587","2,341",501,972,"1,752","1,991",937,"1,250","1,167","1,293",711,"1,071","2,796","2,811"
2020,2,10,"29,566","1,611","2,611","1,703","1,996",807,"1,145","2,006","1,819","1,311","1,032","1,434","1,669",865,"1,536","3,680","4,341"
2020,2,20,"60,842","3,106","6,706","3,107","2,362","2,939","1,812","3,525","4,651","5,253","3,606","3,551","2,801","3,068","3,188","6,791","4,376"
2020,2,30,"65,400","5,213","6,690","3,764","3,807","1,906","1,930","3,867","4,254","5,065","3,854","4,056","3,103","3,230","3,528","6,977","4,156"
2020,2,40,"62,640","4,006","5,985","3,389","4,391","1,828","2,238","4,068","4,192","3,783","2,692","3,428","3,345","2,423","3,484","6,913","6,475"
2020,2,50,"54,357","3,764","6,783","3,550","2,977","1,661","1,838","3,541","3,695","3,099","2,445","3,095","2,788","2,053","2,897","5,743","4,428"
2020,2,60,"38,360","2,537","4,453","2,633","2,075","1,285","1,142","2,383","2,371","2,213","1,907","2,394","2,136","1,674","2,104","4,137","2,916"
2020,2,70,"24,407","1,224","2,745","1,568","1,291",849,864,"1,534","1,391","1,565","1,228","1,622","1,435","1,119","1,364","2,887","1,721"
2020,2,80,"10,637",629,"1,239",816,620,401,372,666,650,733,512,614,516,501,508,"1,085",775
2020,2,90,"1,558",101,160,143,76,70,45,98,97,120,80,75,69,81,59,179,105
2020,2,100,323,51,41,26,10,22,12,18,15,24,17,5,16,18,16,15,17
2020,3,총,"374,570","24,833","39,703","22,259","21,881","13,243","12,310","23,405","25,098","24,112","18,601","21,340","19,141","15,748","19,792","41,135","31,969"
2020,3,0,"26,205","2,652","2,391","1,578","2,340",615,958,"1,730","1,988",923,"1,249","1,169","1,278",697,"1,071","2,777","2,789"
2020,3,10,"29,457","1,598","2,586","1,696","1,983",897,"1,147","2,009","1,809","1,303","1,025","1,394","1,661",865,"1,533","3,651","4,300"
2020,3,20,"61,165","3,123","6,727","3,120","2,351","3,049","1,798","3,536","4,662","5,336","3,616","3,557","2,820","3,115","3,207","6,802","4,346"
2020,3,30,"65,355","5,175","6,642","3,746","3,802","2,125","1,922","3,848","4,262","5,016","3,851","4,058","3,087","3,201","3,517","6,971","4,132"
2020,3,40,"62,380","3,992","5,947","3,357","4,372","1,984","2,218","4,024","4,166","3,759","2,688","3,370","3,303","2,412","3,486","6,878","6,424"
2020,3,50,"54,409","3,762","6,754","3,543","2,943","1,836","1,828","3,541","3,689","3,110","2,432","3,073","2,785","2,055","2,898","5,738","4,422"
2020,3,60,"38,555","2,532","4,462","2,654","2,088","1,338","1,158","2,390","2,361","2,226","1,904","2,402","2,159","1,687","2,125","4,144","2,925"
2020,3,70,"24,419","1,217","2,740","1,566","1,287",883,854,"1,542","1,397","1,556","1,224","1,617","1,444","1,115","1,364","2,884","1,729"
2020,3,80,"10,723",630,"1,246",829,627,419,370,670,653,734,516,618,518,503,514,"1,097",779
2020,3,90,"1,579",101,167,143,78,74,45,98,96,125,79,77,70,80,61,179,106
2020,3,100,323,51,41,27,10,23,12,17,15,24,17,5,16,18,16,14,17
