년도,월,나이,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020,1,총,"110,701","8,734","5,037","4,748","9,376","7,749","6,854","4,881","5,966","8,748","13,321","4,186","3,228","4,288","10,078","6,452","7,055"
2020,1,0,"7,307",548,237,116,369,716,511,396,431,480,"1,504",311,130,236,638,415,269
2020,1,10,"8,390",758,325,156,689,447,542,426,483,473,"1,527",278,154,237,610,799,486
2020,1,20,"15,865","1,344",853,463,"1,685","1,037",900,750,854,"1,278","1,474",497,519,694,"1,362",914,"1,241"
2020,1,30,"19,001","1,474",931,539,"1,671","1,802","1,081",929,"1,017","1,690","1,713",781,570,852,"2,023",744,"1,184"
2020,1,40,"17,858","1,387",750,784,"1,431","1,381","1,183",753,953,"1,285","2,305",618,453,655,"1,649","1,204","1,067"
2020,1,50,"18,103","1,407",706,"1,210","1,543","1,051","1,178",752,995,"1,489","2,131",650,532,578,"1,554","1,131","1,196"
2020,1,60,"13,094","1,019",651,904,"1,061",743,793,465,681,"1,127","1,348",594,461,499,"1,218",668,862
2020,1,70,"7,435",575,423,394,649,384,460,268,394,612,778,328,250,358,715,323,524
2020,1,80,"3,067",181,136,137,240,163,181,123,140,248,444,118,132,156,255,224,189
2020,1,90,482,36,20,28,28,21,21,17,13,52,90,9,21,20,47,28,31
2020,1,100,99,5,5,17,10,4,4,2,5,14,7,2,6,3,7,2,6
2020,2,총,"110,773","8,716","5,007","4,724","9,392","7,781","6,807","4,896","5,961","8,789","13,368","4,167","3,225","4,300","10,157","6,444","7,039"
2020,2,0,"7,294",545,231,114,363,717,507,400,425,476,"1,508",309,130,239,640,419,271
2020,2,10,"8,335",749,324,152,676,453,536,425,473,477,"1,537",276,154,236,611,786,470
2020,2,20,"15,856","1,333",835,457,"1,691","1,038",885,750,867,"1,273","1,482",497,509,683,"1,385",920,"1,251"
2020,2,30,"19,028","1,467",929,541,"1,683","1,803","1,082",931,"1,016","1,710","1,706",777,578,864,"2,020",737,"1,184"
2020,2,40,"17,849","1,392",745,767,"1,441","1,388","1,170",761,944,"1,291","2,323",612,449,659,"1,658","1,200","1,049"
2020,2,50,"18,135","1,404",710,"1,202","1,550","1,059","1,164",748,991,"1,508","2,129",647,534,575,"1,573","1,134","1,207"
2020,2,60,"13,165","1,024",648,914,"1,060",746,797,471,690,"1,122","1,372",590,462,503,"1,239",668,859
2020,2,70,"7,450",580,420,395,644,388,460,270,399,615,775,333,249,361,717,325,519
2020,2,80,"3,068",182,139,136,245,162,182,119,137,251,438,114,133,155,259,223,193
2020,2,90,491,35,19,29,29,23,20,19,14,52,91,10,21,22,47,30,30
2020,2,100,102,5,7,17,10,4,4,2,5,14,7,2,6,3,8,2,6
2020,3,총,"110,667","8,675","4,997","4,759","9,402","7,766","6,785","4,872","5,947","8,802","13,364","4,150","3,237","4,280","10,164","6,440","7,027"
2020,3,0,"7,269",537,231,117,359,715,495,397,422,485,"1,496",308,133,237,643,424,270
2020,3,10,"8,257",742,319,146,663,452,530,422,462,477,"1,528",271,150,238,608,789,460
2020,3,20,"15,859","1,326",828,463,"1,698","1,035",892,746,883,"1,277","1,481",496,519,673,"1,384",920,"1,238"
2020,3,30,"19,013","1,458",935,556,"1,698","1,792","1,080",917,"1,012","1,717","1,704",763,584,864,"2,010",729,"1,194"
2020,3,40,"17,790","1,381",747,766,"1,438","1,387","1,168",757,930,"1,274","2,307",615,448,649,"1,661","1,209","1,053"
2020,3,50,"18,148","1,410",701,"1,217","1,547","1,062","1,159",741,989,"1,520","2,146",650,531,578,"1,576","1,115","1,206"
2020,3,60,"13,208","1,027",652,913,"1,070",751,788,479,694,"1,118","1,384",591,465,500,"1,248",673,855
2020,3,70,"7,453",571,418,401,646,385,468,268,397,623,777,330,247,362,713,326,521
2020,3,80,"3,071",181,141,135,245,158,181,123,140,245,440,114,134,155,265,222,192
2020,3,90,495,37,18,28,28,25,20,20,13,52,94,10,20,21,48,30,31
2020,3,100,104,5,7,17,10,4,4,2,5,14,7,2,6,3,8,3,7
2020,4,총,"110,604","8,672","4,975","4,773","9,386","7,760","6,767","4,886","5,932","8,808","13,351","4,152","3,239","4,262","10,160","6,426","7,055"
2020,4,0,"7,248",541,228,111,363,703,489,406,416,493,"1,499",306,130,230,647,418,268
2020,4,10,"8,188",740,312,140,653,453,527,414,457,473,"1,510",272,152,241,595,790,459
2020,4,20,"15,900","1,323",830,463,"1,710","1,034",887,752,885,"1,280","1,485",495,523,668,"1,395",916,"1,254"
2020,4,30,"18,990","1,465",931,552,"1,682","1,791","1,085",916,"1,012","1,724","1,703",768,585,853,"1,996",731,"1,196"
2020,4,40,"17,734","1,365",743,769,"1,434","1,387","1,160",760,929,"1,261","2,285",612,443,659,"1,664","1,206","1,057"
2020,4,50,"18,154","1,420",692,"1,236","1,547","1,066","1,152",739,984,"1,512","2,160",650,529,575,"1,570","1,109","1,213"
2020,4,60,"13,260","1,026",650,920,"1,071",759,795,486,690,"1,129","1,391",590,469,498,"1,252",677,857
2020,4,70,"7,446",571,423,402,641,384,464,266,398,625,775,334,247,356,715,325,520
2020,4,80,"3,082",180,141,135,247,153,183,125,143,244,442,113,135,158,269,221,193
2020,4,90,497,36,18,28,28,26,21,20,13,53,93,10,20,21,49,30,31
2020,4,100,105,5,7,17,10,4,4,2,5,14,8,2,6,3,8,3,7
2020,5,총,"110,537","8,658","4,956","4,762","9,333","7,761","6,751","4,886","5,922","8,832","13,351","4,153","3,249","4,272","10,165","6,423","7,063"
2020,5,0,"7,231",537,224,114,359,708,487,410,416,490,"1,497",306,130,229,644,415,265
2020,5,10,"8,142",732,309,143,653,449,522,416,453,481,"1,504",272,153,241,586,776,452
2020,5,20,"15,861","1,323",825,452,"1,684","1,031",886,743,880,"1,272","1,494",490,524,681,"1,396",922,"1,258"
2020,5,30,"19,003","1,468",928,550,"1,677","1,797","1,068",915,"1,018","1,726","1,703",773,595,849,"2,009",728,"1,199"
2020,5,40,"17,691","1,346",742,761,"1,426","1,382","1,163",759,920,"1,271","2,278",612,446,661,"1,658","1,208","1,058"
2020,5,50,"18,183","1,431",684,"1,235","1,541","1,072","1,155",743,982,"1,521","2,160",646,525,578,"1,581","1,109","1,220"
2020,5,60,"13,266","1,025",652,923,"1,066",760,794,482,692,"1,128","1,397",590,471,492,"1,248",685,861
2020,5,70,"7,458",570,423,400,643,382,469,271,401,628,768,337,243,359,720,326,518
2020,5,80,"3,104",184,143,138,248,151,182,125,143,250,449,115,136,158,268,220,194
2020,5,90,493,37,19,29,26,25,21,20,12,51,93,10,20,21,47,31,31
2020,5,100,105,5,7,17,10,4,4,2,5,14,8,2,6,3,8,3,7
2020,6,총,"110,527","8,666","4,932","4,752","9,320","7,787","6,760","4,874","5,910","8,839","13,318","4,146","3,273","4,292","10,190","6,409","7,059"
2020,6,0,"7,195",544,218,111,352,713,481,410,410,485,"1,488",300,128,235,654,408,258
2020,6,10,"8,114",723,303,143,649,445,525,406,455,481,"1,490",269,157,243,590,779,456
2020,6,20,"15,902","1,332",822,463,"1,681","1,042",901,741,872,"1,278","1,490",495,529,693,"1,395",908,"1,260"
2020,6,30,"18,996","1,464",926,554,"1,688","1,792","1,067",920,"1,018","1,745","1,694",767,605,840,"2,004",728,"1,184"
2020,6,40,"17,651","1,349",734,753,"1,413","1,385","1,155",746,924,"1,262","2,274",607,442,664,"1,675","1,206","1,062"
2020,6,50,"18,184","1,425",680,"1,211","1,532","1,084","1,159",749,981,"1,519","2,168",653,532,582,"1,573","1,109","1,227"
2020,6,60,"13,317","1,028",657,924,"1,073",766,796,483,690,"1,132","1,399",593,473,494,"1,261",690,858
2020,6,70,"7,459",574,419,412,647,381,471,271,399,625,764,334,243,358,714,327,520
2020,6,80,"3,105",186,145,137,249,150,180,125,145,244,449,116,136,157,268,222,196
