년도,월,나이,세종특별자치시,세종특별자치시
2020,1,총,"170,729","170,729"
2020,1,0,"24,214","24,214"
2020,1,10,"20,258","20,258"
2020,1,20,"18,418","18,418"
2020,1,30,"29,982","29,982"
2020,1,40,"33,502","33,502"
2020,1,50,"22,062","22,062"
2020,1,60,"13,626","13,626"
2020,1,70,"6,151","6,151"
2020,1,80,"2,264","2,264"
2020,1,90,242,242
2020,1,100,10,10
2020,2,총,"171,403","171,403"
2020,2,0,"24,284","24,284"
2020,2,10,"20,355","20,355"
2020,2,20,"18,347","18,347"
2020,2,30,"29,923","29,923"
2020,2,40,"33,778","33,778"
2020,2,50,"22,191","22,191"
2020,2,60,"13,798","13,798"
2020,2,70,"6,184","6,184"
2020,2,80,"2,287","2,287"
2020,2,90,246,246
2020,2,100,10,10
2020,3,총,"171,951","171,951"
2020,3,0,"24,286","24,286"
2020,3,10,"20,459","20,459"
2020,3,20,"18,401","18,401"
2020,3,30,"29,894","29,894"
2020,3,40,"33,901","33,901"
2020,3,50,"22,328","22,328"
2020,3,60,"13,894","13,894"
2020,3,70,"6,216","6,216"
2020,3,80,"2,312","2,312"
2020,3,90,250,250
2020,3,100,10,10
2020,4,총,"172,176","172,176"
2020,4,0,"24,291","24,291"
2020,4,10,"20,538","20,538"
2020,4,20,"18,359","18,359"
2020,4,30,"29,831","29,831"
2020,4,40,"33,941","33,941"
2020,4,50,"22,421","22,421"
2020,4,60,"13,984","13,984"
2020,4,70,"6,226","6,226"
2020,4,80,"2,316","2,316"
2020,4,90,259,259
2020,4,100,10,10
2020,5,총,"172,269","172,269"
2020,5,0,"24,226","24,226"
2020,5,10,"20,581","20,581"
2020,5,20,"18,322","18,322"
2020,5,30,"29,740","29,740"
2020,5,40,"33,977","33,977"
2020,5,50,"22,525","22,525"
2020,5,60,"14,032","14,032"
2020,5,70,"6,284","6,284"
2020,5,80,"2,313","2,313"
2020,5,90,259,259
2020,5,100,10,10
2020,6,총,"172,234","172,234"
2020,6,0,"24,163","24,163"
2020,6,10,"20,599","20,599"
2020,6,20,"18,280","18,280"
2020,6,30,"29,634","29,634"
2020,6,40,"34,015","34,015"
2020,6,50,"22,519","22,519"
2020,6,60,"14,101","14,101"
2020,6,70,"6,331","6,331"
2020,6,80,"2,321","2,321"
2020,6,90,261,261
2020,6,100,10,10
2020,7,총,"172,660","172,660"
2020,7,0,"24,134","24,134"
2020,7,10,"20,667","20,667"
2020,7,20,"18,310","18,310"
2020,7,30,"29,610","29,610"
2020,7,40,"34,129","34,129"
2020,7,50,"22,639","22,639"
2020,7,60,"14,186","14,186"
2020,7,70,"6,388","6,388"
2020,7,80,"2,331","2,331"
2020,7,90,255,255
2020,7,100,11,11
2020,8,총,"173,183","173,183"
2020,8,0,"24,076","24,076"
2020,8,10,"20,777","20,777"
2020,8,20,"18,362","18,362"
2020,8,30,"29,633","29,633"
2020,8,40,"34,237","34,237"
2020,8,50,"22,783","22,783"
2020,8,60,"14,293","14,293"
2020,8,70,"6,418","6,418"
2020,8,80,"2,341","2,341"
2020,8,90,252,252
2020,8,100,11,11
2020,9,총,"173,613","173,613"
2020,9,0,"23,974","23,974"
2020,9,10,"20,837","20,837"
2020,9,20,"18,445","18,445"
2020,9,30,"29,591","29,591"
2020,9,40,"34,313","34,313"
2020,9,50,"22,943","22,943"
2020,9,60,"14,424","14,424"
2020,9,70,"6,458","6,458"
2020,9,80,"2,360","2,360"
2020,9,90,256,256
2020,9,100,12,12
2020,10,총,"175,135","175,135"
2020,10,0,"24,095","24,095"
2020,10,10,"21,040","21,040"
2020,10,20,"18,658","18,658"
2020,10,30,"29,744","29,744"
2020,10,40,"34,640","34,640"
2020,10,50,"23,211","23,211"
2020,10,60,"14,571","14,571"
2020,10,70,"6,513","6,513"
2020,10,80,"2,395","2,395"
2020,10,90,257,257
2020,10,100,11,11
2020,11,총,"176,336","176,336"
2020,11,0,"24,193","24,193"
2020,11,10,"21,207","21,207"
2020,11,20,"18,805","18,805"
2020,11,30,"29,868","29,868"
2020,11,40,"34,925","34,925"
2020,11,50,"23,384","23,384"
2020,11,60,"14,738","14,738"
2020,11,70,"6,548","6,548"
2020,11,80,"2,398","2,398"
2020,11,90,259,259
2020,11,100,11,11
2020,12,총,"177,568","177,568"
2020,12,0,"24,188","24,188"
2020,12,10,"21,419","21,419"
2020,12,20,"19,050","19,050"
2020,12,30,"30,004","30,004"
2020,12,40,"35,188","35,188"
2020,12,50,"23,494","23,494"
2020,12,60,"14,935","14,935"
2020,12,70,"6,602","6,602"
2020,12,80,"2,415","2,415"
2020,12,90,263,263
2020,12,100,10,10
2021,1,총,"178,656","178,656"
2021,1,0,"24,186","24,186"
2021,1,10,"21,631","21,631"
2021,1,20,"19,200","19,200"
2021,1,30,"30,043","30,043"
2021,1,40,"35,393","35,393"
2021,1,50,"23,693","23,693"
2021,1,60,"15,140","15,140"
2021,1,70,"6,659","6,659"
2021,1,80,"2,436","2,436"
2021,1,90,265,265
2021,1,100,10,10
2021,2,총,"179,528","179,528"
2021,2,0,"24,220","24,220"
2021,2,10,"21,778","21,778"
2021,2,20,"19,239","19,239"
2021,2,30,"30,063","30,063"
2021,2,40,"35,638","35,638"
2021,2,50,"23,872","23,872"
2021,2,60,"15,313","15,313"
2021,2,70,"6,675","6,675"
2021,2,80,"2,452","2,452"
2021,2,90,267,267
2021,2,100,11,11
2021,3,총,"180,030","180,030"
2021,3,0,"24,191","24,191"
2021,3,10,"21,879","21,879"
2021,3,20,"19,340","19,340"
2021,3,30,"30,060","30,060"
2021,3,40,"35,685","35,685"
2021,3,50,"23,984","23,984"
2021,3,60,"15,478","15,478"
2021,3,70,"6,688","6,688"
2021,3,80,"2,455","2,455"
2021,3,90,263,263
2021,3,100,7,7
2021,4,총,"180,462","180,462"
2021,4,0,"24,138","24,138"
2021,4,10,"21,991","21,991"
2021,4,20,"19,408","19,408"
2021,4,30,"30,026","30,026"
2021,4,40,"35,767","35,767"
2021,4,50,"24,073","24,073"
2021,4,60,"15,637","15,637"
2021,4,70,"6,681","6,681"
2021,4,80,"2,469","2,469"
2021,4,90,265,265
2021,4,100,7,7
2021,5,총,"180,778","180,778"
2021,5,0,"24,055","24,055"
2021,5,10,"22,029","22,029"
2021,5,20,"19,507","19,507"
2021,5,30,"29,930","29,930"
2021,5,40,"35,768","35,768"
2021,5,50,"24,260","24,260"
2021,5,60,"15,768","15,768"
2021,5,70,"6,693","6,693"
2021,5,80,"2,498","2,498"
2021,5,90,262,262
2021,5,100,8,8
2021,6,총,"181,328","181,328"
2021,6,0,"24,022","24,022"
2021,6,10,"22,149","22,149"
2021,6,20,"19,567","19,567"
2021,6,30,"29,883","29,883"
2021,6,40,"35,923","35,923"
2021,6,50,"24,343","24,343"
2021,6,60,"15,943","15,943"
2021,6,70,"6,724","6,724"
2021,6,80,"2,502","2,502"
2021,6,90,263,263
2021,6,100,9,9
2021,7,총,"181,996","181,996"
2021,7,0,"24,014","24,014"
2021,7,10,"22,305","22,305"
2021,7,20,"19,589","19,589"
2021,7,30,"29,851","29,851"
2021,7,40,"36,069","36,069"
2021,7,50,"24,520","24,520"
2021,7,60,"16,110","16,110"
2021,7,70,"6,754","6,754"
2021,7,80,"2,513","2,513"
2021,7,90,263,263
2021,7,100,8,8
2021,8,총,"182,430","182,430"
2021,8,0,"23,976","23,976"
2021,8,10,"22,424","22,424"
2021,8,20,"19,546","19,546"
2021,8,30,"29,844","29,844"
2021,8,40,"36,179","36,179"
2021,8,50,"24,647","24,647"
2021,8,60,"16,242","16,242"
2021,8,70,"6,769","6,769"
2021,8,80,"2,538","2,538"
2021,8,90,257,257
2021,8,100,8,8
2021,9,총,"183,044","183,044"
2021,9,0,"23,953","23,953"
2021,9,10,"22,595","22,595"
2021,9,20,"19,501","19,501"
2021,9,30,"29,846","29,846"
2021,9,40,"36,286","36,286"
2021,9,50,"24,873","24,873"
2021,9,60,"16,368","16,368"
2021,9,70,"6,807","6,807"
2021,9,80,"2,544","2,544"
2021,9,90,262,262
2021,9,100,9,9
2021,10,총,"183,879","183,879"
2021,10,0,"23,955","23,955"
2021,10,10,"22,766","22,766"
2021,10,20,"19,567","19,567"
2021,10,30,"29,844","29,844"
2021,10,40,"36,446","36,446"
2021,10,50,"25,178","25,178"
2021,10,60,"16,447","16,447"
2021,10,70,"6,845","6,845"
2021,10,80,"2,556","2,556"
2021,10,90,266,266
2021,10,100,9,9
2021,11,총,"184,441","184,441"
2021,11,0,"23,896","23,896"
2021,11,10,"22,924","22,924"
2021,11,20,"19,613","19,613"
2021,11,30,"29,878","29,878"
2021,11,40,"36,531","36,531"
2021,11,50,"25,363","25,363"
2021,11,60,"16,533","16,533"
2021,11,70,"6,852","6,852"
2021,11,80,"2,581","2,581"
2021,11,90,262,262
2021,11,100,8,8
2021,12,총,"185,678","185,678"
2021,12,0,"23,984","23,984"
2021,12,10,"23,081","23,081"
2021,12,20,"19,728","19,728"
2021,12,30,"30,131","30,131"
2021,12,40,"36,831","36,831"
2021,12,50,"25,581","25,581"
2021,12,60,"16,596","16,596"
2021,12,70,"6,870","6,870"
2021,12,80,"2,606","2,606"
2021,12,90,263,263
2021,12,100,7,7
