년도,월,나이,연수구,옥련1동,옥련2동,선학동,연수1동,연수2동,연수3동,청학동,동춘1동,동춘2동,동춘3동,송도1동,송도2동,송도3동,송도4동,송도5동
2020,1,총,"182,794","10,114","10,670","9,239","11,384","10,866","8,250","13,393","12,877","9,430","9,394","18,050","18,013","23,770","17,344",
2020,1,0,"18,544",800,847,515,609,803,595,748,"1,210",814,840,"1,686","2,484","3,752","2,841",
2020,1,10,"21,348","1,076","1,217",600,941,953,732,998,"1,422","1,088","1,506","2,821","3,248","2,956","1,790",
2020,1,20,"26,430","1,564","1,677","1,534","1,893","1,872","1,179","2,056","1,949","1,472","1,388","3,006","1,920","2,911","2,009",
2020,1,30,"26,893","1,241","1,315","1,393","1,691","1,743","1,273","1,851","2,023","1,359",843,"1,935","1,944","4,580","3,702",
2020,1,40,"31,986","1,632","1,695","1,333","1,975","1,557","1,165","2,084","2,054","1,485","1,621","3,110","3,998","4,834","3,443",
2020,1,50,"30,891","1,916","2,014","1,711","2,242","1,950","1,491","2,773","2,288","1,731","1,695","3,125","2,881","2,902","2,172",
2020,1,60,"17,544","1,115","1,156","1,403","1,316","1,317","1,143","1,830","1,340",999,960,"1,636","1,055","1,264","1,010",
2020,1,70,"6,683",558,545,549,548,463,459,755,418,343,396,553,356,443,297,
2020,1,80,"2,192",191,180,182,153,183,189,265,148,125,125,155,113,109,74,
2020,1,90,268,21,22,19,16,24,21,28,22,13,20,23,14,19,6,
2020,1,100,15,0,2,0,0,1,3,5,3,1,0,0,0,0,0,
2020,2,총,"183,851","10,090","10,641","9,225","11,336","10,826","8,207","13,353","12,879","9,446","9,374","18,102","18,039","23,780","18,553",
2020,2,0,"18,802",794,834,521,596,795,586,733,"1,205",807,845,"1,692","2,522","3,734","3,138",
2020,2,10,"21,415","1,070","1,205",599,941,956,731,994,"1,422","1,079","1,499","2,813","3,238","2,956","1,912",
2020,2,20,"26,308","1,551","1,671","1,506","1,880","1,850","1,154","2,035","1,936","1,481","1,359","3,001","1,884","2,909","2,091",
2020,2,30,"27,083","1,250","1,308","1,383","1,669","1,738","1,267","1,842","2,022","1,360",838,"1,968","1,931","4,565","3,942",
2020,2,40,"32,296","1,613","1,700","1,343","1,980","1,558","1,151","2,070","2,065","1,479","1,626","3,103","4,031","4,856","3,721",
2020,2,50,"30,946","1,916","2,001","1,707","2,231","1,930","1,484","2,770","2,280","1,737","1,694","3,124","2,876","2,893","2,303",
2020,2,60,"17,791","1,121","1,173","1,411","1,323","1,325","1,162","1,851","1,357","1,019",968,"1,657","1,071","1,289","1,064",
2020,2,70,"6,709",554,541,554,548,466,461,758,420,344,399,562,356,445,301,
2020,2,80,"2,213",199,183,180,152,184,188,266,147,126,126,158,115,114,75,
2020,2,90,273,22,23,21,16,23,20,29,22,13,20,24,15,19,6,
2020,2,100,15,0,2,0,0,1,3,5,3,1,0,0,0,0,0,
2020,3,총,"184,450","10,049","10,582","9,234","11,315","10,796","8,196","13,300","12,874","9,408","9,332","18,089","18,000","23,759","19,516",
2020,3,0,"18,845",785,821,510,586,782,587,727,"1,210",791,842,"1,685","2,506","3,710","3,303",
2020,3,10,"21,364","1,061","1,189",595,932,950,724,977,"1,403","1,081","1,495","2,781","3,236","2,936","2,004",
2020,3,20,"26,374","1,537","1,668","1,509","1,882","1,849","1,153","2,033","1,941","1,466","1,349","2,985","1,874","2,937","2,191",
2020,3,30,"27,218","1,248","1,293","1,387","1,656","1,725","1,262","1,826","2,006","1,352",835,"1,993","1,926","4,544","4,165",
2020,3,40,"32,370","1,612","1,694","1,336","1,981","1,551","1,146","2,065","2,065","1,468","1,611","3,099","4,024","4,834","3,884",
2020,3,50,"30,990","1,893","1,991","1,701","2,231","1,930","1,478","2,754","2,270","1,725","1,699","3,115","2,873","2,909","2,421",
2020,3,60,"17,983","1,131","1,175","1,433","1,331","1,336","1,160","1,847","1,375","1,034",962,"1,669","1,084","1,306","1,140",
2020,3,70,"6,788",559,543,561,550,472,472,763,433,350,394,576,343,449,323,
2020,3,80,"2,222",199,183,180,149,177,191,274,144,126,125,161,119,116,78,
2020,3,90,280,24,23,22,17,23,20,28,24,14,20,25,15,18,7,
2020,3,100,16,0,2,0,0,1,3,6,3,1,0,0,0,0,0,
2020,4,총,"184,733","10,061","10,550","9,203","11,269","10,778","8,191","13,285","12,892","9,391","9,334","18,046","18,014","23,772","19,947",
2020,4,0,"18,837",781,809,514,571,775,583,728,"1,203",789,848,"1,668","2,503","3,700","3,365",
2020,4,10,"21,349","1,053","1,192",585,930,946,720,968,"1,403","1,074","1,490","2,768","3,242","2,944","2,034",
2020,4,20,"26,386","1,552","1,658","1,495","1,868","1,846","1,162","2,033","1,942","1,462","1,339","2,977","1,878","2,931","2,243",
2020,4,30,"27,203","1,244","1,281","1,378","1,624","1,720","1,256","1,823","2,007","1,349",846,"1,980","1,913","4,517","4,265",
2020,4,40,"32,377","1,612","1,690","1,329","1,970","1,549","1,130","2,048","2,070","1,456","1,601","3,093","4,030","4,848","3,951",
2020,4,50,"31,070","1,888","1,987","1,707","2,232","1,924","1,467","2,763","2,270","1,720","1,705","3,117","2,876","2,928","2,486",
2020,4,60,"18,142","1,143","1,183","1,431","1,350","1,336","1,178","1,845","1,387","1,044",963,"1,681","1,095","1,321","1,185",
2020,4,70,"6,839",564,543,563,554,478,477,770,439,356,395,577,341,449,333,
2020,4,80,"2,231",199,183,180,153,179,193,273,144,126,126,160,121,116,78,
