년도,월,나이,광양시,광양읍,봉강면,옥룡면,옥곡면,진상면,진월면,다압면,골약동,중마동,광영동,금호동,태인동
2020,1,총,"73,625","24,367","1,063","1,594","1,448","1,479","1,468",905,808,"27,936","5,896","5,803",858
2020,1,0,"6,975","2,301",27,54,37,43,40,31,22,"3,425",492,473,30
2020,1,10,"8,107","2,599",67,67,61,67,47,38,33,"3,660",627,785,56
2020,1,20,"8,846","2,995",85,123,107,79,105,53,58,"3,676",711,778,76
2020,1,30,"8,962","3,053",55,86,90,88,69,48,52,"4,206",589,580,46
2020,1,40,"12,156","3,868",86,134,126,88,106,62,63,"5,605",968,973,77
2020,1,50,"13,046","4,063",200,289,275,261,228,173,122,"4,626","1,321","1,302",186
2020,1,60,"7,387","2,642",177,282,267,284,293,183,148,"1,595",685,686,145
2020,1,70,"4,465","1,589",181,281,258,289,308,178,154,702,279,128,118
2020,1,80,"3,112","1,043",154,237,196,239,217,118,138,382,194,81,113
2020,1,90,552,206,30,41,30,40,53,19,17,58,30,17,11
2020,1,100,17,8,1,0,1,1,2,2,1,1,0,0,0
2020,2,총,"73,091","24,178","1,054","1,589","1,424","1,470","1,453",889,793,"27,810","5,856","5,722",853
2020,2,0,"6,937","2,288",29,53,36,43,41,31,21,"3,420",481,465,29
2020,2,10,"7,949","2,555",65,64,59,63,44,36,32,"3,622",615,739,55
2020,2,20,"8,659","2,921",82,116,103,79,95,49,58,"3,617",697,765,77
2020,2,30,"8,917","3,039",55,88,86,84,69,48,53,"4,192",581,580,42
2020,2,40,"12,063","3,856",86,130,124,90,102,59,60,"5,565",962,954,75
2020,2,50,"12,981","4,024",195,293,264,251,223,159,114,"4,650","1,313","1,308",187
2020,2,60,"7,416","2,650",176,280,267,287,297,188,141,"1,599",696,688,147
2020,2,70,"4,450","1,581",181,284,256,289,306,179,156,696,284,125,113
2020,2,80,"3,137","1,047",153,241,196,240,221,119,139,387,196,83,115
2020,2,90,565,209,31,40,32,43,53,19,18,61,31,15,13
2020,2,100,17,8,1,0,1,1,2,2,1,1,0,0,0
2020,3,총,"72,538","23,943","1,038","1,568","1,405","1,455","1,430",886,785,"27,663","5,830","5,689",846
2020,3,0,"6,871","2,285",26,52,34,43,37,31,21,"3,378",474,463,27
2020,3,10,"7,858","2,512",61,68,59,59,43,37,32,"3,607",608,717,55
2020,3,20,"8,501","2,844",79,103,98,75,90,48,55,"3,567",699,766,77
2020,3,30,"8,828","2,999",53,84,83,82,66,45,50,"4,177",575,572,42
2020,3,40,"11,912","3,809",84,131,117,88,102,59,59,"5,513",943,934,73
2020,3,50,"12,949","4,009",196,289,262,248,215,158,114,"4,654","1,316","1,307",181
2020,3,60,"7,441","2,650",173,280,262,283,296,186,140,"1,616",704,702,149
2020,3,70,"4,433","1,575",178,281,258,290,303,180,155,694,278,127,114
2020,3,80,"3,154","1,049",157,237,197,242,218,121,140,395,199,85,114
2020,3,90,575,203,31,43,34,44,58,19,18,61,34,16,14
2020,3,100,16,8,0,0,1,1,2,2,1,1,0,0,0
2020,4,총,"72,720","24,013","1,048","1,579","1,407","1,450","1,431",888,770,"27,762","5,846","5,692",834
2020,4,0,"6,870","2,290",27,51,33,43,37,30,22,"3,389",474,448,26
2020,4,10,"7,842","2,510",61,71,60,55,42,39,30,"3,598",606,714,56
2020,4,20,"8,537","2,838",79,106,99,74,88,46,51,"3,611",696,776,73
2020,4,30,"8,847","3,029",56,82,79,81,68,43,49,"4,172",582,564,42
2020,4,40,"11,929","3,826",89,135,119,86,104,60,56,"5,515",944,925,70
2020,4,50,"12,986","4,018",187,288,261,250,212,157,113,"4,682","1,318","1,322",178
2020,4,60,"7,505","2,657",180,283,265,284,296,188,139,"1,637",715,713,148
2020,4,70,"4,434","1,582",182,281,255,286,302,178,152,697,277,127,115
2020,4,80,"3,166","1,048",157,238,200,244,222,126,136,397,199,87,112
2020,4,90,587,206,30,44,35,46,58,19,21,63,35,16,14
2020,4,100,17,9,0,0,1,1,2,2,1,1,0,0,0
2020,5,총,"73,134","24,202","1,055","1,589","1,411","1,459","1,447",899,768,"27,883","5,890","5,699",832
2020,5,0,"6,875","2,299",27,50,33,42,39,29,22,"3,374",481,453,26
2020,5,10,"7,821","2,505",62,72,62,54,40,39,28,"3,598",605,699,57
2020,5,20,"8,566","2,852",78,105,97,76,88,48,48,"3,640",692,772,70
2020,5,30,"9,005","3,094",57,86,79,80,76,45,51,"4,218",595,581,43
2020,5,40,"11,980","3,862",90,137,123,97,109,60,57,"5,498",957,919,71
2020,5,50,"13,063","4,041",186,288,261,244,215,161,112,"4,736","1,321","1,324",174
