년도,월,나이,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020,1,총,"22,777","7,065","1,430","1,617",645,"1,828",930,"1,237","1,354",969,"1,257","2,226","2,219"
2020,1,0,"1,195",547,69,59,24,69,25,44,46,33,63,108,108
2020,1,10,"1,468",599,55,98,26,102,49,51,68,44,66,144,166
2020,1,20,"2,079",747,130,127,49,151,85,96,106,93,105,196,194
2020,1,30,"1,791",733,101,119,40,115,59,74,90,73,94,139,154
2020,1,40,"2,274",863,125,141,51,160,82,97,89,74,101,258,233
2020,1,50,"3,661","1,042",237,290,110,331,177,197,214,162,200,349,352
2020,1,60,"3,793","1,011",277,283,118,326,151,225,269,191,236,378,328
2020,1,70,"3,545",873,235,294,121,310,164,227,241,175,215,328,362
2020,1,80,"2,498",535,171,168,88,231,111,191,187,105,154,280,277
2020,1,90,446,106,29,35,18,28,26,33,43,17,22,44,45
2020,1,100,27,9,1,3,0,5,1,2,1,2,1,2,0
2020,2,총,"22,748","7,056","1,437","1,612",648,"1,814",926,"1,237","1,353",970,"1,258","2,231","2,206"
2020,2,0,"1,200",550,70,60,24,67,26,49,45,34,65,105,105
2020,2,10,"1,467",598,54,96,30,104,48,48,70,43,65,145,166
2020,2,20,"2,042",735,124,127,48,150,84,93,102,92,103,197,187
2020,2,30,"1,779",717,107,117,40,111,58,76,91,73,97,138,154
2020,2,40,"2,264",866,127,136,50,154,79,97,89,72,102,258,234
2020,2,50,"3,669","1,050",238,293,111,331,175,195,216,164,197,351,348
2020,2,60,"3,812","1,012",284,284,117,323,154,226,272,192,241,378,329
2020,2,70,"3,532",875,236,291,121,308,162,226,236,176,214,331,356
2020,2,80,"2,502",539,166,170,88,233,113,192,186,105,150,278,282
2020,2,90,454,105,30,35,19,28,26,33,45,17,23,48,45
2020,2,100,27,9,1,3,0,5,1,2,1,2,1,2,0
2020,3,총,"22,703","7,039","1,441","1,612",650,"1,800",934,"1,235","1,333",964,"1,256","2,235","2,204"
2020,3,0,"1,176",544,70,60,23,66,27,47,38,33,64,100,104
2020,3,10,"1,466",595,53,95,31,104,48,49,66,44,66,144,171
2020,3,20,"2,021",731,122,129,49,144,85,90,102,91,100,198,180
2020,3,30,"1,788",722,109,117,41,109,60,75,89,72,98,145,151
2020,3,40,"2,243",848,127,139,50,154,79,96,88,69,100,256,237
2020,3,50,"3,653","1,052",239,293,111,321,175,195,210,162,199,349,347
2020,3,60,"3,820","1,014",282,286,117,322,157,227,275,191,241,379,329
2020,3,70,"3,515",875,240,283,121,310,160,227,234,175,210,329,351
2020,3,80,"2,537",541,168,173,87,237,116,194,185,108,153,284,291
2020,3,90,455,108,30,34,19,28,26,33,44,17,24,49,43
2020,3,100,29,9,1,3,1,5,1,2,2,2,1,2,0
2020,4,총,"22,621","7,040","1,432","1,602",638,"1,792",937,"1,222","1,322",960,"1,244","2,229","2,203"
2020,4,0,"1,165",547,66,61,21,65,27,43,38,32,64,100,101
2020,4,10,"1,452",591,54,91,30,99,50,51,64,44,63,144,171
2020,4,20,"1,993",729,120,127,46,144,83,88,101,88,99,186,182
2020,4,30,"1,759",717,106,112,40,108,60,69,86,72,95,145,149
2020,4,40,"2,231",851,121,137,50,155,77,96,87,68,97,259,233
2020,4,50,"3,647","1,047",241,293,107,316,178,193,208,162,198,356,348
2020,4,60,"3,838","1,020",283,288,118,324,158,230,273,192,241,380,331
2020,4,70,"3,499",871,242,280,118,310,158,228,235,175,204,325,353
2020,4,80,"2,549",548,167,176,88,237,119,188,186,108,157,284,291
2020,4,90,457,109,31,34,19,29,26,34,41,17,25,48,44
2020,4,100,31,10,1,3,1,5,1,2,3,2,1,2,0
2020,5,총,"22,614","7,030","1,428","1,599",631,"1,791",938,"1,230","1,312",964,"1,239","2,242","2,210"
2020,5,0,"1,174",547,69,63,21,65,27,43,39,33,63,103,101
2020,5,10,"1,449",589,54,89,28,98,49,50,64,44,64,143,177
2020,5,20,"1,966",718,116,126,46,141,81,91,97,86,96,189,179
2020,5,30,"1,748",717,107,112,38,108,59,69,85,72,95,143,143
2020,5,40,"2,221",853,120,137,49,151,77,95,83,68,94,260,234
2020,5,50,"3,662","1,040",241,290,105,321,181,197,206,166,203,359,353
2020,5,60,"3,837","1,024",277,286,119,323,159,229,271,192,239,385,333
2020,5,70,"3,511",872,249,282,116,311,159,226,239,177,204,322,354
2020,5,80,"2,555",551,164,176,89,237,119,193,185,107,157,287,290
2020,5,90,462,111,30,35,19,31,26,35,40,17,23,49,46
2020,5,100,29,8,1,3,1,5,1,2,3,2,1,2,0
2020,6,총,"22,614","7,025","1,415","1,597",627,"1,789",938,"1,235","1,316",963,"1,240","2,246","2,223"
2020,6,0,"1,169",545,70,63,21,66,28,41,39,33,60,104,99
2020,6,10,"1,454",584,54,88,24,99,48,50,62,45,65,144,191
2020,6,20,"1,945",722,111,123,46,137,79,88,95,85,94,189,176
2020,6,30,"1,736",706,108,108,36,110,58,72,84,73,94,142,145
2020,6,40,"2,216",852,115,137,49,150,78,95,85,68,94,259,234
2020,6,50,"3,639","1,039",232,291,103,317,182,195,204,167,203,358,348
2020,6,60,"3,869","1,031",277,287,123,324,160,237,269,193,239,390,339
2020,6,70,"3,532",881,254,284,116,313,159,227,243,176,206,320,353
2020,6,80,"2,564",547,163,177,89,238,119,193,191,106,161,289,291
2020,6,90,462,110,30,36,19,30,26,36,41,15,23,49,47
2020,6,100,28,8,1,3,1,5,1,1,3,2,1,2,0
2020,7,총,"22,618","7,042","1,404","1,593",634,"1,790",939,"1,229","1,312",960,"1,234","2,262","2,219"
2020,7,0,"1,162",544,70,63,22,65,28,39,39,32,60,103,97
2020,7,10,"1,461",581,54,90,27,102,46,49,62,44,64,148,194
2020,7,20,"1,934",726,108,124,45,132,77,91,92,82,94,194,169
2020,7,30,"1,738",707,107,104,38,115,58,70,84,73,95,144,143
2020,7,40,"2,204",847,111,140,49,151,78,93,84,67,92,259,233
2020,7,50,"3,634","1,046",226,286,105,313,185,195,201,165,200,367,345
2020,7,60,"3,885","1,036",281,288,123,322,158,235,272,195,242,388,345
2020,7,70,"3,532",882,252,284,116,316,162,226,239,177,205,319,354
2020,7,80,"2,574",551,164,176,89,240,120,194,195,108,158,288,291
2020,7,90,466,113,30,35,19,30,26,36,41,15,23,50,48
2020,7,100,28,9,1,3,1,4,1,1,3,2,1,2,0
2020,8,총,"22,607","7,044","1,402","1,582",634,"1,794",941,"1,229","1,308",949,"1,238","2,259","2,227"
2020,8,0,"1,162",542,70,62,21,66,29,38,41,30,62,102,99
2020,8,10,"1,451",579,53,90,26,102,47,49,63,43,63,145,191
2020,8,20,"1,918",724,108,123,46,131,79,89,90,77,92,191,168
2020,8,30,"1,735",705,106,98,37,117,58,70,83,73,96,145,147
2020,8,40,"2,197",848,111,140,49,150,77,92,82,66,90,259,233
2020,8,50,"3,628","1,053",224,283,108,308,186,192,201,163,198,368,344
2020,8,60,"3,910","1,038",282,291,124,323,158,242,271,192,249,391,349
2020,8,70,"3,525",879,254,283,114,324,162,225,235,178,204,318,349
2020,8,80,"2,585",553,163,175,89,239,118,196,199,109,160,288,296
2020,8,90,467,115,30,34,19,30,25,35,39,16,23,50,51
2020,8,100,29,8,1,3,1,4,2,1,4,2,1,2,0
2020,9,총,"22,588","7,030","1,402","1,584",638,"1,790",944,"1,231","1,303",941,"1,238","2,261","2,226"
2020,9,0,"1,161",542,68,64,23,67,29,37,41,31,59,103,97
2020,9,10,"1,437",571,54,87,26,101,46,50,63,41,63,144,191
2020,9,20,"1,912",719,107,126,45,135,80,87,88,75,90,195,165
2020,9,30,"1,730",705,105,97,39,112,58,71,83,73,100,140,147
2020,9,40,"2,186",836,109,142,48,146,79,93,81,66,89,262,235
2020,9,50,"3,604","1,051",225,280,106,306,179,189,200,161,200,366,341
2020,9,60,"3,946","1,047",284,295,128,322,163,246,270,193,250,393,355
2020,9,70,"3,519",877,254,281,113,327,164,225,235,172,204,321,346
2020,9,80,"2,593",557,163,175,89,242,119,197,200,111,160,283,297
2020,9,90,470,117,32,33,20,28,25,35,38,16,22,52,52
2020,9,100,30,8,1,4,1,4,2,1,4,2,1,2,0
2020,10,총,"22,580","7,028","1,395","1,576",633,"1,804",936,"1,229","1,305",940,"1,234","2,272","2,228"
2020,10,0,"1,161",540,68,62,22,69,27,38,43,32,60,101,99
2020,10,10,"1,434",572,54,85,27,100,46,50,62,42,61,145,190
2020,10,20,"1,915",714,105,129,43,135,79,86,91,76,91,200,166
2020,10,30,"1,733",708,105,96,40,115,52,72,82,71,99,142,151
2020,10,40,"2,153",818,108,141,46,145,77,94,81,67,88,262,226
2020,10,50,"3,598","1,055",225,274,105,307,180,183,200,158,198,363,350
2020,10,60,"3,966","1,054",284,300,126,327,162,248,271,194,248,399,353
2020,10,70,"3,524",879,254,282,113,330,166,224,233,172,205,321,345
2020,10,80,"2,598",562,160,172,90,244,119,199,199,110,161,284,298
2020,10,90,468,118,31,32,20,28,26,34,39,16,21,53,50
2020,10,100,30,8,1,3,1,4,2,1,4,2,2,2,0
2020,11,총,"22,593","7,071","1,384","1,582",624,"1,803",935,"1,229","1,304",934,"1,230","2,269","2,228"
2020,11,0,"1,161",548,64,66,18,68,27,38,45,28,57,104,98
2020,11,10,"1,424",570,53,84,26,100,48,50,57,41,61,146,188
2020,11,20,"1,933",719,104,134,41,133,81,86,94,78,94,199,170
2020,11,30,"1,731",713,103,94,38,116,52,71,82,69,102,140,151
2020,11,40,"2,151",833,108,143,47,143,77,91,82,68,84,254,221
2020,11,50,"3,609","1,063",223,273,105,312,177,188,198,155,196,369,350
2020,11,60,"3,971","1,058",285,300,127,327,159,249,271,195,247,399,354
2020,11,70,"3,523",879,252,283,112,328,168,221,232,171,206,322,349
2020,11,80,"2,592",561,160,170,90,244,118,202,200,110,159,282,296
2020,11,90,467,118,31,32,19,28,26,32,39,17,22,52,51
2020,11,100,31,9,1,3,1,4,2,1,4,2,2,2,0
