년도,월,나이,영암군,영암읍,삼호읍,삼호읍서부출장소,덕진면,금정면,신북면,시종면,도포면,군서면,서호면,학산면,미암면
2020,1,총,"26,491","4,255","6,953","2,865",986,"1,055","1,946","1,848","1,146","1,682","1,035","1,550","1,170"
2020,1,0,"1,940",326,881,348,34,28,72,43,23,45,43,61,36
2020,1,10,"2,178",401,843,356,55,35,97,66,41,78,35,107,64
2020,1,20,"2,214",394,706,333,56,60,105,113,79,109,61,125,73
2020,1,30,"2,328",394,958,390,39,44,107,77,57,69,47,79,67
2020,1,40,"3,117",517,"1,177",509,73,82,162,111,81,124,58,136,87
2020,1,50,"4,061",695,996,487,118,157,331,276,195,257,137,226,186
2020,1,60,"3,799",583,635,203,181,186,385,407,203,307,196,285,228
2020,1,70,"3,757",523,456,135,206,245,384,401,249,388,244,288,238
2020,1,80,"2,677",352,267,90,198,189,263,303,198,263,179,204,171
2020,1,90,395,67,32,13,23,29,36,49,18,40,33,36,19
2020,1,100,25,3,2,1,3,0,4,2,2,2,2,3,1
2020,2,총,"26,457","4,237","6,986","2,855",983,"1,044","1,932","1,843","1,145","1,688","1,039","1,541","1,164"
2020,2,0,"1,932",321,890,343,30,27,72,41,23,47,42,59,37
2020,2,10,"2,157",389,847,350,58,32,95,64,42,75,35,106,64
2020,2,20,"2,196",394,709,330,56,57,98,109,76,111,59,127,70
2020,2,30,"2,318",387,971,381,39,43,106,78,57,71,49,77,59
2020,2,40,"3,128",518,"1,183",517,74,80,164,111,80,124,56,132,89
2020,2,50,"4,050",697,994,485,115,157,326,279,197,250,142,224,184
2020,2,60,"3,821",586,642,211,183,186,384,403,203,313,196,284,230
2020,2,70,"3,738",516,453,131,205,245,383,399,245,389,246,286,240
2020,2,80,"2,691",356,266,91,198,188,265,306,201,263,179,207,171
2020,2,90,400,70,29,15,22,29,36,51,18,43,32,36,19
2020,2,100,26,3,2,1,3,0,3,2,3,2,3,3,1
2020,3,총,"26,435","4,239","6,989","2,862",975,"1,038","1,929","1,842","1,137","1,690","1,028","1,546","1,160"
2020,3,0,"1,921",318,882,339,29,29,72,44,22,41,43,63,39
2020,3,10,"2,144",386,844,347,58,31,93,64,41,81,33,104,62
2020,3,20,"2,194",392,721,338,54,55,98,105,75,107,57,123,69
2020,3,30,"2,307",397,951,385,39,43,103,78,56,70,47,77,61
2020,3,40,"3,123",510,"1,191",516,70,80,166,111,79,125,55,134,86
2020,3,50,"4,058",700,"1,007",485,115,155,324,280,196,253,137,223,183
2020,3,60,"3,839",589,646,212,183,187,383,403,203,316,197,289,231
2020,3,70,"3,712",514,454,132,197,244,380,393,244,389,244,284,237
2020,3,80,"2,709",358,265,91,205,188,270,310,199,262,179,209,173
2020,3,90,401,72,26,16,22,26,37,52,19,44,33,37,17
2020,3,100,27,3,2,1,3,0,3,2,3,2,3,3,2
2020,4,총,"26,369","4,226","6,985","2,857",972,"1,041","1,922","1,839","1,133","1,681","1,024","1,532","1,157"
2020,4,0,"1,916",313,881,339,27,30,73,46,23,40,43,61,40
2020,4,10,"2,140",384,844,347,56,33,93,64,42,81,34,102,60
2020,4,20,"2,177",393,726,331,55,56,97,101,72,105,55,119,67
2020,4,30,"2,281",387,944,385,38,42,103,81,54,69,47,74,57
2020,4,40,"3,111",508,"1,182",518,72,78,164,111,80,123,54,133,88
2020,4,50,"4,048",704,"1,009",489,116,155,322,272,193,253,136,221,178
2020,4,60,"3,851",587,651,212,183,186,381,409,203,314,198,290,237
2020,4,70,"3,692",510,456,133,196,241,380,392,244,390,238,280,232
2020,4,80,"2,720",364,261,86,206,194,268,310,200,259,183,211,178
2020,4,90,406,73,29,16,20,26,38,51,19,45,33,38,18
2020,4,100,27,3,2,1,3,0,3,2,3,2,3,3,2
2020,5,총,"26,338","4,224","6,983","2,855",973,"1,027","1,914","1,832","1,133","1,678","1,025","1,544","1,150"
2020,5,0,"1,908",310,877,338,27,28,72,46,21,41,43,65,40
2020,5,10,"2,129",385,838,344,56,30,93,64,43,79,34,103,60
2020,5,20,"2,161",387,733,337,54,50,92,100,72,104,52,118,62
2020,5,30,"2,285",386,937,380,39,42,106,80,55,73,48,78,61
2020,5,40,"3,098",511,"1,179",514,72,80,163,111,78,122,52,133,83
2020,5,50,"4,039",705,"1,012",488,118,151,319,265,190,252,139,220,180
2020,5,60,"3,862",591,657,215,182,183,379,412,205,312,198,293,235
2020,5,70,"3,695",514,453,135,195,241,383,390,242,389,238,281,234
2020,5,80,"2,733",359,266,88,207,196,267,312,206,259,185,212,176
2020,5,90,402,73,29,15,20,26,37,50,18,45,33,38,18
2020,5,100,26,3,2,1,3,0,3,2,3,2,3,3,1
2020,6,총,"26,374","4,218","7,012","2,864",973,"1,029","1,914","1,832","1,130","1,681","1,025","1,548","1,148"
2020,6,0,"1,909",309,878,339,28,28,72,46,22,40,43,65,39
2020,6,10,"2,134",382,848,342,57,31,90,66,39,80,35,104,60
2020,6,20,"2,160",386,730,339,55,50,95,96,75,106,52,117,59
2020,6,30,"2,281",385,934,380,39,42,107,80,54,73,50,77,60
2020,6,40,"3,104",509,"1,191",516,69,79,162,114,76,120,52,134,82
2020,6,50,"4,024",707,"1,003",491,118,151,318,260,189,251,134,222,180
2020,6,60,"3,885",586,673,214,182,183,379,414,207,316,200,294,237
2020,6,70,"3,707",521,459,138,197,242,383,387,241,389,238,279,233
2020,6,80,"2,740",355,265,89,204,197,268,316,208,261,185,214,178
2020,6,90,405,75,29,15,21,26,37,51,17,43,33,39,19
2020,6,100,25,3,2,1,3,0,3,2,2,2,3,3,1
2020,7,총,"26,354","4,203","7,021","2,876",968,"1,025","1,911","1,815","1,135","1,684","1,028","1,544","1,144"
2020,7,0,"1,889",301,876,330,27,28,74,45,21,40,44,65,38
2020,7,10,"2,135",380,851,344,57,31,89,64,40,80,36,104,59
2020,7,20,"2,163",396,719,347,52,47,94,95,76,109,53,116,59
2020,7,30,"2,272",375,938,383,40,41,104,77,54,74,50,76,60
2020,7,40,"3,106",514,"1,195",516,69,78,160,114,74,118,54,134,80
2020,7,50,"4,025",704,"1,010",497,116,150,319,255,193,252,132,218,179
2020,7,60,"3,892",586,676,215,184,186,380,413,206,316,200,294,236
2020,7,70,"3,694",518,458,139,197,241,383,384,242,385,236,280,231
2020,7,80,"2,744",351,267,88,202,197,267,317,209,264,186,215,181
2020,7,90,407,75,28,16,21,26,38,48,18,44,34,39,20
2020,7,100,27,3,3,1,3,0,3,3,2,2,3,3,1
2020,8,총,"26,268","4,207","7,011","2,834",960,"1,026","1,909","1,812","1,129","1,677","1,026","1,541","1,136"
2020,8,0,"1,857",297,867,313,27,29,74,46,22,38,44,63,37
2020,8,10,"2,119",382,844,340,56,30,86,61,40,78,36,106,60
2020,8,20,"2,142",390,712,346,52,51,93,96,74,108,50,115,55
2020,8,30,"2,265",379,937,374,40,40,103,77,53,75,51,78,58
2020,8,40,"3,080",510,"1,190",506,66,80,161,112,73,117,54,133,78
2020,8,50,"4,030",713,"1,029",496,115,148,317,253,194,248,129,212,176
2020,8,60,"3,893",586,678,213,184,187,379,412,205,319,203,293,234
2020,8,70,"3,697",519,454,139,196,237,391,383,242,382,236,282,236
2020,8,80,"2,745",353,269,89,200,196,266,319,206,265,185,216,181
2020,8,90,413,75,28,17,21,28,36,50,18,45,35,40,20
2020,8,100,27,3,3,1,3,0,3,3,2,2,3,3,1
2020,9,총,"26,248","4,197","7,013","2,822",959,"1,030","1,911","1,813","1,125","1,676","1,021","1,546","1,135"
2020,9,0,"1,837",296,856,302,28,29,74,48,21,38,44,64,37
2020,9,10,"2,118",377,843,345,55,30,87,61,41,76,35,108,60
2020,9,20,"2,134",390,714,342,51,50,93,93,74,109,49,114,55
2020,9,30,"2,246",371,940,366,38,41,103,75,50,74,51,80,57
2020,9,40,"3,073",509,"1,180",509,67,82,162,112,73,117,52,132,78
2020,9,50,"4,024",713,"1,038",497,114,147,314,248,191,248,128,211,175
2020,9,60,"3,915",590,686,217,183,189,380,418,206,317,200,294,235
2020,9,70,"3,683",521,450,138,199,236,389,376,240,383,235,281,235
2020,9,80,"2,767",352,274,88,200,196,270,325,208,265,188,218,183
2020,9,90,424,75,29,17,21,30,36,54,19,47,36,41,19
2020,9,100,27,3,3,1,3,0,3,3,2,2,3,3,1
2020,10,총,"26,165","4,174","7,009","2,813",953,"1,027","1,898","1,811","1,121","1,665","1,015","1,544","1,135"
2020,10,0,"1,817",291,851,303,26,28,70,49,22,38,43,59,37
2020,10,10,"2,098",369,836,341,56,28,86,59,41,76,35,111,60
2020,10,20,"2,139",389,726,345,50,49,90,94,74,106,47,114,55
2020,10,30,"2,214",366,936,360,37,39,99,73,50,70,49,80,55
2020,10,40,"3,048",506,"1,170",501,64,82,163,114,73,120,51,126,78
2020,10,50,"4,038",712,"1,048",504,119,148,306,244,191,244,131,216,175
2020,10,60,"3,902",591,686,212,180,188,382,417,204,314,198,293,237
2020,10,70,"3,685",518,447,144,197,237,388,379,240,382,233,283,237
2020,10,80,"2,772",353,277,87,200,197,275,323,206,268,190,215,181
2020,10,90,425,77,29,15,21,31,36,56,17,45,35,44,19
2020,10,100,27,2,3,1,3,0,3,3,3,2,3,3,1
2020,11,총,"26,102","4,165","6,982","2,792",954,"1,029","1,881","1,816","1,120","1,664","1,013","1,550","1,136"
2020,11,0,"1,792",285,839,294,27,29,67,50,22,38,44,61,36
2020,11,10,"2,087",371,832,334,55,26,85,60,41,76,35,113,59
2020,11,20,"2,147",389,723,352,50,50,89,94,73,106,47,117,57
2020,11,30,"2,203",365,930,356,38,39,93,73,51,70,49,80,59
2020,11,40,"3,018",499,"1,165",493,63,78,165,112,72,119,50,126,76
2020,11,50,"4,034",708,"1,049",505,117,149,304,245,190,244,132,216,175
2020,11,60,"3,908",596,693,207,181,188,378,418,209,310,197,295,236
2020,11,70,"3,688",518,447,149,196,240,387,380,236,386,231,283,235
2020,11,80,"2,772",354,271,85,203,197,273,325,207,269,191,214,183
2020,11,90,426,78,30,16,21,33,37,56,16,44,34,42,19
2020,11,100,27,2,3,1,3,0,3,3,3,2,3,3,1
2020,12,총,"26,104","4,164","7,017","2,774",949,"1,026","1,880","1,806","1,119","1,670","1,011","1,556","1,132"
2020,12,0,"1,770",287,823,290,26,29,65,48,22,39,42,64,35
2020,12,10,"2,074",366,836,327,55,24,83,59,41,78,35,111,59
2020,12,20,"2,153",397,730,348,48,50,88,92,73,104,47,117,59
2020,12,30,"2,194",367,925,352,37,37,92,74,52,68,49,83,58
2020,12,40,"3,025",495,"1,182",489,65,75,166,113,69,122,52,124,73
2020,12,50,"4,047",698,"1,071",509,118,151,308,242,190,243,131,212,174
2020,12,60,"3,917",599,697,207,178,190,375,417,211,310,196,301,236
2020,12,70,"3,677",520,448,150,195,235,385,379,234,383,232,282,234
2020,12,80,"2,783",354,271,83,202,201,278,322,206,275,189,218,184
2020,12,90,437,79,31,18,22,34,37,57,18,46,35,41,19
2020,12,100,27,2,3,1,3,0,3,3,3,2,3,3,1
2021,1,총,"26,085","4,165","7,028","2,763",944,"1,030","1,886","1,793","1,120","1,668","1,008","1,551","1,129"
2021,1,0,"1,745",286,816,280,25,30,63,48,23,37,40,63,34
2021,1,10,"2,069",363,836,326,53,24,85,59,41,79,36,109,58
2021,1,20,"2,145",402,728,354,49,47,85,86,73,100,46,114,61
2021,1,30,"2,171",364,916,345,36,37,94,73,52,69,48,80,57
2021,1,40,"3,025",490,"1,187",488,65,75,163,113,71,124,53,126,70
2021,1,50,"4,057",703,"1,080",516,117,153,309,236,190,241,128,210,174
2021,1,60,"3,940",600,709,206,179,190,383,418,212,313,199,299,232
2021,1,70,"3,674",520,451,149,190,238,385,379,232,380,232,284,234
2021,1,80,"2,788",355,272,82,204,202,276,320,205,277,187,220,188
2021,1,90,445,80,30,17,23,34,40,58,18,46,36,43,20
2021,1,100,26,2,3,0,3,0,3,3,3,2,3,3,1
2021,2,총,"26,053","4,151","7,009","2,752",942,"1,024","1,897","1,800","1,116","1,672","1,006","1,550","1,134"
2021,2,0,"1,734",283,809,271,27,30,64,48,21,38,41,65,37
2021,2,10,"2,065",354,840,324,54,24,89,60,39,79,37,108,57
2021,2,20,"2,120",399,718,354,46,45,85,86,74,97,45,111,60
2021,2,30,"2,151",354,910,339,37,37,92,78,52,69,45,80,58
2021,2,40,"3,031",493,"1,190",482,65,74,170,111,71,127,55,123,70
2021,2,50,"4,059",703,"1,068",528,117,151,310,239,190,238,129,212,174
2021,2,60,"3,961",603,719,209,179,187,385,413,213,317,200,298,238
2021,2,70,"3,654",524,449,146,187,234,384,379,229,381,228,284,229
2021,2,80,"2,806",356,272,82,202,207,276,326,205,278,189,223,190
2021,2,90,444,79,31,17,25,34,39,57,19,46,34,43,20
2021,2,100,28,3,3,0,3,1,3,3,3,2,3,3,1
2021,3,총,"25,888","4,103","7,034","2,746",930,"1,022","1,843","1,788","1,119","1,649",999,"1,535","1,120"
2021,3,0,"1,696",271,799,265,24,28,53,47,24,42,41,65,37
