년도,월,나이,완도군,완도읍,금일읍,노화읍,노화읍넙도출장소,군외면,신지면,고금면,약산면,청산면,청산면모도출장소,소안면,금당면,보길면,생일면
2020,1,총,"25,430","9,335","1,927","2,235",429,"1,653","1,787","2,117","1,225","1,047",116,"1,271",497,"1,368",423
2020,1,0,"1,717",820,108,168,24,55,60,108,81,31,8,72,19,143,20
2020,1,10,"1,949",924,100,210,31,68,121,138,47,58,5,80,33,112,22
2020,1,20,"2,246","1,064",140,168,27,103,143,165,82,92,9,97,45,88,23
2020,1,30,"2,411",971,184,245,53,150,125,153,84,102,3,108,35,157,41
2020,1,40,"3,722","1,484",296,335,79,206,267,253,154,106,20,194,63,193,72
2020,1,50,"4,568","1,667",348,386,74,307,358,358,228,210,18,205,98,231,80
2020,1,60,"4,107","1,298",375,313,69,339,298,359,243,201,20,214,78,234,66
2020,1,70,"3,293",817,267,274,61,315,270,393,210,150,22,202,85,156,71
2020,1,80,"1,327",275,100,129,11,105,135,178,88,89,11,93,36,50,27
2020,1,90,88,14,9,7,0,5,10,12,8,8,0,5,5,4,1
2020,1,100,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,2,총,"25,415","9,302","1,938","2,242",432,"1,665","1,779","2,106","1,221","1,044",116,"1,273",503,"1,365",429
2020,2,0,"1,709",809,110,170,24,61,61,106,81,30,8,70,19,139,21
2020,2,10,"1,933",923,97,203,31,70,119,137,47,56,4,77,35,112,22
2020,2,20,"2,244","1,054",144,172,29,104,143,162,81,92,9,99,42,87,26
2020,2,30,"2,398",965,186,247,51,148,121,154,83,100,3,110,37,151,42
2020,2,40,"3,732","1,473",296,346,81,211,267,252,150,107,21,195,63,198,72
2020,2,50,"4,556","1,665",350,378,74,305,352,354,230,210,17,209,101,230,81
2020,2,60,"4,123","1,300",376,315,70,342,302,358,243,201,21,212,79,238,66
2020,2,70,"3,284",822,269,269,61,313,269,386,211,151,23,202,85,152,71
2020,2,80,"1,343",275,101,134,11,105,135,185,87,89,10,93,37,54,27
2020,2,90,90,15,9,8,0,6,10,12,8,7,0,5,5,4,1
2020,2,100,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,3,총,"25,346","9,276","1,929","2,239",431,"1,657","1,775","2,101","1,216","1,045",116,"1,268",499,"1,362",432
2020,3,0,"1,690",800,109,171,22,61,61,104,81,29,8,69,19,137,19
2020,3,10,"1,931",921,97,202,29,73,118,136,45,55,4,78,35,114,24
2020,3,20,"2,252","1,057",142,174,31,106,141,165,82,90,9,99,43,85,28
2020,3,30,"2,359",958,185,241,52,136,115,153,82,101,3,106,36,149,42
2020,3,40,"3,717","1,459",296,345,80,212,270,249,148,105,21,196,62,203,71
2020,3,50,"4,533","1,660",341,378,73,302,350,355,231,214,17,204,99,227,82
2020,3,60,"4,120","1,295",378,313,71,341,305,358,236,203,21,216,81,235,67
2020,3,70,"3,288",831,269,270,62,312,268,378,215,153,22,202,82,153,71
2020,3,80,"1,364",279,103,137,11,108,137,191,88,88,11,91,38,55,27
2020,3,90,89,15,9,8,0,6,10,12,8,6,0,6,4,4,1
2020,3,100,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,4,총,"25,319","9,265","1,920","2,238",430,"1,657","1,787","2,092","1,212","1,037",117,"1,272",494,"1,362",436
2020,4,0,"1,689",801,104,171,22,61,63,103,81,29,8,70,18,137,21
2020,4,10,"1,923",913,99,205,28,71,119,131,47,55,4,77,35,115,24
2020,4,20,"2,248","1,052",140,172,29,108,141,165,81,89,9,101,42,88,31
2020,4,30,"2,348",965,183,237,52,137,115,152,78,96,3,108,34,147,41
2020,4,40,"3,701","1,444",295,345,82,210,275,250,150,103,21,193,63,201,69
2020,4,50,"4,539","1,661",339,383,71,304,352,355,229,214,18,205,99,227,82
2020,4,60,"4,125","1,295",379,310,73,343,307,357,235,204,21,217,81,235,68
2020,4,70,"3,275",837,269,270,62,304,264,377,215,148,22,200,81,154,72
2020,4,80,"1,374",279,103,136,11,113,141,190,88,91,11,94,36,54,27
2020,4,90,94,17,9,9,0,6,10,12,8,7,0,6,5,4,1
2020,4,100,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,5,총,"25,267","9,256","1,913","2,230",430,"1,653","1,787","2,089","1,202","1,030",118,"1,268",493,"1,362",436
2020,5,0,"1,683",797,105,167,22,61,63,104,81,29,8,70,18,137,21
2020,5,10,"1,904",906,97,203,28,69,120,129,45,54,4,74,36,115,24
2020,5,20,"2,232","1,051",136,171,30,107,141,163,81,86,9,99,40,89,29
2020,5,30,"2,339",969,179,235,51,135,117,154,74,95,3,109,32,145,41
2020,5,40,"3,691","1,440",299,342,82,211,270,250,150,100,22,194,61,201,69
2020,5,50,"4,529","1,656",342,386,72,304,345,354,224,215,18,202,100,228,83
2020,5,60,"4,139","1,307",376,309,73,343,314,356,234,206,21,217,85,232,66
2020,5,70,"3,268",831,269,270,62,304,265,374,213,145,22,201,80,157,75
2020,5,80,"1,382",279,103,138,10,112,142,193,92,90,11,95,36,54,27
2020,5,90,97,19,7,9,0,7,10,12,8,9,0,6,5,4,1
2020,5,100,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,6,총,"25,246","9,260","1,922","2,222",425,"1,639","1,792","2,089","1,208","1,029",118,"1,259",491,"1,360",432
2020,6,0,"1,685",799,110,165,22,62,64,100,79,30,8,70,19,136,21
2020,6,10,"1,889",896,98,205,28,67,118,131,44,54,4,74,34,112,24
2020,6,20,"2,233","1,054",139,170,29,103,142,166,83,86,9,95,38,90,29
2020,6,30,"2,317",960,181,227,50,134,119,153,76,94,3,105,31,145,39
2020,6,40,"3,690","1,451",296,343,81,209,266,248,146,101,22,194,63,202,68
2020,6,50,"4,512","1,648",345,380,68,301,348,359,227,216,18,201,96,225,80
2020,6,60,"4,177","1,325",374,314,76,346,316,352,240,205,21,216,90,233,69
2020,6,70,"3,260",826,265,271,61,300,269,375,213,145,22,200,79,159,75
2020,6,80,"1,383",281,107,138,10,111,140,192,92,88,11,97,36,54,26
2020,6,90,97,19,7,9,0,6,10,13,8,9,0,6,5,4,1
2020,6,100,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,7,총,"25,263","9,250","1,924","2,225",426,"1,644","1,785","2,091","1,219","1,026",117,"1,263",496,"1,365",432
2020,7,0,"1,684",796,110,165,23,61,63,103,78,30,8,70,19,137,21
2020,7,10,"1,890",897,94,203,28,66,115,132,46,54,5,76,34,116,24
2020,7,20,"2,229","1,052",138,172,28,107,143,161,83,84,9,96,37,90,29
2020,7,30,"2,282",955,182,223,48,131,115,151,72,89,3,99,33,142,39
2020,7,40,"3,715","1,454",299,350,83,213,262,252,148,102,22,194,65,203,68
2020,7,50,"4,503","1,643",341,372,69,303,345,359,230,218,18,206,98,223,78
2020,7,60,"4,197","1,323",380,320,76,345,321,352,243,205,21,218,88,236,69
2020,7,70,"3,270",828,264,275,61,300,268,376,216,146,20,199,81,159,77
2020,7,80,"1,394",282,109,136,10,112,143,193,95,88,11,98,36,55,26
2020,7,90,96,19,7,9,0,6,10,12,8,9,0,6,5,4,1
2020,7,100,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,8,총,"25,208","9,236","1,925","2,219",429,"1,638","1,780","2,090","1,209","1,023",119,"1,261",492,"1,357",430
2020,8,0,"1,672",794,110,164,23,63,61,100,77,30,8,70,18,133,21
2020,8,10,"1,889",904,96,201,28,65,111,134,46,53,5,72,34,117,23
2020,8,20,"2,220","1,048",136,172,28,103,144,160,82,82,9,98,37,91,30
2020,8,30,"2,252",945,182,221,47,129,115,147,67,89,3,98,33,137,39
2020,8,40,"3,691","1,443",298,344,84,211,259,253,144,104,22,197,62,203,67
2020,8,50,"4,504","1,641",341,374,71,304,343,361,233,213,20,203,97,225,78
2020,8,60,"4,209","1,333",380,323,76,343,326,349,240,209,21,217,88,235,69
2020,8,70,"3,278",828,264,274,62,302,266,379,218,147,20,201,81,158,78
2020,8,80,"1,392",279,111,137,10,112,145,195,94,86,11,97,37,54,24
2020,8,90,98,20,7,9,0,6,10,12,8,9,0,7,5,4,1
2020,8,100,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,9,총,"25,165","9,222","1,918","2,215",428,"1,635","1,772","2,088","1,205","1,025",118,"1,259",492,"1,359",429
2020,9,0,"1,665",791,110,164,23,63,60,97,77,31,8,72,18,130,21
2020,9,10,"1,888",903,94,201,27,66,108,136,46,53,5,71,34,121,23
2020,9,20,"2,199","1,039",137,172,29,105,142,159,79,79,9,96,36,88,29
2020,9,30,"2,233",937,180,224,47,126,114,141,66,88,3,96,33,139,39
2020,9,40,"3,687","1,434",294,346,82,211,258,258,145,104,22,199,62,206,66
2020,9,50,"4,488","1,649",339,367,71,297,342,360,233,213,19,199,97,223,79
2020,9,60,"4,240","1,348",383,324,77,344,327,351,241,213,21,216,88,238,69
2020,9,70,"3,268",821,262,272,62,305,264,377,216,148,20,205,81,158,77
2020,9,80,"1,393",276,112,137,10,112,147,194,95,87,11,97,38,52,25
2020,9,90,101,23,7,8,0,6,10,15,7,8,0,7,5,4,1
2020,9,100,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,10,총,"25,156","9,216","1,919","2,213",428,"1,641","1,773","2,086","1,203","1,027",118,"1,253",491,"1,359",429
2020,10,0,"1,653",787,109,162,23,60,62,95,77,31,6,70,18,132,21
2020,10,10,"1,887",898,96,202,26,68,111,136,46,53,5,71,33,119,23
2020,10,20,"2,198","1,043",140,170,29,101,139,157,81,79,9,95,37,88,30
2020,10,30,"2,220",932,175,221,47,125,114,142,67,89,4,96,34,137,37
2020,10,40,"3,654","1,421",293,344,82,213,253,258,140,104,21,195,59,205,66
2020,10,50,"4,502","1,648",338,370,73,306,345,361,233,211,20,199,96,222,80
2020,10,60,"4,260","1,364",385,325,76,342,327,348,241,209,22,219,90,243,69
2020,10,70,"3,278",825,262,273,62,308,262,380,218,155,20,200,80,156,77
2020,10,80,"1,399",274,114,138,10,112,150,194,93,86,11,100,39,53,25
2020,10,90,102,23,7,8,0,6,10,15,7,9,0,7,5,4,1
2020,10,100,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,11,총,"25,137","9,228","1,912","2,217",429,"1,634","1,766","2,080","1,201","1,024",119,"1,254",491,"1,351",431
2020,11,0,"1,639",790,107,157,22,59,61,94,76,30,6,70,18,129,20
2020,11,10,"1,882",891,93,207,27,69,109,132,45,54,5,71,35,119,25
2020,11,20,"2,206","1,045",142,170,28,101,142,160,82,79,9,94,35,87,32
2020,11,30,"2,208",938,170,224,49,120,112,139,66,90,3,92,33,136,36
2020,11,40,"3,655","1,423",292,348,82,210,248,261,140,102,21,198,60,204,66
2020,11,50,"4,480","1,652",334,363,72,306,344,356,234,207,21,198,96,218,79
