년도,월,나이,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020,3,총,"35,345","12,586","1,515","1,675","1,459","3,215","1,496","1,083","1,549","1,165","1,233","2,535","1,960","2,080","1,794"
2020,3,0,"2,110","1,182",51,73,41,158,59,20,50,44,38,108,110,104,72
2020,3,10,"2,622","1,459",74,76,72,187,83,58,79,38,51,126,106,110,103
2020,3,20,"2,512","1,234",102,105,65,200,83,52,88,38,61,113,125,111,135
2020,3,30,"2,611","1,416",85,87,49,191,74,41,65,58,58,135,122,126,104
2020,3,40,"3,584","1,911",111,120,110,282,109,71,129,80,79,167,130,165,120
2020,3,50,"5,365","1,952",262,223,214,541,223,138,216,158,171,411,285,318,253
2020,3,60,"6,067","1,594",294,349,309,611,296,206,269,222,236,565,343,416,357
2020,3,70,"5,740","1,088",294,359,331,578,316,270,336,253,283,479,404,406,343
2020,3,80,"4,060",641,211,252,224,413,228,192,249,240,219,372,284,280,255
2020,3,90,635,107,29,30,40,52,24,34,63,30,33,54,49,42,48
2020,3,100,39,2,2,1,4,2,1,1,5,4,4,5,2,2,4
2020,4,총,"35,268","12,594","1,514","1,658","1,457","3,200","1,490","1,079","1,542","1,166","1,225","2,518","1,946","2,081","1,798"
2020,4,0,"2,102","1,193",52,69,39,153,59,22,50,44,34,103,107,103,74
2020,4,10,"2,610","1,454",74,76,71,189,82,52,78,40,51,124,106,110,103
2020,4,20,"2,499","1,235",104,103,66,194,82,52,87,37,62,111,125,108,133
2020,4,30,"2,572","1,406",85,83,50,186,72,41,66,56,55,126,118,127,101
2020,4,40,"3,564","1,906",108,118,106,279,109,70,128,81,80,166,127,166,120
2020,4,50,"5,357","1,956",258,222,219,543,220,136,215,156,168,403,281,322,258
2020,4,60,"6,076","1,606",292,344,310,610,295,207,266,224,234,572,340,417,359
2020,4,70,"5,724","1,088",300,361,323,573,314,269,336,251,283,476,409,402,339
2020,4,80,"4,080",645,209,250,229,418,231,195,249,241,220,376,280,279,258
2020,4,90,644,103,30,30,40,53,25,34,62,32,34,56,51,45,49
2020,4,100,40,2,2,2,4,2,1,1,5,4,4,5,2,2,4
2020,5,총,"35,249","12,622","1,513","1,646","1,452","3,196","1,486","1,077","1,548","1,171","1,216","2,511","1,938","2,088","1,785"
2020,5,0,"2,104","1,199",56,67,38,156,58,22,50,45,33,103,106,102,69
2020,5,10,"2,593","1,449",70,78,70,187,81,51,79,40,52,120,103,111,102
2020,5,20,"2,482","1,232",106,98,64,188,82,52,89,39,60,113,121,107,131
2020,5,30,"2,567","1,403",84,82,47,187,73,41,67,55,53,125,120,130,100
2020,5,40,"3,559","1,920",103,118,107,278,107,70,128,79,77,164,127,165,116
2020,5,50,"5,350","1,958",257,221,220,542,216,136,212,158,167,404,278,326,255
2020,5,60,"6,091","1,625",296,340,304,608,296,206,270,226,235,569,339,420,357
2020,5,70,"5,699","1,086",296,352,326,576,315,268,329,252,278,474,409,398,340
2020,5,80,"4,112",644,213,259,231,417,231,196,255,240,224,377,282,282,261
2020,5,90,650,104,30,29,41,54,26,34,63,33,33,57,51,45,50
2020,5,100,42,2,2,2,4,3,1,1,6,4,4,5,2,2,4
2020,6,총,"35,196","12,609","1,510","1,644","1,449","3,194","1,490","1,073","1,541","1,167","1,214","2,511","1,928","2,083","1,783"
2020,6,0,"2,092","1,196",55,65,37,155,58,22,49,46,32,105,103,98,71
2020,6,10,"2,584","1,441",70,77,69,187,82,51,78,40,54,122,103,109,101
2020,6,20,"2,462","1,224",106,96,62,188,82,51,88,39,60,109,117,110,130
2020,6,30,"2,552","1,392",85,82,46,185,73,39,68,55,53,125,118,132,99
2020,6,40,"3,558","1,925",105,117,108,279,108,65,128,77,76,167,124,162,117
2020,6,50,"5,330","1,949",252,219,222,542,218,140,212,154,168,400,276,323,255
2020,6,60,"6,117","1,636",297,346,299,607,296,206,272,227,234,571,342,424,360
2020,6,70,"5,700","1,096",299,350,330,573,315,267,325,251,277,478,406,396,337
2020,6,80,"4,118",645,210,262,231,420,232,197,252,242,223,376,285,282,261
2020,6,90,639,103,29,28,41,55,25,34,63,32,33,53,52,45,46
2020,6,100,44,2,2,2,4,3,1,1,6,4,4,5,2,2,6
2020,7,총,"35,156","12,621","1,498","1,651","1,440","3,186","1,493","1,073","1,538","1,171","1,209","2,500","1,922","2,074","1,780"
2020,7,0,"2,081","1,196",53,66,35,152,57,20,49,46,34,104,103,96,70
2020,7,10,"2,585","1,438",70,79,68,188,79,55,78,41,54,121,104,108,102
2020,7,20,"2,445","1,228",104,96,62,186,83,49,87,40,54,106,116,110,124
2020,7,30,"2,546","1,388",82,82,45,187,73,40,66,55,54,125,118,130,101
2020,7,40,"3,548","1,926",106,117,107,275,107,64,130,74,76,168,119,161,118
2020,7,50,"5,314","1,954",251,222,219,540,217,141,208,157,168,392,274,320,251
2020,7,60,"6,111","1,636",295,346,293,611,300,204,274,225,229,569,342,423,364
2020,7,70,"5,733","1,112",302,354,336,565,318,268,326,251,278,484,406,396,337
2020,7,80,"4,115",637,203,260,231,427,234,198,250,246,225,377,285,282,260
2020,7,90,634,104,30,28,40,52,24,33,63,32,33,49,53,46,47
2020,7,100,44,2,2,1,4,3,1,1,7,4,4,5,2,2,6
2020,8,총,"35,092","12,619","1,491","1,647","1,445","3,170","1,489","1,067","1,530","1,168","1,211","2,490","1,914","2,073","1,778"
2020,8,0,"2,074","1,194",54,68,36,150,57,20,47,46,34,103,103,95,67
2020,8,10,"2,568","1,432",69,78,69,186,79,54,77,40,55,118,102,108,101
2020,8,20,"2,441","1,230",100,94,63,185,81,51,88,38,54,106,115,109,127
2020,8,30,"2,527","1,384",83,81,50,180,73,39,62,55,53,119,120,127,101
2020,8,40,"3,546","1,931",105,118,106,270,106,62,128,73,78,169,117,163,120
2020,8,50,"5,286","1,952",251,218,217,539,217,140,210,157,165,389,267,318,246
2020,8,60,"6,122","1,633",292,351,295,615,296,204,274,226,232,570,341,426,367
2020,8,70,"5,715","1,114",301,351,333,558,319,265,319,250,278,483,410,397,337
2020,8,80,"4,129",644,203,261,231,429,236,199,256,245,225,379,281,282,258
2020,8,90,640,104,31,26,41,55,24,32,61,34,33,49,56,46,48
2020,8,100,44,1,2,1,4,3,1,1,8,4,4,5,2,2,6
2020,9,총,"35,016","12,639","1,491","1,635","1,429","3,161","1,480","1,064","1,521","1,162","1,210","2,486","1,901","2,059","1,778"
2020,9,0,"2,055","1,193",54,63,32,148,55,19,49,49,33,101,98,96,65
2020,9,10,"2,561","1,437",69,77,66,185,78,53,77,35,56,116,104,106,102
