년도,월,나이,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020,1,총,"13,737","4,951",780,"1,014",883,873,735,"1,015","1,096",650,570,"1,170"
2020,1,0,863,476,32,46,42,28,43,36,72,15,37,36
2020,1,10,"1,162",671,54,50,52,41,36,75,68,25,30,60
2020,1,20,"1,179",514,64,58,63,70,50,76,89,67,45,83
2020,1,30,"1,084",490,51,67,78,61,57,63,60,48,48,61
2020,1,40,"1,950",858,77,150,127,94,84,122,139,75,82,142
2020,1,50,"2,537",801,181,193,154,181,154,199,215,130,94,235
2020,1,60,"2,306",574,149,221,162,211,130,221,214,110,91,223
2020,1,70,"1,697",380,109,141,135,112,105,139,172,109,96,199
2020,1,80,863,164,56,83,64,67,71,77,56,63,46,116
2020,1,90,96,23,7,5,6,8,5,7,11,8,1,15
2020,1,100,0,0,0,0,0,0,0,0,0,0,0,0
2020,2,총,"13,721","4,958",771,"1,013",885,873,735,"1,014","1,087",652,565,"1,168"
2020,2,0,859,481,32,45,39,29,41,34,72,15,36,35
2020,2,10,"1,157",670,53,50,53,40,37,72,67,23,30,62
2020,2,20,"1,181",516,61,59,63,69,51,78,85,74,44,81
2020,2,30,"1,066",481,50,66,77,61,58,63,59,46,44,61
2020,2,40,"1,953",860,78,149,130,97,82,122,136,74,83,142
2020,2,50,"2,529",805,177,191,155,176,156,197,214,128,93,237
2020,2,60,"2,320",580,150,223,161,212,130,225,215,112,91,221
2020,2,70,"1,692",378,109,138,135,114,105,142,169,109,96,197
2020,2,80,867,164,54,86,66,67,70,75,57,63,47,118
2020,2,90,97,23,7,6,6,8,5,6,13,8,1,14
2020,2,100,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,총,"13,671","4,972",768,"1,016",872,869,726,"1,001","1,078",655,554,"1,160"
2020,3,0,840,480,30,42,33,28,39,33,71,14,35,35
2020,3,10,"1,162",668,51,56,50,41,37,73,68,24,28,66
2020,3,20,"1,174",518,62,60,60,71,51,76,82,75,41,78
2020,3,30,"1,038",482,47,68,73,59,54,56,59,46,37,57
2020,3,40,"1,942",860,77,148,129,99,78,121,131,76,80,143
2020,3,50,"2,535",809,181,191,153,175,155,197,216,125,95,238
2020,3,60,"2,331",589,149,220,167,210,132,223,214,114,94,219
2020,3,70,"1,684",378,111,138,134,111,104,143,167,110,96,192
2020,3,80,865,163,54,87,67,67,71,71,57,63,47,118
2020,3,90,99,24,6,6,6,8,5,8,13,8,1,14
2020,3,100,1,1,0,0,0,0,0,0,0,0,0,0
2020,4,총,"13,648","4,967",765,"1,016",868,865,718,995,"1,081",651,551,"1,171"
2020,4,0,832,469,31,42,35,26,37,34,73,15,36,34
2020,4,10,"1,163",669,52,56,50,41,38,71,70,23,28,65
