년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020,3,총,"55,450","2,937","2,156","1,488","1,040","1,423",936,931,"1,073","1,335","1,793","1,424",862,"1,170",629,"1,086","8,830","1,552","10,654","1,828","5,293","2,950","2,192","1,868"
2020,3,0,"3,281",138,93,33,26,32,24,30,17,35,42,29,24,52,18,33,761,93,854,94,467,220,98,68
2020,3,10,"4,704",166,135,79,32,60,40,50,40,65,81,32,29,63,22,55,"1,017",143,"1,352",133,580,253,168,109
2020,3,20,"4,894",192,180,88,47,59,47,62,48,75,114,61,47,62,37,59,"1,010",171,"1,190",154,558,275,195,163
2020,3,30,"4,376",189,158,65,48,77,36,37,46,66,62,62,41,43,18,39,973,127,"1,016",134,578,297,145,119
2020,3,40,"7,234",285,223,105,65,86,57,76,63,98,146,88,56,105,34,80,"1,598",225,"1,839",187,930,426,269,193
2020,3,50,"8,751",449,393,248,159,204,123,169,146,189,274,202,133,155,116,155,"1,398",253,"1,653",308,875,468,379,302
2020,3,60,"8,241",516,348,250,198,290,186,157,192,243,349,330,159,213,115,206,946,189,"1,279",322,615,454,379,305
2020,3,70,"7,567",539,317,306,225,318,206,174,244,292,362,307,185,258,156,242,675,197,870,301,423,354,302,314
2020,3,80,"5,450",407,259,268,209,258,179,148,242,238,326,263,158,191,93,192,376,137,501,139,231,164,224,247
2020,3,90,867,48,45,46,31,36,36,27,34,31,36,46,29,25,20,24,65,15,89,43,31,37,30,43
2020,3,100,85,8,5,0,0,3,2,1,1,3,1,4,1,3,0,1,11,2,11,13,5,2,3,5
2020,4,총,"55,353","2,927","2,152","1,480","1,044","1,414",927,932,"1,068","1,331","1,789","1,425",857,"1,166",633,"1,084","8,811","1,545","10,627","1,820","5,287","2,990","2,181","1,863"
2020,4,0,"3,275",139,97,32,27,32,22,30,17,37,42,29,24,52,18,34,753,91,848,93,472,224,96,66
2020,4,10,"4,667",163,134,78,33,59,40,50,38,65,79,31,29,63,22,54,998,144,"1,351",133,575,253,167,108
2020,4,20,"4,857",189,174,82,48,54,43,62,45,73,114,62,44,59,37,56,"1,019",172,"1,187",157,550,278,190,162
2020,4,30,"4,350",186,157,68,47,77,35,37,43,65,61,62,41,44,19,40,960,122,"1,004",133,584,306,145,114
2020,4,40,"7,210",287,219,105,66,84,57,74,63,96,144,86,53,105,35,81,"1,589",224,"1,832",183,929,438,267,193
2020,4,50,"8,735",445,394,244,161,200,123,171,140,190,270,199,133,152,115,152,"1,410",254,"1,651",303,872,474,381,301
2020,4,60,"8,264",517,347,252,198,291,186,160,197,242,358,334,158,215,117,206,946,189,"1,269",324,614,453,379,312
2020,4,70,"7,561",538,319,304,226,317,205,172,247,288,356,308,185,258,153,243,680,195,874,302,424,357,297,313
2020,4,80,"5,467",407,260,267,208,260,177,147,241,241,329,264,159,191,96,192,378,137,507,138,230,166,226,246
2020,4,90,882,48,46,48,30,37,37,28,36,31,35,46,30,25,21,25,67,15,93,41,31,39,30,43
2020,4,100,85,8,5,0,0,3,2,1,1,3,1,4,1,2,0,1,11,2,11,13,6,2,3,5
2020,5,총,"55,285","2,914","2,148","1,472","1,049","1,412",919,920,"1,063","1,330","1,771","1,423",854,"1,170",631,"1,084","8,790","1,537","10,636","1,817","5,291","3,013","2,180","1,861"
2020,5,0,"3,269",137,97,31,27,33,22,29,17,37,40,31,26,49,18,34,750,88,848,92,473,226,98,66
2020,5,10,"4,636",163,131,79,36,60,38,50,38,64,76,30,29,64,22,50,986,144,"1,344",133,571,257,163,108
2020,5,20,"4,852",182,179,79,47,49,42,61,45,73,113,64,40,60,36,58,"1,019",172,"1,186",155,554,283,190,165
2020,5,30,"4,320",183,149,65,47,79,34,36,41,63,59,61,41,45,18,40,948,122,"1,003",128,589,312,146,111
2020,5,40,"7,194",288,217,106,67,83,57,70,61,97,137,86,51,110,35,80,"1,588",222,"1,833",182,927,439,263,195
2020,5,50,"8,698",442,396,240,163,197,122,166,141,189,265,199,134,149,113,148,"1,400",253,"1,651",307,867,474,381,301
2020,5,60,"8,273",515,346,253,195,291,185,163,195,246,358,334,156,215,117,204,953,188,"1,276",326,611,455,381,310
2020,5,70,"7,583",541,320,302,227,319,205,170,249,282,356,304,188,260,154,247,685,197,880,302,425,360,297,313
2020,5,80,"5,498",407,262,266,210,261,175,145,241,245,331,266,158,191,97,197,385,134,514,139,236,167,229,242
2020,5,90,876,48,46,51,30,37,37,29,34,31,35,44,30,25,21,25,65,15,89,40,32,38,29,45
2020,5,100,86,8,5,0,0,3,2,1,1,3,1,4,1,2,0,1,11,2,12,13,6,2,3,5
2020,6,총,"55,236","2,912","2,141","1,470","1,037","1,409",915,918,"1,060","1,327","1,774","1,417",856,"1,172",624,"1,080","8,772","1,532","10,659","1,813","5,278","3,015","2,176","1,879"
2020,6,0,"3,256",134,98,31,26,33,22,29,17,39,38,28,28,52,18,33,747,86,847,91,465,224,102,68
2020,6,10,"4,609",159,130,78,34,60,37,50,38,63,76,31,31,61,22,49,979,144,"1,342",134,563,254,165,109
2020,6,20,"4,850",181,173,79,47,48,42,62,44,73,114,64,39,63,35,59,"1,012",169,"1,186",152,561,288,185,174
2020,6,30,"4,303",180,146,65,46,78,33,37,40,63,60,60,40,44,16,38,943,121,"1,009",125,588,312,146,113
2020,6,40,"7,183",289,216,107,67,81,56,69,57,96,135,86,53,111,34,81,"1,586",221,"1,839",185,921,435,260,198
2020,6,50,"8,659",437,395,235,157,193,120,165,144,188,260,193,135,149,112,148,"1,400",252,"1,656",303,857,480,382,298
2020,6,60,"8,314",518,348,257,194,294,187,164,193,249,364,338,157,217,118,203,957,186,"1,283",327,621,448,380,311
2020,6,70,"7,594",548,317,302,227,318,203,169,250,279,355,303,186,255,153,246,688,201,886,303,427,364,297,317
2020,6,80,"5,500",409,268,265,210,263,175,144,241,241,335,265,156,193,95,196,386,134,509,140,237,171,226,241
2020,6,90,881,49,45,51,28,38,38,28,35,33,36,45,30,25,21,26,63,16,90,40,32,37,30,45
2020,6,100,87,8,5,0,1,3,2,1,1,3,1,4,1,2,0,1,11,2,12,13,6,2,3,5
2020,7,총,"55,169","2,901","2,131","1,464","1,035","1,410",923,919,"1,059","1,312","1,762","1,415",855,"1,166",622,"1,083","8,743","1,524","10,689","1,807","5,274","3,013","2,176","1,886"
2020,7,0,"3,240",132,95,31,27,34,22,28,17,39,38,28,28,52,18,33,743,85,845,88,465,222,101,69
2020,7,10,"4,600",159,128,79,33,60,40,49,39,61,75,30,31,59,21,50,968,140,"1,356",133,560,253,168,108
2020,7,20,"4,845",176,177,79,47,46,44,65,44,72,110,63,39,65,34,58,"1,005",164,"1,187",155,560,290,188,177
2020,7,30,"4,288",176,141,62,47,79,33,37,41,61,55,63,39,40,17,37,939,119,"1,014",124,593,309,143,119
2020,7,40,"7,148",289,216,105,69,82,55,69,59,94,134,88,53,108,33,85,"1,569",223,"1,838",181,913,432,260,193
2020,7,50,"8,655",432,389,234,152,190,120,166,140,186,259,191,132,152,111,146,"1,408",254,"1,662",301,863,485,381,301
2020,7,60,"8,334",522,350,254,196,296,187,164,197,246,362,339,161,218,119,203,960,186,"1,285",332,615,451,378,313
2020,7,70,"7,589",550,316,303,224,318,205,166,247,280,353,301,185,255,153,246,693,200,885,302,433,362,299,313
2020,7,80,"5,497",409,269,265,211,263,177,147,238,238,338,265,154,189,95,196,386,135,514,137,235,168,225,243
2020,7,90,887,48,45,52,28,39,38,27,36,32,37,43,32,26,21,28,61,16,92,41,31,39,30,45
2020,7,100,86,8,5,0,1,3,2,1,1,3,1,4,1,2,0,1,11,2,11,13,6,2,3,5
2020,8,총,"55,079","2,896","2,133","1,460","1,037","1,405",918,914,"1,063","1,320","1,753","1,411",854,"1,165",618,"1,079","8,707","1,523","10,688","1,801","5,273","3,016","2,169","1,876"
2020,8,0,"3,214",131,95,30,24,36,21,25,17,38,34,27,30,53,18,32,726,84,848,87,465,224,101,68
2020,8,10,"4,587",158,127,78,34,60,40,49,43,65,74,31,32,60,21,51,955,140,"1,349",130,567,254,166,103
2020,8,20,"4,815",175,175,79,47,46,46,66,44,71,111,62,39,63,33,56,992,166,"1,184",158,552,287,186,177
2020,8,30,"4,264",172,141,62,47,78,34,36,42,63,52,62,38,39,15,40,930,117,"1,006",129,590,306,145,120
2020,8,40,"7,133",291,214,102,68,79,54,68,63,97,132,85,54,108,33,85,"1,567",224,"1,839",177,911,433,258,191
2020,8,50,"8,633",431,391,235,150,190,116,163,136,185,257,189,129,153,111,143,"1,415",252,"1,669",299,858,489,374,298
