년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020,1,총,"54,624","2,837","2,215","1,457","1,069","1,449",918,946,"1,048","1,321","1,758","1,409",861,"1,204",652,"1,088","9,095","1,545","10,025","1,723","5,084","2,891","2,089","1,940"
2020,1,0,"3,521",139,103,35,36,36,29,32,22,54,58,27,26,54,17,31,831,74,881,96,536,224,99,81
2020,1,10,"5,378",256,157,86,40,58,54,63,50,55,80,44,41,87,30,48,"1,121",176,"1,448",161,746,252,189,136
2020,1,20,"5,933",235,242,143,86,125,72,89,77,112,153,90,52,91,46,75,"1,230",188,"1,249",201,632,310,251,184
2020,1,30,"4,999",250,165,85,70,134,58,65,65,90,106,109,73,74,38,62,"1,109",127,"1,002",153,520,328,167,149
2020,1,40,"8,136",387,272,157,127,184,106,110,137,146,237,162,99,158,76,141,"1,690",257,"1,630",229,827,460,276,268
2020,1,50,"10,086",535,484,337,227,268,168,213,208,278,352,270,170,246,136,227,"1,525",299,"1,681",280,850,494,458,380
2020,1,60,"8,044",462,384,290,191,306,187,180,207,265,330,306,168,218,159,226,899,212,"1,158",279,527,412,339,339
2020,1,70,"5,684",380,263,202,192,227,170,132,169,202,253,266,139,173,101,176,506,145,703,213,318,302,202,250
2020,1,80,"2,573",171,134,112,92,100,68,56,104,106,162,126,83,97,45,93,161,62,248,96,118,99,98,142
2020,1,90,251,22,11,10,8,9,6,6,9,13,26,9,10,6,4,9,18,4,20,13,9,8,10,11
2020,1,100,19,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5,1,5,2,1,2,0,0
2020,2,총,"54,541","2,823","2,208","1,465","1,064","1,441",911,948,"1,063","1,318","1,755","1,403",852,"1,210",647,"1,086","9,033","1,532","9,968","1,716","5,131","2,931","2,091","1,945"
2020,2,0,"3,500",137,101,37,38,36,30,32,21,51,56,26,25,55,17,30,817,73,859,94,545,237,104,79
2020,2,10,"5,362",255,157,88,41,58,49,63,54,58,76,44,39,92,31,45,"1,107",174,"1,437",161,745,260,190,138
2020,2,20,"5,888",230,239,140,84,121,70,89,78,110,150,90,51,89,48,70,"1,214",183,"1,249",201,638,309,249,186
