년도,월,나이,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020,1,총,"21,485","3,498","9,443","4,252","4,292"
2020,1,0,"2,001",327,624,656,394
2020,1,10,"3,122",424,"1,180",993,525
2020,1,20,"2,180",351,"1,096",321,412
2020,1,30,"2,415",378,829,717,491
2020,1,40,"4,361",598,"1,755","1,182",826
2020,1,50,"3,358",636,"1,750",244,728
2020,1,60,"2,090",442,"1,036",68,544
2020,1,70,"1,072",186,618,48,220
2020,1,80,742,122,470,21,129
2020,1,90,133,30,80,2,21
2020,1,100,11,4,5,0,2
2020,2,총,"21,437","3,484","9,380","4,269","4,304"
2020,2,0,"1,980",319,608,656,397
2020,2,10,"3,114",429,"1,158","1,000",527
2020,2,20,"2,157",338,"1,083",321,415
2020,2,30,"2,391",368,834,697,492
2020,2,40,"4,367",593,"1,732","1,216",826
2020,2,50,"3,368",645,"1,751",242,730
2020,2,60,"2,105",444,"1,044",68,549
2020,2,70,"1,076",186,623,48,219
2020,2,80,737,126,465,19,127
2020,2,90,131,32,77,2,20
2020,2,100,11,4,5,0,2
2020,3,총,"21,442","3,513","9,355","4,279","4,295"
2020,3,0,"1,988",320,608,668,392
2020,3,10,"3,105",433,"1,151",990,531
2020,3,20,"2,152",345,"1,078",319,410
2020,3,30,"2,397",372,823,722,480
2020,3,40,"4,349",599,"1,721","1,205",824
2020,3,50,"3,377",653,"1,756",241,727
2020,3,60,"2,125",452,"1,047",72,554
2020,3,70,"1,072",181,625,43,223
2020,3,80,733,121,464,17,131
2020,3,90,134,34,77,2,21
2020,3,100,10,3,5,0,2
2020,4,총,"21,463","3,508","9,341","4,312","4,302"
2020,4,0,"1,987",321,605,672,389
2020,4,10,"3,099",436,"1,152",982,529
2020,4,20,"2,150",342,"1,070",330,408
2020,4,30,"2,393",364,823,728,478
2020,4,40,"4,356",596,"1,709","1,222",829
2020,4,50,"3,391",653,"1,759",250,729
2020,4,60,"2,138",455,"1,053",67,563
2020,4,70,"1,076",187,623,41,225
2020,4,80,729,118,465,18,128
2020,4,90,134,33,77,2,22
2020,4,100,10,3,5,0,2
2020,5,총,"21,424","3,500","9,304","4,309","4,311"
2020,5,0,"1,984",314,603,682,385
2020,5,10,"3,074",445,"1,130",968,531
2020,5,20,"2,136",333,"1,062",331,410
2020,5,30,"2,385",359,816,731,479
2020,5,40,"4,349",604,"1,700","1,216",829
2020,5,50,"3,396",644,"1,765",252,735
2020,5,60,"2,149",457,"1,058",69,565
2020,5,70,"1,078",192,624,40,222
2020,5,80,731,116,466,18,131
2020,5,90,132,33,75,2,22
2020,5,100,10,3,5,0,2
2020,6,총,"21,484","3,513","9,374","4,290","4,307"
2020,6,0,"1,982",316,610,675,381
2020,6,10,"3,068",448,"1,133",965,522
2020,6,20,"2,144",337,"1,072",326,409
2020,6,30,"2,394",362,832,726,474
2020,6,40,"4,350",605,"1,708","1,216",821
2020,6,50,"3,405",641,"1,759",257,748
2020,6,60,"2,176",458,"1,081",66,571
2020,6,70,"1,098",194,636,40,228
2020,6,80,729,115,466,17,131
2020,6,90,128,34,72,2,20
2020,6,100,10,3,5,0,2
2020,7,총,"21,466","3,494","9,360","4,296","4,316"
2020,7,0,"1,970",314,604,674,378
2020,7,10,"3,070",442,"1,133",969,526
2020,7,20,"2,135",332,"1,067",331,405
2020,7,30,"2,373",353,827,723,470
2020,7,40,"4,346",604,"1,696","1,216",830
2020,7,50,"3,407",640,"1,764",259,744
2020,7,60,"2,191",463,"1,086",65,577
2020,7,70,"1,106",195,637,41,233
2020,7,80,730,114,468,17,131
2020,7,90,128,34,73,1,20
2020,7,100,10,3,5,0,2
2020,8,총,"21,502","3,476","9,359","4,318","4,349"
2020,8,0,"1,969",306,605,672,386
2020,8,10,"3,046",447,"1,123",953,523
2020,8,20,"2,144",323,"1,072",336,413
2020,8,30,"2,370",349,836,714,471
2020,8,40,"4,331",603,"1,675","1,229",824
2020,8,50,"3,438",632,"1,769",277,760
2020,8,60,"2,214",466,"1,093",71,584
2020,8,70,"1,122",199,643,47,233
2020,8,80,724,111,462,18,133
2020,8,90,134,37,76,1,20
2020,8,100,10,3,5,0,2
2020,9,총,"21,489","3,467","9,389","4,305","4,328"
2020,9,0,"1,957",307,595,674,381
2020,9,10,"3,050",448,"1,130",953,519
2020,9,20,"2,127",318,"1,073",328,408
2020,9,30,"2,354",344,837,707,466
2020,9,40,"4,348",605,"1,677","1,236",830
2020,9,50,"3,424",625,"1,774",276,749
2020,9,60,"2,246",472,"1,112",71,591
2020,9,70,"1,116",200,646,42,228
2020,9,80,724,108,465,17,134
2020,9,90,132,37,74,1,20
2020,9,100,11,3,6,0,2
2020,10,총,"21,461","3,526","9,408","4,242","4,285"
2020,10,0,"1,936",308,595,657,376
2020,10,10,"3,018",450,"1,122",937,509
2020,10,20,"2,152",329,"1,087",335,401
2020,10,30,"2,330",345,836,687,462
2020,10,40,"4,337",620,"1,673","1,224",820
2020,10,50,"3,428",627,"1,781",274,746
2020,10,60,"2,269",490,"1,121",69,589
2020,10,70,"1,118",205,642,43,228
2020,10,80,728,112,469,15,132
2020,10,90,134,37,76,1,20
2020,10,100,11,3,6,0,2
2020,11,총,"21,498","3,604","9,403","4,202","4,289"
2020,11,0,"1,917",302,592,649,374
2020,11,10,"3,006",453,"1,117",929,507
2020,11,20,"2,164",344,"1,075",341,404
2020,11,30,"2,319",359,823,678,459
2020,11,40,"4,336",627,"1,678","1,213",818
2020,11,50,"3,446",638,"1,788",269,751
2020,11,60,"2,297",512,"1,130",63,592
2020,11,70,"1,127",209,645,44,229
2020,11,80,736,118,471,15,132
2020,11,90,140,39,79,1,21
2020,11,100,10,3,5,0,2
2020,12,총,"21,479","3,610","9,426","4,133","4,310"
2020,12,0,"1,911",300,598,635,378
2020,12,10,"2,983",448,"1,103",917,515
2020,12,20,"2,172",345,"1,087",338,402
2020,12,30,"2,311",357,831,660,463
2020,12,40,"4,315",626,"1,677","1,199",813
2020,12,50,"3,444",642,"1,790",263,749
2020,12,60,"2,320",514,"1,141",62,603
2020,12,70,"1,136",218,641,43,234
2020,12,80,741,118,478,15,130
2020,12,90,136,39,75,1,21
2020,12,100,10,3,5,0,2
2021,1,총,"21,477","3,626","9,454","4,104","4,293"
2021,1,0,"1,910",297,596,639,378
2021,1,10,"2,972",450,"1,101",915,506
2021,1,20,"2,173",349,"1,101",324,399
2021,1,30,"2,321",357,836,666,462
2021,1,40,"4,282",624,"1,675","1,172",811
2021,1,50,"3,447",649,"1,780",263,755
2021,1,60,"2,335",516,"1,153",63,603
2021,1,70,"1,139",222,643,45,229
2021,1,80,750,120,488,15,127
2021,1,90,138,39,75,2,22
2021,1,100,10,3,6,0,1
2021,2,총,"21,633","3,693","9,492","4,125","4,323"
2021,2,0,"1,924",299,598,650,377
2021,2,10,"2,984",451,"1,103",918,512
2021,2,20,"2,179",358,"1,101",316,404
2021,2,30,"2,342",372,848,663,459
2021,2,40,"4,317",633,"1,665","1,192",827
2021,2,50,"3,469",663,"1,787",265,754
2021,2,60,"2,365",519,"1,175",62,609
2021,2,70,"1,145",232,638,43,232
2021,2,80,761,124,495,15,127
2021,2,90,138,39,77,1,21
2021,2,100,9,3,5,0,1
2021,3,총,"21,666","3,696","9,461","4,190","4,319"
2021,3,0,"1,931",297,598,661,375
2021,3,10,"2,989",454,"1,098",928,509
2021,3,20,"2,176",362,"1,076",327,411
2021,3,30,"2,354",376,852,681,445
2021,3,40,"4,309",630,"1,655","1,208",816
