년도,월,나이,금산군,금산읍,금성면,제원면,부리면,군북면,남일면,남이면,진산면,복수면,추부면
2020,1,총,"26,240","11,401","1,726","1,493","1,266","1,304","1,427","1,107","1,644","1,665","3,207"
2020,1,0,"1,414",896,57,41,35,56,55,33,45,52,144
2020,1,10,"2,321","1,300",100,77,40,82,196,88,117,87,234
2020,1,20,"2,430","1,287",150,115,65,84,104,76,104,145,300
2020,1,30,"2,163","1,198",123,114,74,88,66,40,82,105,273
2020,1,40,"3,637","1,910",188,154,152,166,148,120,206,194,399
2020,1,50,"5,063","1,900",362,291,255,265,258,257,375,372,728
2020,1,60,"4,712","1,521",367,370,303,285,281,232,338,377,638
2020,1,70,"2,965",981,230,211,203,184,196,163,253,221,323
2020,1,80,"1,400",375,132,109,129,90,114,90,111,101,149
2020,1,90,125,29,16,11,9,4,9,8,11,10,18
2020,1,100,10,4,1,0,1,0,0,0,2,1,1
2020,2,총,"26,165","11,355","1,728","1,492","1,260","1,297","1,432","1,106","1,640","1,657","3,198"
2020,2,0,"1,407",886,58,40,36,58,54,34,47,51,143
2020,2,10,"2,309","1,286",100,76,40,80,200,85,125,87,230
2020,2,20,"2,402","1,266",150,114,67,84,101,73,104,142,301
2020,2,30,"2,132","1,186",123,108,70,87,66,41,83,101,267
2020,2,40,"3,613","1,905",182,154,150,161,151,119,199,193,399
2020,2,50,"5,058","1,908",364,291,256,266,256,259,370,367,721
2020,2,60,"4,723","1,526",367,374,303,284,286,233,333,377,640
2020,2,70,"2,978",978,235,215,203,182,194,165,253,226,327
2020,2,80,"1,407",381,133,108,126,91,114,88,114,101,151
2020,2,90,127,29,15,12,9,4,10,9,10,11,18
2020,2,100,9,4,1,0,0,0,0,0,2,1,1
2020,3,총,"26,145","11,310","1,725","1,490","1,262","1,302","1,461","1,111","1,639","1,646","3,199"
2020,3,0,"1,396",874,59,42,36,62,51,34,45,49,144
2020,3,10,"2,326","1,283",99,73,41,79,219,93,124,86,229
2020,3,20,"2,362","1,244",146,112,68,82,103,71,105,138,293
2020,3,30,"2,107","1,172",123,103,68,91,64,41,84,97,264
2020,3,40,"3,611","1,904",181,154,152,162,151,117,200,192,398
2020,3,50,"5,063","1,912",370,289,255,264,262,260,364,363,724
2020,3,60,"4,725","1,524",361,379,301,282,286,235,334,375,648
2020,3,70,"3,007",987,235,216,207,183,197,164,259,231,328
2020,3,80,"1,413",378,135,109,125,93,118,88,113,102,152
2020,3,90,126,28,15,13,9,4,10,8,9,12,18
2020,3,100,9,4,1,0,0,0,0,0,2,1,1
2020,4,총,"26,064","11,280","1,714","1,486","1,255","1,301","1,451","1,108","1,651","1,634","3,184"
2020,4,0,"1,384",865,59,42,34,63,52,35,46,48,140
2020,4,10,"2,313","1,286",99,68,41,77,211,92,124,85,230
2020,4,20,"2,339","1,235",142,112,65,85,101,69,105,133,292
2020,4,30,"2,101","1,170",124,102,68,87,64,42,83,97,264
2020,4,40,"3,574","1,876",179,154,149,164,147,116,203,192,394
2020,4,50,"5,049","1,917",362,290,259,264,260,256,366,358,717
2020,4,60,"4,744","1,534",364,383,296,280,291,240,336,374,646
2020,4,70,"3,016",989,235,212,209,183,199,162,264,232,331
2020,4,80,"1,413",377,134,110,125,94,117,89,113,102,152
2020,4,90,122,27,15,13,9,4,9,7,9,12,17
2020,4,100,9,4,1,0,0,0,0,0,2,1,1
2020,5,총,"26,057","11,278","1,714","1,494","1,255","1,293","1,447","1,114","1,653","1,632","3,177"
2020,5,0,"1,380",859,59,43,34,63,50,36,48,45,143
2020,5,10,"2,305","1,283",98,69,41,76,208,97,125,85,223
2020,5,20,"2,320","1,231",137,112,64,85,101,70,102,132,286
2020,5,30,"2,089","1,172",124,101,70,82,61,41,81,94,263
2020,5,40,"3,543","1,864",176,153,144,157,148,115,205,190,391
2020,5,50,"5,060","1,923",366,296,262,259,262,258,361,360,713
2020,5,60,"4,770","1,534",366,384,297,290,289,240,340,376,654
2020,5,70,"3,041",997,239,213,209,182,202,161,267,234,337
2020,5,80,"1,414",383,133,109,125,95,118,89,113,102,147
2020,5,90,126,28,15,14,9,4,8,7,9,13,19
2020,5,100,9,4,1,0,0,0,0,0,2,1,1
2020,6,총,"26,034","11,281","1,712","1,492","1,261","1,282","1,449","1,109","1,643","1,630","3,175"
2020,6,0,"1,378",862,56,43,33,63,50,34,47,44,146
2020,6,10,"2,287","1,283",97,67,40,75,204,96,122,85,218
2020,6,20,"2,307","1,228",138,113,63,85,104,67,102,128,279
2020,6,30,"2,067","1,155",120,99,71,80,62,41,76,98,265
2020,6,40,"3,532","1,869",171,157,139,154,152,113,202,184,391
2020,6,50,"5,042","1,918",362,293,267,257,256,257,363,361,708
2020,6,60,"4,819","1,549",372,384,301,287,296,246,344,380,660
2020,6,70,"3,057","1,001",245,215,211,185,202,161,263,234,340
2020,6,80,"1,411",384,134,108,127,92,116,87,114,102,147
2020,6,90,125,28,16,13,9,4,7,7,8,13,20
2020,6,100,9,4,1,0,0,0,0,0,2,1,1
2020,7,총,"26,057","11,295","1,716","1,482","1,257","1,281","1,459","1,110","1,636","1,627","3,194"
2020,7,0,"1,381",866,57,42,33,64,51,34,47,45,142
2020,7,10,"2,284","1,273",97,66,39,75,211,96,119,82,226
2020,7,20,"2,298","1,226",139,111,64,81,104,66,101,125,281
2020,7,30,"2,069","1,153",119,99,71,84,63,41,74,97,268
2020,7,40,"3,510","1,858",172,156,139,153,147,113,197,184,391
2020,7,50,"5,066","1,944",364,286,262,257,261,259,365,359,709
2020,7,60,"4,835","1,554",370,384,304,287,297,249,345,380,665
2020,7,70,"3,070","1,001",246,217,214,185,200,158,264,240,345
2020,7,80,"1,411",389,135,108,122,89,118,88,114,101,147
2020,7,90,124,27,16,13,9,6,7,6,8,13,19
2020,7,100,9,4,1,0,0,0,0,0,2,1,1
2020,8,총,"26,032","11,285","1,725","1,480","1,252","1,281","1,458","1,115","1,632","1,619","3,185"
2020,8,0,"1,367",861,58,44,32,63,52,34,43,43,137
2020,8,10,"2,280","1,266",96,65,39,77,212,93,121,83,228
2020,8,20,"2,289","1,215",145,113,62,80,106,68,103,122,275
2020,8,30,"2,049","1,139",116,95,70,86,61,39,75,97,271
2020,8,40,"3,497","1,865",174,155,137,152,146,112,189,183,384
2020,8,50,"5,055","1,954",362,285,258,253,260,258,368,353,704
2020,8,60,"4,869","1,554",379,385,306,292,300,256,344,381,672
2020,8,70,"3,071","1,005",244,218,215,184,198,159,263,243,342
2020,8,80,"1,418",394,134,107,122,88,116,90,116,100,151
2020,8,90,129,28,16,13,11,6,7,6,8,13,21
2020,8,100,8,4,1,0,0,0,0,0,2,1,0
2020,9,총,"26,001","11,272","1,725","1,475","1,248","1,283","1,454","1,115","1,634","1,615","3,180"
2020,9,0,"1,348",849,56,45,32,64,52,33,40,42,135
2020,9,10,"2,270","1,263",95,65,37,75,205,93,123,82,232
2020,9,20,"2,293","1,221",142,108,64,82,106,69,103,121,277
2020,9,30,"2,014","1,122",117,96,71,81,61,36,73,97,260
2020,9,40,"3,494","1,867",169,155,136,156,146,112,187,184,382
2020,9,50,"5,049","1,957",363,281,254,250,260,254,369,355,706
2020,9,60,"4,890","1,558",386,383,304,296,299,263,348,377,676
2020,9,70,"3,083","1,005",245,221,218,185,202,158,265,243,341
2020,9,80,"1,424",399,136,108,121,88,116,90,116,100,150
2020,9,90,128,27,15,13,11,6,7,7,8,13,21
2020,9,100,8,4,1,0,0,0,0,0,2,1,0
2020,10,총,"25,957","11,237","1,716","1,477","1,241","1,277","1,458","1,116","1,624","1,623","3,188"
2020,10,0,"1,330",838,55,45,32,62,50,33,41,41,133
2020,10,10,"2,265","1,261",93,68,35,75,205,89,120,87,232
2020,10,20,"2,287","1,214",140,109,66,81,103,70,102,118,284
2020,10,30,"1,995","1,105",114,98,68,78,65,37,72,98,260
2020,10,40,"3,468","1,866",167,152,128,153,144,109,186,183,380
2020,10,50,"5,052","1,942",364,284,257,254,258,256,366,360,711
2020,10,60,"4,906","1,576",382,376,306,296,304,261,349,378,678
2020,10,70,"3,081","1,000",246,225,218,182,206,163,260,244,337
2020,10,80,"1,434",404,139,107,118,90,115,91,117,100,153
2020,10,90,131,27,15,13,13,6,8,7,9,13,20
2020,10,100,8,4,1,0,0,0,0,0,2,1,0
