년도,월,나이,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020,1,총,"84,276","5,920","3,658","2,670","1,668","3,834","6,585","4,641","2,617","3,659","3,160","9,518","9,223","4,527","8,022","14,574"
2020,1,0,"7,764",365,273,67,23,361,"1,260",286,66,133,193,896,892,317,750,"1,882"
2020,1,10,"8,340",561,342,108,67,345,495,356,145,210,257,"1,054",995,461,"1,052","1,892"
2020,1,20,"7,953",588,269,123,72,273,702,375,131,343,203,"1,154",937,478,833,"1,472"
2020,1,30,"10,334",500,370,109,68,408,"1,668",426,135,210,280,"1,279","1,130",434,949,"2,368"
2020,1,40,"12,907",860,531,187,113,526,857,638,222,356,382,"1,622","1,756",744,"1,432","2,681"
2020,1,50,"13,249","1,242",577,433,288,627,685,792,432,671,402,"1,545","1,531",794,"1,259","1,971"
2020,1,60,"10,293",811,508,641,415,518,416,695,558,665,542,978,967,631,849,"1,099"
2020,1,70,"7,239",490,392,522,322,408,252,555,479,602,479,576,590,418,509,645
2020,1,80,"5,227",431,340,423,253,300,217,443,383,403,351,332,358,201,329,463
2020,1,90,914,68,52,56,46,67,30,71,64,63,65,73,61,42,58,98
2020,1,100,56,4,4,1,1,1,3,4,2,3,6,9,6,7,2,3
2020,2,총,"84,165","5,890","3,663","2,653","1,658","3,812","6,678","4,635","2,609","3,647","3,123","9,517","9,204","4,503","8,041","14,532"
2020,2,0,"7,726",367,271,66,22,356,"1,271",281,67,134,182,887,889,313,751,"1,869"
2020,2,10,"8,246",550,335,105,66,339,512,356,139,203,248,"1,043",975,459,"1,047","1,869"
2020,2,20,"7,894",569,272,119,68,272,693,373,137,332,204,"1,156",920,474,835,"1,470"
2020,2,30,"10,257",496,368,106,66,400,"1,701",421,127,207,269,"1,271","1,116",434,940,"2,335"
2020,2,40,"12,958",855,534,183,115,523,882,635,224,356,378,"1,624","1,769",740,"1,447","2,693"
2020,2,50,"13,233","1,252",576,427,283,623,690,787,433,664,393,"1,547","1,538",776,"1,262","1,982"
2020,2,60,"10,384",808,518,642,412,521,426,705,559,676,550,998,972,644,854,"1,099"
2020,2,70,"7,246",494,393,518,328,410,254,557,475,598,474,574,597,411,512,651
2020,2,80,"5,247",424,340,430,251,299,219,446,382,411,355,332,359,202,334,463
2020,2,90,918,71,52,56,46,68,28,70,64,63,64,75,63,43,57,98
2020,2,100,56,4,4,1,1,1,2,4,2,3,6,10,6,7,2,3
