년도,월,나이,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020,1,총,"15,937","5,115","1,102","1,195","1,870",811,"1,018","1,199","1,411","1,133","1,083"
2020,1,0,703,363,31,38,89,20,18,40,41,37,26
2020,1,10,"1,134",514,59,58,149,47,63,65,64,52,63
2020,1,20,"1,647",761,97,93,215,65,84,60,112,82,78
2020,1,30,"1,264",494,73,78,161,47,66,87,98,74,86
2020,1,40,"1,949",698,108,141,239,90,129,155,157,119,113
2020,1,50,"2,972",891,209,254,348,173,183,210,278,210,216
2020,1,60,"3,005",720,241,269,323,175,225,260,293,243,256
2020,1,70,"1,983",428,171,149,213,112,153,197,225,184,151
2020,1,80,"1,169",222,107,106,113,77,85,116,134,122,87
2020,1,90,108,21,6,9,20,5,12,9,9,10,7
2020,1,100,3,3,0,0,0,0,0,0,0,0,0
2020,2,총,"15,853","5,088","1,092","1,195","1,858",808,"1,005","1,194","1,397","1,124","1,092"
2020,2,0,695,358,29,39,86,20,18,41,42,36,26
2020,2,10,"1,116",509,58,56,147,46,62,64,60,50,64
2020,2,20,"1,617",749,91,90,213,64,78,60,112,80,80
2020,2,30,"1,249",486,70,76,165,47,65,85,94,75,86
2020,2,40,"1,920",693,108,141,234,88,126,152,149,115,114
2020,2,50,"2,963",890,208,255,345,172,180,207,277,206,223
2020,2,60,"3,011",724,242,271,325,176,223,262,292,246,250
2020,2,70,"1,996",431,172,153,211,112,157,196,225,185,154
2020,2,80,"1,177",224,108,105,113,79,85,119,137,119,88
2020,2,90,106,21,6,9,19,4,11,8,9,12,7
2020,2,100,3,3,0,0,0,0,0,0,0,0,0
2020,3,총,"15,804","5,071","1,091","1,192","1,855",804,"1,000","1,199","1,389","1,123","1,080"
2020,3,0,692,359,29,40,84,20,18,41,41,35,25
2020,3,10,"1,101",500,57,57,146,46,61,64,58,51,61
2020,3,20,"1,589",740,91,89,212,61,74,62,107,76,77
2020,3,30,"1,238",484,69,73,162,47,66,83,92,75,87
2020,3,40,"1,915",691,107,140,235,89,123,151,149,117,113
2020,3,50,"2,936",884,203,254,339,169,184,208,277,203,215
2020,3,60,"3,036",734,245,271,327,179,221,265,294,247,253
2020,3,70,"2,011",431,175,154,215,113,160,198,225,187,153
2020,3,80,"1,174",224,107,104,116,75,82,119,138,120,89
