년도,월,나이,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020,3,총,"32,760","14,891","1,938","1,509","2,251","1,704","2,374","1,960",784,"1,816","1,729","1,804"
2020,3,0,"1,536","1,016",38,86,50,30,69,66,30,62,41,48
2020,3,10,"2,190","1,353",91,79,102,63,161,92,24,68,75,82
2020,3,20,"2,472","1,428",127,123,106,84,147,108,33,100,108,108
2020,3,30,"2,340","1,349",87,153,100,81,179,107,30,68,93,93
2020,3,40,"3,436","1,935",180,172,176,124,209,173,59,134,124,150
2020,3,50,"6,063","2,719",414,252,406,271,418,366,151,347,349,370
2020,3,60,"6,557","2,426",469,255,547,411,508,470,231,436,386,418
2020,3,70,"4,587","1,547",339,212,438,350,380,305,132,311,294,279
2020,3,80,"3,075",971,152,146,285,258,281,222,83,251,211,215
2020,3,90,479,138,38,29,40,30,20,49,11,38,47,39
2020,3,100,25,9,3,2,1,2,2,2,0,1,1,2
2020,4,총,"32,699","14,867","1,926","1,510","2,248","1,698","2,364","1,959",781,"1,821","1,722","1,803"
2020,4,0,"1,529","1,014",38,87,50,30,69,60,30,64,39,48
2020,4,10,"2,184","1,355",90,79,102,61,156,92,24,68,76,81
2020,4,20,"2,449","1,418",123,121,103,87,149,108,32,99,106,103
2020,4,30,"2,325","1,339",86,154,98,80,180,106,27,69,91,95
2020,4,40,"3,418","1,926",177,170,174,121,207,176,60,135,124,148
2020,4,50,"6,051","2,712",412,253,410,269,415,365,149,345,348,373
2020,4,60,"6,571","2,433",469,258,546,414,506,474,230,435,385,421
2020,4,70,"4,584","1,549",337,210,437,347,378,304,134,315,293,280
2020,4,80,"3,080",974,152,148,286,258,281,223,84,251,211,212
2020,4,90,482,138,39,28,40,29,21,49,11,39,48,40
2020,4,100,26,9,3,2,2,2,2,2,0,1,1,2
2020,5,총,"32,653","14,873","1,922","1,496","2,239","1,691","2,354","1,971",776,"1,819","1,715","1,797"
2020,5,0,"1,532","1,030",36,84,48,31,67,64,30,64,37,41
2020,5,10,"2,167","1,339",90,79,102,57,154,94,24,69,76,83
2020,5,20,"2,443","1,418",119,117,100,89,151,108,32,101,104,104
2020,5,30,"2,307","1,341",87,147,96,77,178,109,25,70,86,91
2020,5,40,"3,393","1,924",176,164,174,114,205,179,59,127,122,149
2020,5,50,"6,046","2,703",415,259,406,272,407,363,147,347,352,375
2020,5,60,"6,579","2,441",470,258,543,413,506,476,231,439,383,419
2020,5,70,"4,572","1,543",334,210,438,348,385,300,132,313,293,276
2020,5,80,"3,099",987,153,148,287,258,277,227,83,250,212,217
2020,5,90,488,138,39,28,43,29,22,49,13,38,49,40
2020,5,100,27,9,3,2,2,3,2,2,0,1,1,2
2020,6,총,"32,578","14,849","1,917","1,490","2,238","1,689","2,350","1,960",771,"1,805","1,716","1,793"
2020,6,0,"1,519","1,028",36,84,50,32,67,57,27,62,36,40
2020,6,10,"2,146","1,332",89,76,102,57,149,92,24,65,76,84
2020,6,20,"2,433","1,408",116,115,98,89,157,110,33,99,104,104
2020,6,30,"2,287","1,321",88,151,96,76,173,110,25,70,87,90
2020,6,40,"3,392","1,934",172,162,175,114,207,173,58,124,122,151
2020,6,50,"6,003","2,687",415,255,399,267,407,360,146,345,349,373
2020,6,60,"6,610","2,460",470,259,547,415,508,479,227,439,388,418
2020,6,70,"4,572","1,546",336,212,434,344,385,297,137,315,291,275
2020,6,80,"3,104",987,154,148,292,263,274,232,81,247,211,215
2020,6,90,485,137,38,26,43,29,21,48,13,38,51,41
2020,6,100,27,9,3,2,2,3,2,2,0,1,1,2
2020,7,총,"32,522","14,841","1,906","1,478","2,232","1,694","2,333","1,954",773,"1,799","1,713","1,799"
2020,7,0,"1,507","1,025",35,81,49,32,66,55,27,60,35,42
