년도,월,나이,증평군,증평읍,도안면
2020,1,총,"37,424","35,463","1,961"
2020,1,0,"3,589","3,545",44
2020,1,10,"3,462","3,367",95
2020,1,20,"4,586","4,444",142
2020,1,30,"4,981","4,887",94
2020,1,40,"5,767","5,538",229
2020,1,50,"6,087","5,734",353
2020,1,60,"4,678","4,215",463
2020,1,70,"2,681","2,371",310
2020,1,80,"1,424","1,222",202
2020,1,90,158,131,27
2020,1,100,11,9,2
2020,2,총,"37,419","35,473","1,946"
2020,2,0,"3,548","3,505",43
2020,2,10,"3,465","3,370",95
2020,2,20,"4,574","4,435",139
2020,2,30,"4,943","4,850",93
2020,2,40,"5,768","5,542",226
2020,2,50,"6,113","5,761",352
2020,2,60,"4,724","4,266",458
2020,2,70,"2,680","2,372",308
2020,2,80,"1,434","1,230",204
2020,2,90,159,133,26
2020,2,100,11,9,2
2020,3,총,"37,341","35,411","1,930"
2020,3,0,"3,513","3,476",37
2020,3,10,"3,469","3,375",94
2020,3,20,"4,577","4,440",137
2020,3,30,"4,902","4,817",85
2020,3,40,"5,730","5,510",220
2020,3,50,"6,134","5,776",358
2020,3,60,"4,728","4,268",460
2020,3,70,"2,667","2,365",302
2020,3,80,"1,447","1,238",209
2020,3,90,163,137,26
2020,3,100,11,9,2
2020,4,총,"37,320","35,394","1,926"
2020,4,0,"3,486","3,449",37
2020,4,10,"3,466","3,371",95
2020,4,20,"4,560","4,428",132
2020,4,30,"4,888","4,804",84
2020,4,40,"5,729","5,510",219
2020,4,50,"6,130","5,772",358
2020,4,60,"4,761","4,299",462
2020,4,70,"2,667","2,365",302
2020,4,80,"1,457","1,248",209
2020,4,90,164,138,26
2020,4,100,12,10,2
2020,5,총,"37,302","35,389","1,913"
2020,5,0,"3,471","3,435",36
2020,5,10,"3,461","3,365",96
2020,5,20,"4,560","4,432",128
2020,5,30,"4,850","4,769",81
2020,5,40,"5,728","5,511",217
2020,5,50,"6,134","5,778",356
2020,5,60,"4,785","4,320",465
2020,5,70,"2,676","2,378",298
2020,5,80,"1,459","1,252",207
2020,5,90,167,140,27
2020,5,100,11,9,2
2020,6,총,"37,178","35,280","1,898"
2020,6,0,"3,437","3,401",36
2020,6,10,"3,429","3,335",94
2020,6,20,"4,541","4,418",123
2020,6,30,"4,841","4,760",81
2020,6,40,"5,700","5,489",211
2020,6,50,"6,095","5,742",353
2020,6,60,"4,836","4,370",466
2020,6,70,"2,664","2,365",299
2020,6,80,"1,458","1,252",206
2020,6,90,166,139,27
2020,6,100,11,9,2
2020,7,총,"37,166","35,257","1,909"
2020,7,0,"3,424","3,388",36
2020,7,10,"3,415","3,323",92
2020,7,20,"4,526","4,401",125
2020,7,30,"4,842","4,754",88
2020,7,40,"5,709","5,496",213
2020,7,50,"6,072","5,721",351
2020,7,60,"4,871","4,398",473
2020,7,70,"2,668","2,370",298
2020,7,80,"1,463","1,261",202
2020,7,90,165,136,29
2020,7,100,11,9,2
2020,8,총,"37,136","35,235","1,901"
2020,8,0,"3,407","3,371",36
2020,8,10,"3,406","3,322",84
2020,8,20,"4,522","4,393",129
2020,8,30,"4,819","4,731",88
2020,8,40,"5,688","5,475",213
2020,8,50,"6,073","5,726",347
2020,8,60,"4,898","4,423",475
2020,8,70,"2,680","2,382",298
2020,8,80,"1,464","1,263",201
2020,8,90,168,140,28
2020,8,100,11,9,2
2020,9,총,"37,122","35,212","1,910"
2020,9,0,"3,385","3,347",38
2020,9,10,"3,380","3,299",81
2020,9,20,"4,544","4,410",134
2020,9,30,"4,815","4,727",88
2020,9,40,"5,669","5,459",210
2020,9,50,"6,072","5,729",343
2020,9,60,"4,918","4,436",482
2020,9,70,"2,692","2,395",297
2020,9,80,"1,463","1,259",204
2020,9,90,172,142,30
2020,9,100,12,9,3
2020,10,총,"37,011","35,099","1,912"
2020,10,0,"3,327","3,289",38
2020,10,10,"3,376","3,295",81
2020,10,20,"4,534","4,402",132
2020,10,30,"4,803","4,707",96
2020,10,40,"5,631","5,427",204
2020,10,50,"6,055","5,716",339
2020,10,60,"4,955","4,465",490
2020,10,70,"2,676","2,382",294
2020,10,80,"1,467","1,261",206
2020,10,90,175,146,29
2020,10,100,12,9,3
2020,11,총,"36,960","35,060","1,900"
2020,11,0,"3,295","3,254",41
2020,11,10,"3,371","3,292",79
2020,11,20,"4,533","4,407",126
2020,11,30,"4,776","4,679",97
2020,11,40,"5,622","5,421",201
2020,11,50,"6,057","5,720",337
2020,11,60,"4,974","4,484",490
2020,11,70,"2,675","2,384",291
2020,11,80,"1,471","1,265",206
2020,11,90,175,145,30
2020,11,100,11,9,2
2020,12,총,"36,807","34,917","1,890"
2020,12,0,"3,242","3,203",39
2020,12,10,"3,348","3,272",76
2020,12,20,"4,516","4,391",125
2020,12,30,"4,753","4,652",101
2020,12,40,"5,590","5,393",197
2020,12,50,"6,014","5,680",334
2020,12,60,"4,990","4,502",488
2020,12,70,"2,677","2,386",291
2020,12,80,"1,491","1,283",208
2020,12,90,176,146,30
2020,12,100,10,9,1
2021,1,총,"36,807","34,921","1,886"
2021,1,0,"3,199","3,158",41
2021,1,10,"3,353","3,275",78
2021,1,20,"4,512","4,390",122
2021,1,30,"4,725","4,622",103
2021,1,40,"5,580","5,386",194
2021,1,50,"6,030","5,697",333
2021,1,60,"5,025","4,539",486
2021,1,70,"2,691","2,406",285
2021,1,80,"1,501","1,288",213
2021,1,90,181,151,30
2021,1,100,10,9,1
2021,2,총,"36,685","34,817","1,868"
2021,2,0,"3,146","3,108",38
2021,2,10,"3,349","3,271",78
2021,2,20,"4,483","4,363",120
2021,2,30,"4,660","4,562",98
2021,2,40,"5,572","5,377",195
2021,2,50,"6,042","5,711",331
2021,2,60,"5,060","4,576",484
2021,2,70,"2,685","2,405",280
2021,2,80,"1,498","1,285",213
2021,2,90,180,150,30
2021,2,100,10,9,1
2021,3,총,"36,536","34,678","1,858"
2021,3,0,"3,142","3,100",42
2021,3,10,"3,349","3,273",76
2021,3,20,"4,453","4,337",116
2021,3,30,"4,617","4,522",95
2021,3,40,"5,536","5,344",192
2021,3,50,"5,992","5,664",328
2021,3,60,"5,090","4,607",483
2021,3,70,"2,672","2,393",279
2021,3,80,"1,507","1,291",216
2021,3,90,175,144,31
2021,3,100,3,3,0
2021,4,총,"36,532","34,682","1,850"
2021,4,0,"3,117","3,074",43
2021,4,10,"3,344","3,274",70
2021,4,20,"4,442","4,327",115
2021,4,30,"4,608","4,511",97
2021,4,40,"5,527","5,341",186
2021,4,50,"5,985","5,661",324
2021,4,60,"5,155","4,668",487
2021,4,70,"2,661","2,382",279
2021,4,80,"1,513","1,294",219
2021,4,90,177,147,30
2021,4,100,3,3,0
2021,5,총,"36,536","34,684","1,852"
2021,5,0,"3,088","3,047",41
2021,5,10,"3,343","3,272",71
2021,5,20,"4,435","4,318",117
2021,5,30,"4,580","4,482",98
2021,5,40,"5,537","5,351",186
2021,5,50,"5,982","5,659",323
2021,5,60,"5,214","4,731",483
2021,5,70,"2,664","2,379",285
2021,5,80,"1,513","1,294",219
2021,5,90,177,148,29
2021,5,100,3,3,0
2021,6,총,"36,499","34,641","1,858"
2021,6,0,"3,062","3,017",45
2021,6,10,"3,341","3,271",70
2021,6,20,"4,449","4,330",119
2021,6,30,"4,513","4,414",99
2021,6,40,"5,531","5,345",186
2021,6,50,"5,994","5,667",327
2021,6,60,"5,240","4,757",483
2021,6,70,"2,666","2,384",282
2021,6,80,"1,522","1,305",217
2021,6,90,177,147,30
2021,6,100,4,4,0
2021,7,총,"36,470","34,607","1,863"
2021,7,0,"3,030","2,982",48
2021,7,10,"3,345","3,272",73
2021,7,20,"4,456","4,333",123
