년도,월,나이,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020,3,총,"840,756","181,403","2,281","5,117","4,023","7,059","4,144","5,885","7,136","9,308","11,240","30,627","13,856","47,688","33,039","200,775","10,302","3,466","8,190","14,778","15,221","15,281","27,361","32,008","14,149","13,959","46,060","263,844","21,388","10,896","17,653","17,775","51,692","16,465","51,180","10,014","24,900","28,484","13,397","194,734","19,976","68,782","4,715","12,652","8,959","11,833","49,196","18,621"
2020,3,0,"76,407","15,345",50,108,111,465,121,239,251,475,758,"2,656","1,636","4,740","3,735","15,211",664,103,359,"1,469",768,782,"2,561","2,842",653,767,"4,243","24,707","2,261",747,"2,254","1,038","6,192",723,"4,379",564,"1,916","2,182","2,451","21,144","1,649","10,338",111,585,382,749,"4,648","2,682"
2020,3,10,"87,663","19,471",60,233,137,450,211,450,430,733,"1,002","3,926","1,988","5,963","3,888","21,526",699,138,602,"1,432","1,061","1,119","4,244","4,429","1,059","1,157","5,586","27,039","2,122","1,077","1,273","1,631","6,740","1,207","6,607",615,"2,459","2,442",866,"19,627","1,996","7,296",202,788,614,955,"5,511","2,265"
2020,3,20,"118,932","23,164",180,354,341,779,333,822,976,"1,151","1,394","4,026","1,631","6,582","4,595","29,107","1,205",206,981,"1,838","3,399","2,398","3,676","4,737","2,107","1,820","6,740","40,788","2,669","1,432","2,041","2,657","7,438","3,372","7,610","2,051","4,314","5,219","1,985","25,873","2,397","8,646",378,"2,094","1,159","1,743","7,521","1,935"
2020,3,30,"119,590","21,412",140,288,261,738,268,616,745,932,"1,319","3,422","1,689","6,397","4,597","24,239","1,139",237,830,"2,064","2,105","1,697","3,335","3,702","1,447","1,365","6,318","41,105","3,530","1,176","3,523","2,045","8,697","1,901","6,208","1,660","4,114","4,745","3,506","32,834","2,269","15,870",304,"1,566",927,"1,321","7,317","3,260"
2020,3,40,"136,975","29,337",191,439,391,860,435,807,902,"1,298","1,670","5,516","2,614","8,495","5,719","32,277","1,333",371,"1,114","2,125","1,962","1,997","5,371","6,017","1,918","1,794","8,275","43,337","3,740","1,597","2,443","2,644","10,124","2,161","8,915","1,399","4,086","4,441","1,787","32,024","3,225","12,074",453,"1,643","1,217","1,791","8,173","3,448"
2020,3,50,"136,865","31,638",472,995,912,"1,386",794,"1,009","1,242","1,721","1,965","5,197","2,132","8,046","5,767","35,140","2,241",644,"1,645","2,493","2,279","2,880","4,509","5,598","2,684","2,901","7,266","42,576","2,913","2,084","2,689","3,681","7,151","3,064","9,462","1,626","4,094","4,497","1,315","27,511","3,549","7,018",949,"2,132","1,622","2,014","7,964","2,263"
2020,3,60,"91,603","22,014",563,"1,215",891,"1,235",833,918,"1,289","1,503","1,668","3,269","1,191","4,520","2,919","24,183","1,666",768,"1,367","1,958","1,972","2,465","2,115","2,572","2,270","2,281","4,749","25,964","2,151","1,484","1,866","2,394","3,283","2,345","5,133","1,244","2,395","2,871",798,"19,442","2,461","4,335","1,050","1,892","1,577","1,666","4,945","1,516"
2020,3,70,"46,412","11,995",350,837,572,638,612,656,805,969,"1,005","1,815",647,"1,906","1,183","12,296",795,551,814,897,"1,197","1,287",979,"1,315","1,357","1,198","1,906","11,828","1,252",795,944,"1,083","1,359","1,193","1,921",593,991,"1,295",402,"10,293","1,481","2,017",717,"1,241",969,"1,068","2,022",778
2020,3,80,"22,907","6,057",233,540,361,441,460,329,423,447,404,697,288,890,544,"5,918",498,387,414,432,423,573,498,698,574,590,831,"5,701",652,446,543,519,618,446,833,239,457,684,264,"5,231",813,"1,031",476,647,437,472,949,406
